Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
595,213991,J. Lerma,23,https://cdn.sofifa.org/players/4/19/213991.png,Colombia,https://cdn.sofifa.org/flags/56.png,79,84,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,14500000,55000,2096,Right,1,4,3,Medium/ High,Lean,Yes,RCM,8,2018-08-07,,2023,177,154,70,70,70,71,71,71,71,71,72,72,72,73,76,76,76,73,79,80,80,80,79,79,79,79,79,79,66,56,65,78,56,69,66,65,74,77,74,76,75,72,76,82,84,90,76,75,83,80,58,68,58,63,78,81,81,16,14,11,7,9,28600000,3,0,0,1,0,0
604,208920,N. Aké,23,https://cdn.sofifa.org/players/4/19/208920.png,Netherlands,https://cdn.sofifa.org/flags/34.png,79,84,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,14500000,55000,1969,Left,1,3,2,Medium/ High,Lean,Yes,CB,15,2017-06-30,,2022,180,165,66,66,66,68,67,67,67,68,69,69,69,70,72,72,72,70,77,78,78,78,77,78,79,79,79,78,63,45,74,77,52,67,62,59,73,73,75,74,68,79,69,63,86,73,75,56,72,78,53,65,48,72,79,81,80,10,7,7,16,10,28600000,2,0,1,0,0,0
653,196978,C. Wilson,26,https://cdn.sofifa.org/players/4/19/196978.png,England,https://cdn.sofifa.org/flags/14.png,79,81,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,15500000,77000,1902,Right,1,3,4,High/ Medium,Normal,Yes,ST,13,2014-07-04,,2022,180,146,79,79,79,77,79,79,79,77,76,76,76,75,70,70,70,75,59,58,58,58,59,57,54,54,54,57,52,83,73,71,69,74,63,45,60,77,87,89,74,74,74,76,65,72,75,66,73,40,82,71,75,78,29,39,25,10,15,8,10,6,30600000,4,0,0,0,1,0
704,172723,A. Begovi?,31,https://cdn.sofifa.org/players/4/19/172723.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,79,79,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,7500000,52000,1234,Right,3,2,1,Medium/ Medium,Lean,Yes,GK,27,2017-05-30,,2020,198,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,12,26,12,16,17,15,32,24,52,58,52,74,40,28,38,36,80,12,42,21,11,34,40,61,18,11,12,80,80,72,77,79,14300000,1,1,0,0,0,0
889,193011,S. Cook,27,https://cdn.sofifa.org/players/4/19/193011.png,England,https://cdn.sofifa.org/flags/14.png,78,78,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,8500000,58000,1644,Right,1,3,2,Medium/ High,Normal,Yes,RCB,3,2012-01-01,,2021,185,181,53,53,53,52,52,52,52,52,55,55,55,56,61,61,61,56,69,74,74,74,69,71,78,78,78,71,41,31,80,70,33,54,31,30,61,67,55,53,55,77,65,48,75,68,78,23,79,78,21,45,35,70,77,78,77,14,12,7,14,12,16200000,2,0,1,0,0,0
938,224294,L. Cook,21,https://cdn.sofifa.org/players/4/19/224294.png,England,https://cdn.sofifa.org/flags/14.png,77,84,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,12500000,44000,2006,Right,1,4,3,Medium/ Medium,Normal,Yes,CM,16,2016-07-08,,2022,175,157,68,68,68,74,73,73,73,74,76,76,76,75,77,77,77,75,74,75,75,75,74,72,69,69,69,72,67,57,50,79,57,78,66,65,80,80,74,68,75,74,84,64,68,78,63,62,79,69,68,75,61,74,64,71,69,6,15,12,15,13,26300000,3,0,0,1,0,0
1027,50542,J. Defoe,35,https://cdn.sofifa.org/players/4/19/50542.png,England,https://cdn.sofifa.org/flags/14.png,77,77,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,4100000,49000,1812,Right,2,4,3,Medium/ Low,Lean,Yes,ST,18,2017-06-29,,2020,170,143,78,78,78,75,77,77,77,75,74,74,74,71,64,64,64,71,49,48,48,48,49,46,42,42,42,46,54,85,65,66,82,74,63,68,43,77,73,63,77,78,87,84,68,55,54,78,62,19,85,65,74,82,30,20,11,7,14,8,10,13,7700000,4,0,0,0,1,0
1127,207807,R. Fraser,24,https://cdn.sofifa.org/players/4/19/207807.png,Scotland,https://cdn.sofifa.org/flags/42.png,77,81,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,11500000,52000,1902,Right,1,4,3,High/ Medium,Stocky,Yes,LM,11,2013-01-01,,2020,162,132,68,68,68,78,75,75,75,78,77,77,77,77,71,71,71,77,66,61,61,61,66,63,52,52,52,63,74,70,30,73,43,81,70,67,60,75,90,87,94,72,96,60,60,72,42,69,65,45,72,74,60,68,45,53,42,15,14,15,7,10,22700000,3,0,0,1,0,0
1444,190885,A. Smith,27,https://cdn.sofifa.org/players/4/19/190885.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,6500000,51000,1943,Right,1,3,3,High/ Medium,Lean,Yes,RB,15,2014-01-28,,2021,180,172,67,67,67,72,71,71,71,72,72,72,72,73,73,73,73,73,77,74,74,74,77,77,73,73,73,77,74,43,64,74,43,76,64,66,63,74,77,80,72,74,69,72,49,76,65,68,66,74,68,69,48,72,74,78,76,8,9,15,9,6,12400000,2,0,1,0,0,0
1568,220414,Diego Rico,25,https://cdn.sofifa.org/players/4/19/220414.png,Spain,https://cdn.sofifa.org/flags/45.png,76,80,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,8000000,49000,1965,Left,1,2,3,Medium/ Medium,Normal,Yes,LB,21,2018-07-24,,2022,182,168,66,66,66,67,67,67,67,67,67,67,67,69,70,70,70,69,76,73,73,73,76,76,74,74,74,76,77,38,74,76,53,66,71,69,57,68,67,75,64,71,70,82,72,88,74,72,70,78,59,63,43,64,60,77,76,10,9,15,11,10,15800000,2,0,1,0,0,0
