Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
595,213991,J. Lerma,23,https://cdn.sofifa.org/players/4/19/213991.png,Colombia,https://cdn.sofifa.org/flags/56.png,79,84,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,14500000.0,55000.0,2096,Right,1.0,4.0,3.0,Medium/ High,Lean,Yes,RCM,8.0,"Aug 7, 2018",,2023,177,154,70,70,70,71,71,71,71,71,72,72,72,73,76,76,76,73,79,80,80,80,79,79,79,79,79,79,66.0,56.0,65.0,78.0,56.0,69.0,66.0,65.0,74.0,77.0,74.0,76.0,75.0,72.0,76.0,82.0,84.0,90.0,76.0,75.0,83.0,80.0,58.0,68.0,58.0,63.0,78.0,81.0,81.0,16.0,14.0,11.0,7.0,9.0,28600000.0,3,0,0,1,0,0,1
604,208920,N. Aké,23,https://cdn.sofifa.org/players/4/19/208920.png,Netherlands,https://cdn.sofifa.org/flags/34.png,79,84,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,14500000.0,55000.0,1969,Left,1.0,3.0,2.0,Medium/ High,Lean,Yes,CB,15.0,"Jun 30, 2017",,2022,180,165,66,66,66,68,67,67,67,68,69,69,69,70,72,72,72,70,77,78,78,78,77,78,79,79,79,78,63.0,45.0,74.0,77.0,52.0,67.0,62.0,59.0,73.0,73.0,75.0,74.0,68.0,79.0,69.0,63.0,86.0,73.0,75.0,56.0,72.0,78.0,53.0,65.0,48.0,72.0,79.0,81.0,80.0,10.0,7.0,7.0,16.0,10.0,28600000.0,2,0,1,0,0,0,1
653,196978,C. Wilson,26,https://cdn.sofifa.org/players/4/19/196978.png,England,https://cdn.sofifa.org/flags/14.png,79,81,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,15500000.0,77000.0,1902,Right,1.0,3.0,4.0,High/ Medium,Normal,Yes,ST,13.0,"Jul 4, 2014",,2022,180,146,79,79,79,77,79,79,79,77,76,76,76,75,70,70,70,75,59,58,58,58,59,57,54,54,54,57,52.0,83.0,73.0,71.0,69.0,74.0,63.0,45.0,60.0,77.0,87.0,89.0,74.0,74.0,74.0,76.0,65.0,72.0,75.0,66.0,73.0,40.0,82.0,71.0,75.0,78.0,29.0,39.0,25.0,10.0,15.0,8.0,10.0,6.0,30600000.0,4,0,0,0,1,1,1
704,172723,A. Begović,31,https://cdn.sofifa.org/players/4/19/172723.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,79,79,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,7500000.0,52000.0,1234,Right,3.0,2.0,1.0,Medium/ Medium,Lean,Yes,GK,27.0,"May 30, 2017",,2020,198,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,19.0,12.0,26.0,12.0,16.0,17.0,15.0,32.0,24.0,52.0,58.0,52.0,74.0,40.0,28.0,38.0,36.0,80.0,12.0,42.0,21.0,11.0,34.0,40.0,61.0,18.0,11.0,12.0,80.0,80.0,72.0,77.0,79.0,14300000.0,1,1,0,0,0,0,1
889,193011,S. Cook,27,https://cdn.sofifa.org/players/4/19/193011.png,England,https://cdn.sofifa.org/flags/14.png,78,78,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,8500000.0,58000.0,1644,Right,1.0,3.0,2.0,Medium/ High,Normal,Yes,RCB,3.0,"Jan 1, 2012",,2021,185,181,53,53,53,52,52,52,52,52,55,55,55,56,61,61,61,56,69,74,74,74,69,71,78,78,78,71,41.0,31.0,80.0,70.0,33.0,54.0,31.0,30.0,61.0,67.0,55.0,53.0,55.0,77.0,65.0,48.0,75.0,68.0,78.0,23.0,79.0,78.0,21.0,45.0,35.0,70.0,77.0,78.0,77.0,14.0,12.0,7.0,14.0,12.0,16200000.0,2,0,1,0,0,1,1
938,224294,L. Cook,21,https://cdn.sofifa.org/players/4/19/224294.png,England,https://cdn.sofifa.org/flags/14.png,77,84,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,12500000.0,44000.0,2006,Right,1.0,4.0,3.0,Medium/ Medium,Normal,Yes,CM,16.0,"Jul 8, 2016",,2022,175,157,68,68,68,74,73,73,73,74,76,76,76,75,77,77,77,75,74,75,75,75,74,72,69,69,69,72,67.0,57.0,50.0,79.0,57.0,78.0,66.0,65.0,80.0,80.0,74.0,68.0,75.0,74.0,84.0,64.0,68.0,78.0,63.0,62.0,79.0,69.0,68.0,75.0,61.0,74.0,64.0,71.0,69.0,6.0,15.0,12.0,15.0,13.0,26300000.0,3,0,0,1,0,1,1
1027,50542,J. Defoe,35,https://cdn.sofifa.org/players/4/19/50542.png,England,https://cdn.sofifa.org/flags/14.png,77,77,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,4099999.9999999995,49000.0,1812,Right,2.0,4.0,3.0,Medium/ Low,Lean,Yes,ST,18.0,"Jun 29, 2017",,2020,170,143,78,78,78,75,77,77,77,75,74,74,74,71,64,64,64,71,49,48,48,48,49,46,42,42,42,46,54.0,85.0,65.0,66.0,82.0,74.0,63.0,68.0,43.0,77.0,73.0,63.0,77.0,78.0,87.0,84.0,68.0,55.0,54.0,78.0,62.0,19.0,85.0,65.0,74.0,82.0,30.0,20.0,11.0,7.0,14.0,8.0,10.0,13.0,7700000.0,4,0,0,0,1,1,1
1127,207807,R. Fraser,24,https://cdn.sofifa.org/players/4/19/207807.png,Scotland,https://cdn.sofifa.org/flags/42.png,77,81,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,11500000.0,52000.0,1902,Right,1.0,4.0,3.0,High/ Medium,Stocky,Yes,LM,11.0,"Jan 1, 2013",,2020,162,132,68,68,68,78,75,75,75,78,77,77,77,77,71,71,71,77,66,61,61,61,66,63,52,52,52,63,74.0,70.0,30.0,73.0,43.0,81.0,70.0,67.0,60.0,75.0,90.0,87.0,94.0,72.0,96.0,60.0,60.0,72.0,42.0,69.0,65.0,45.0,72.0,74.0,60.0,68.0,45.0,53.0,42.0,15.0,14.0,15.0,7.0,10.0,22700000.0,3,0,0,1,0,0,1
1444,190885,A. Smith,27,https://cdn.sofifa.org/players/4/19/190885.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,6500000.0,51000.0,1943,Right,1.0,3.0,3.0,High/ Medium,Lean,Yes,RB,15.0,"Jan 28, 2014",,2021,180,172,67,67,67,72,71,71,71,72,72,72,72,73,73,73,73,73,77,74,74,74,77,77,73,73,73,77,74.0,43.0,64.0,74.0,43.0,76.0,64.0,66.0,63.0,74.0,77.0,80.0,72.0,74.0,69.0,72.0,49.0,76.0,65.0,68.0,66.0,74.0,68.0,69.0,48.0,72.0,74.0,78.0,76.0,8.0,9.0,15.0,9.0,6.0,12400000.0,2,0,1,0,0,1,1
1568,220414,Diego Rico,25,https://cdn.sofifa.org/players/4/19/220414.png,Spain,https://cdn.sofifa.org/flags/45.png,76,80,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,8000000.0,49000.0,1965,Left,1.0,2.0,3.0,Medium/ Medium,Normal,Yes,LB,21.0,"Jul 24, 2018",,2022,182,168,66,66,66,67,67,67,67,67,67,67,67,69,70,70,70,69,76,73,73,73,76,76,74,74,74,76,77.0,38.0,74.0,76.0,53.0,66.0,71.0,69.0,57.0,68.0,67.0,75.0,64.0,71.0,70.0,82.0,72.0,88.0,74.0,72.0,70.0,78.0,59.0,63.0,43.0,64.0,60.0,77.0,76.0,10.0,9.0,15.0,11.0,10.0,15800000.0,2,0,1,0,0,0,1
