Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
647,199005,M. Ryan,26,https://cdn.sofifa.org/players/4/19/199005.png,Australia,https://cdn.sofifa.org/flags/195.png,79,81,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10500000.0,41000.0,1341,Right,1.0,4.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jul 1, 2017",,2022,182,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,11.0,14.0,40.0,15.0,13.0,23.0,12.0,45.0,24.0,53.0,52.0,53.0,73.0,50.0,35.0,78.0,34.0,68.0,18.0,36.0,23.0,10.0,68.0,25.0,64.0,10.0,20.0,17.0,81.0,74.0,82.0,78.0,83.0,20700000.0,1,1,0,0,0,0,1
842,199915,L. Dunk,26,https://cdn.sofifa.org/players/4/19/199915.png,England,https://cdn.sofifa.org/flags/14.png,78,81,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,11000000.0,46000.0,1632,Right,1.0,4.0,2.0,High/ High,Normal,Yes,LCB,5.0,"Jul 1, 2010",,2023,193,194,57,57,57,52,56,56,56,52,56,56,56,56,64,64,64,56,67,75,75,75,67,69,78,78,78,69,32.0,37.0,76.0,71.0,24.0,60.0,23.0,39.0,74.0,68.0,38.0,50.0,47.0,79.0,42.0,72.0,72.0,64.0,82.0,21.0,80.0,78.0,30.0,45.0,36.0,72.0,80.0,76.0,78.0,15.0,16.0,9.0,12.0,6.0,21700000.0,2,0,1,0,0,1,1
915,219411,J. Izquierdo,25,https://cdn.sofifa.org/players/4/19/219411.png,Colombia,https://cdn.sofifa.org/flags/56.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10500000.0,45000.0,1860,Right,2.0,3.0,4.0,High/ High,Normal,Yes,LM,19.0,"Aug 16, 2017",,2021,170,165,75,75,75,79,78,78,78,79,77,77,77,77,69,69,69,77,61,55,55,55,61,58,47,47,47,58,70.0,71.0,60.0,69.0,54.0,81.0,75.0,34.0,63.0,78.0,92.0,90.0,91.0,71.0,84.0,80.0,67.0,74.0,59.0,77.0,27.0,37.0,75.0,71.0,58.0,72.0,48.0,21.0,30.0,13.0,8.0,12.0,7.0,13.0,20700000.0,3,0,0,1,0,0,1
944,190765,P. Groß,27,https://cdn.sofifa.org/players/4/19/190765.png,Germany,https://cdn.sofifa.org/flags/21.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10000000.0,47000.0,2074,Right,2.0,4.0,4.0,High/ High,Lean,Yes,CAM,13.0,"Jul 1, 2017",,2022,180,172,73,73,73,77,76,76,76,77,78,78,78,79,80,80,80,79,74,74,74,74,74,71,66,66,66,71,84.0,72.0,53.0,80.0,65.0,75.0,82.0,77.0,81.0,77.0,63.0,65.0,66.0,76.0,73.0,74.0,70.0,93.0,71.0,74.0,66.0,67.0,76.0,84.0,65.0,78.0,57.0,62.0,61.0,8.0,15.0,15.0,16.0,11.0,19800000.0,3,0,0,1,0,0,1
963,215871,A. Jahanbakhsh,24,https://cdn.sofifa.org/players/4/19/215871.png,Iran,https://cdn.sofifa.org/flags/161.png,77,80,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,11500000.0,41000.0,1945,Right,2.0,4.0,4.0,High/ High,Normal,Yes,RM,16.0,"Jul 25, 2018",,2023,180,172,76,76,76,78,78,78,78,78,77,77,77,77,72,72,72,77,64,61,61,61,64,61,55,55,55,61,71.0,72.0,62.0,72.0,72.0,83.0,64.0,46.0,62.0,79.0,79.0,83.0,76.0,74.0,75.0,84.0,87.0,78.0,66.0,79.0,68.0,42.0,72.0,75.0,58.0,75.0,42.0,37.0,40.0,13.0,11.0,9.0,7.0,7.0,22700000.0,3,0,0,1,0,0,1
999,194644,Montoya,27,https://cdn.sofifa.org/players/4/19/194644.png,Spain,https://cdn.sofifa.org/flags/45.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,8000000.0,43000.0,2036,Right,2.0,4.0,3.0,High/ Medium,Lean,Yes,RB,22.0,"Aug 9, 2018",,2022,175,161,69,69,69,71,70,70,70,71,71,71,71,73,72,72,72,73,78,75,75,75,78,77,74,74,74,77,77.0,50.0,62.0,73.0,66.0,70.0,77.0,55.0,69.0,74.0,79.0,79.0,78.0,73.0,80.0,82.0,75.0,83.0,68.0,68.0,69.0,78.0,63.0,63.0,50.0,67.0,72.0,73.0,77.0,6.0,15.0,16.0,8.0,8.0,15800000.0,2,0,1,0,0,0,1
1051,193158,D. Pröpper,26,https://cdn.sofifa.org/players/4/19/193158.png,Netherlands,https://cdn.sofifa.org/flags/34.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10500000.0,47000.0,2032,Right,2.0,3.0,3.0,Medium/ High,Normal,Yes,CM,6.0,"Aug 7, 2017",,2021,185,174,72,72,72,73,74,74,74,73,76,76,76,74,77,77,77,74,71,74,74,74,71,70,70,70,70,70,58.0,62.0,68.0,77.0,72.0,72.0,74.0,71.0,71.0,82.0,64.0,62.0,70.0,77.0,64.0,80.0,68.0,88.0,67.0,78.0,76.0,62.0,66.0,82.0,66.0,84.0,70.0,69.0,61.0,16.0,8.0,16.0,9.0,6.0,20700000.0,3,0,0,1,0,0,1
1056,172937,G. Murray,34,https://cdn.sofifa.org/players/4/19/172937.png,England,https://cdn.sofifa.org/flags/14.png,77,77,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,4700000.0,51000.0,1796,Right,1.0,3.0,2.0,Low/ Medium,Lean,Yes,ST,17.0,"Jan 31, 2017",,2020,182,176,77,77,77,68,73,73,73,68,71,71,71,66,68,68,68,66,52,58,58,58,52,50,56,56,56,50,48.0,83.0,85.0,69.0,74.0,65.0,57.0,33.0,55.0,74.0,34.0,34.0,52.0,84.0,71.0,78.0,84.0,55.0,77.0,64.0,79.0,45.0,88.0,70.0,80.0,81.0,44.0,29.0,23.0,15.0,16.0,14.0,7.0,10.0,8900000.0,4,0,0,0,1,1,1
1184,225018,F. Andone,25,https://cdn.sofifa.org/players/4/19/225018.png,Romania,https://cdn.sofifa.org/flags/39.png,77,81,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,11500000.0,49000.0,1972,Right,2.0,3.0,3.0,High/ High,Normal,Yes,ST,10.0,"Jun 8, 2018",,2023,180,172,78,78,78,74,76,76,76,74,74,74,74,74,70,70,70,74,65,64,64,64,65,63,62,62,62,63,62.0,75.0,76.0,67.0,74.0,70.0,58.0,55.0,53.0,74.0,76.0,73.0,76.0,83.0,69.0,77.0,78.0,86.0,74.0,72.0,86.0,51.0,84.0,67.0,74.0,85.0,46.0,52.0,38.0,8.0,6.0,11.0,15.0,6.0,22700000.0,4,0,0,0,1,0,1
1400,203910,A. Knockaert,26,https://cdn.sofifa.org/players/4/19/203910.png,France,https://cdn.sofifa.org/flags/18.png,76,76,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,8500000.0,44000.0,1981,Left,1.0,3.0,4.0,High/ High,Normal,Yes,RM,11.0,"Jan 7, 2016",,2022,172,152,73,73,73,78,77,77,77,78,77,77,77,77,72,72,72,77,65,64,64,64,65,62,58,58,58,62,75.0,71.0,59.0,73.0,61.0,83.0,75.0,71.0,64.0,80.0,75.0,72.0,90.0,72.0,84.0,73.0,72.0,72.0,54.0,70.0,80.0,52.0,74.0,74.0,68.0,73.0,58.0,40.0,34.0,14.0,14.0,8.0,11.0,8.0,16200000.0,3,0,0,1,0,0,1
