Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
647,199005,M. Ryan,26,https://cdn.sofifa.org/players/4/19/199005.png,Australia,https://cdn.sofifa.org/flags/195.png,79,81,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10500000,41000,1341,Right,1,4,1,Medium/ Medium,Normal,Yes,GK,1,2017-07-01,,2022,182,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,35,78,34,68,18,36,23,10,68,25,64,10,20,17,81,74,82,78,83,20700000,1,1,0,0,0,0
842,199915,L. Dunk,26,https://cdn.sofifa.org/players/4/19/199915.png,England,https://cdn.sofifa.org/flags/14.png,78,81,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,11000000,46000,1632,Right,1,4,2,High/ High,Normal,Yes,LCB,5,2010-07-01,,2023,193,194,57,57,57,52,56,56,56,52,56,56,56,56,64,64,64,56,67,75,75,75,67,69,78,78,78,69,32,37,76,71,24,60,23,39,74,68,38,50,47,79,42,72,72,64,82,21,80,78,30,45,36,72,80,76,78,15,16,9,12,6,21700000,2,0,1,0,0,0
915,219411,J. Izquierdo,25,https://cdn.sofifa.org/players/4/19/219411.png,Colombia,https://cdn.sofifa.org/flags/56.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10500000,45000,1860,Right,2,3,4,High/ High,Normal,Yes,LM,19,2017-08-16,,2021,170,165,75,75,75,79,78,78,78,79,77,77,77,77,69,69,69,77,61,55,55,55,61,58,47,47,47,58,70,71,60,69,54,81,75,34,63,78,92,90,91,71,84,80,67,74,59,77,27,37,75,71,58,72,48,21,30,13,8,12,7,13,20700000,3,0,0,1,0,0
944,190765,P. Groß,27,https://cdn.sofifa.org/players/4/19/190765.png,Germany,https://cdn.sofifa.org/flags/21.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10000000,47000,2074,Right,2,4,4,High/ High,Lean,Yes,CAM,13,2017-07-01,,2022,180,172,73,73,73,77,76,76,76,77,78,78,78,79,80,80,80,79,74,74,74,74,74,71,66,66,66,71,84,72,53,80,65,75,82,77,81,77,63,65,66,76,73,74,70,93,71,74,66,67,76,84,65,78,57,62,61,8,15,15,16,11,19800000,3,0,0,1,0,0
963,215871,A. Jahanbakhsh,24,https://cdn.sofifa.org/players/4/19/215871.png,Iran,https://cdn.sofifa.org/flags/161.png,77,80,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,11500000,41000,1945,Right,2,4,4,High/ High,Normal,Yes,RM,16,2018-07-25,,2023,180,172,76,76,76,78,78,78,78,78,77,77,77,77,72,72,72,77,64,61,61,61,64,61,55,55,55,61,71,72,62,72,72,83,64,46,62,79,79,83,76,74,75,84,87,78,66,79,68,42,72,75,58,75,42,37,40,13,11,9,7,7,22700000,3,0,0,1,0,0
999,194644,Montoya,27,https://cdn.sofifa.org/players/4/19/194644.png,Spain,https://cdn.sofifa.org/flags/45.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,8000000,43000,2036,Right,2,4,3,High/ Medium,Lean,Yes,RB,22,2018-08-09,,2022,175,161,69,69,69,71,70,70,70,71,71,71,71,73,72,72,72,73,78,75,75,75,78,77,74,74,74,77,77,50,62,73,66,70,77,55,69,74,79,79,78,73,80,82,75,83,68,68,69,78,63,63,50,67,72,73,77,6,15,16,8,8,15800000,2,0,1,0,0,0
1051,193158,D. Pröpper,26,https://cdn.sofifa.org/players/4/19/193158.png,Netherlands,https://cdn.sofifa.org/flags/34.png,77,78,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,10500000,47000,2032,Right,2,3,3,Medium/ High,Normal,Yes,CM,6,2017-08-07,,2021,185,174,72,72,72,73,74,74,74,73,76,76,76,74,77,77,77,74,71,74,74,74,71,70,70,70,70,70,58,62,68,77,72,72,74,71,71,82,64,62,70,77,64,80,68,88,67,78,76,62,66,82,66,84,70,69,61,16,8,16,9,6,20700000,3,0,0,1,0,0
1056,172937,G. Murray,34,https://cdn.sofifa.org/players/4/19/172937.png,England,https://cdn.sofifa.org/flags/14.png,77,77,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,4700000,51000,1796,Right,1,3,2,Low/ Medium,Lean,Yes,ST,17,2017-01-31,,2020,182,176,77,77,77,68,73,73,73,68,71,71,71,66,68,68,68,66,52,58,58,58,52,50,56,56,56,50,48,83,85,69,74,65,57,33,55,74,34,34,52,84,71,78,84,55,77,64,79,45,88,70,80,81,44,29,23,15,16,14,7,10,8900000,4,0,0,0,1,0
1184,225018,F. Andone,25,https://cdn.sofifa.org/players/4/19/225018.png,Romania,https://cdn.sofifa.org/flags/39.png,77,81,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,11500000,49000,1972,Right,2,3,3,High/ High,Normal,Yes,ST,10,2018-06-08,,2023,180,172,78,78,78,74,76,76,76,74,74,74,74,74,70,70,70,74,65,64,64,64,65,63,62,62,62,63,62,75,76,67,74,70,58,55,53,74,76,73,76,83,69,77,78,86,74,72,86,51,84,67,74,85,46,52,38,8,6,11,15,6,22700000,4,0,0,0,1,0
1400,203910,A. Knockaert,26,https://cdn.sofifa.org/players/4/19/203910.png,France,https://cdn.sofifa.org/flags/18.png,76,76,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/1808.png,8500000,44000,1981,Left,1,3,4,High/ High,Normal,Yes,RM,11,2016-01-07,,2022,172,152,73,73,73,78,77,77,77,78,77,77,77,77,72,72,72,77,65,64,64,64,65,62,58,58,58,62,75,71,59,73,61,83,75,71,64,80,75,72,90,72,84,73,72,72,54,70,80,52,74,74,68,73,58,40,34,14,14,8,11,8,16200000,3,0,0,1,0,0
