Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
463,203841,N. Pope,26,https://cdn.sofifa.org/players/4/19/203841.png,England,https://cdn.sofifa.org/flags/14.png,80,83,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,13000000.0,48000.0,1215,Right,1.0,3.0,1.0,Medium/ Medium,Lean,Yes,GK,23.0,"Jul 20, 2016",,2020,200,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,14.0,11.0,32.0,14.0,15.0,13.0,12.0,35.0,24.0,50.0,47.0,36.0,71.0,45.0,17.0,72.0,37.0,73.0,15.0,36.0,21.0,13.0,43.0,22.0,62.0,14.0,15.0,14.0,79.0,80.0,74.0,80.0,80.0,25700000.0,1,1,0,0,0,1,1
468,202695,J. Tarkowski,25,https://cdn.sofifa.org/players/4/19/202695.png,England,https://cdn.sofifa.org/flags/14.png,80,83,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,15500000.0,56000.0,1858,Right,1.0,4.0,2.0,Medium/ Medium,Normal,Yes,RCB,5.0,"Feb 1, 2016",,2022,193,179,60,60,60,61,62,62,62,61,64,64,64,65,69,69,69,65,73,77,77,77,73,75,80,80,80,75,59.0,36.0,80.0,73.0,40.0,66.0,54.0,57.0,72.0,70.0,55.0,63.0,58.0,75.0,57.0,63.0,82.0,69.0,81.0,38.0,79.0,79.0,43.0,66.0,52.0,79.0,79.0,82.0,80.0,14.0,8.0,12.0,9.0,7.0,30600000.0,2,0,1,0,0,1,1
531,170815,S. Defour,30,https://cdn.sofifa.org/players/4/19/170815.png,Belgium,https://cdn.sofifa.org/flags/7.png,80,80,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,13500000.0,65000.0,2138,Right,2.0,3.0,3.0,Medium/ Medium,Normal,Yes,LCM,16.0,"Aug 16, 2016",,2019,175,159,74,74,74,77,77,77,77,77,78,78,78,77,80,80,80,77,78,80,80,80,78,77,77,77,77,77,77.0,67.0,62.0,81.0,70.0,78.0,78.0,77.0,78.0,80.0,67.0,62.0,71.0,80.0,79.0,76.0,70.0,77.0,68.0,74.0,81.0,82.0,73.0,80.0,71.0,82.0,79.0,76.0,71.0,7.0,6.0,14.0,16.0,10.0,25700000.0,3,0,0,1,0,0,1
664,191076,J. Guðmundsson,27,https://cdn.sofifa.org/players/4/19/191076.png,Iceland,https://cdn.sofifa.org/flags/24.png,79,79,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,13000000.0,61000.0,2084,Left,1.0,4.0,4.0,High/ High,Normal,Yes,RM,7.0,"Jul 20, 2016",,2021,177,170,76,76,76,79,79,79,79,79,79,79,79,80,77,77,77,80,72,70,70,70,72,69,65,65,65,69,82.0,70.0,64.0,78.0,72.0,81.0,79.0,77.0,75.0,79.0,79.0,77.0,76.0,77.0,76.0,84.0,78.0,78.0,70.0,74.0,66.0,58.0,74.0,79.0,70.0,79.0,58.0,59.0,49.0,7.0,6.0,14.0,10.0,8.0,24700000.0,3,0,0,1,0,0,1
668,189682,B. Mee,28,https://cdn.sofifa.org/players/4/19/189682.png,England,https://cdn.sofifa.org/flags/14.png,79,79,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,10000000.0,58000.0,1799,Left,1.0,3.0,2.0,Medium/ High,Normal,Yes,LCB,6.0,"Jan 17, 2012",,2019,182,181,57,57,57,59,58,58,58,59,59,59,59,62,64,64,64,62,73,74,74,74,73,74,80,80,80,74,63.0,30.0,79.0,63.0,29.0,63.0,45.0,31.0,61.0,65.0,62.0,63.0,63.0,75.0,70.0,60.0,93.0,70.0,82.0,39.0,82.0,79.0,38.0,60.0,36.0,74.0,79.0,81.0,80.0,15.0,7.0,12.0,10.0,14.0,19000000.0,2,0,1,0,0,1,1
710,163264,T. Heaton,32,https://cdn.sofifa.org/players/4/19/163264.png,England,https://cdn.sofifa.org/flags/14.png,79,79,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,7000000.0,45000.0,1266,Right,2.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jul 1, 2013",,2020,187,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,12.0,16.0,32.0,12.0,17.0,15.0,13.0,37.0,28.0,56.0,55.0,54.0,73.0,52.0,14.0,73.0,40.0,66.0,12.0,31.0,24.0,12.0,46.0,24.0,62.0,16.0,15.0,13.0,79.0,78.0,74.0,80.0,80.0,13300000.0,1,1,0,0,0,1,1
718,150724,J. Hart,31,https://cdn.sofifa.org/players/4/19/150724.png,England,https://cdn.sofifa.org/flags/14.png,79,79,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,7500000.0,45000.0,1260,Right,3.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,20.0,"Aug 7, 2018",,2020,195,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,10.0,34.0,19.0,23.0,17.0,13.0,35.0,20.0,56.0,60.0,50.0,72.0,32.0,40.0,69.0,28.0,61.0,19.0,36.0,25.0,14.0,42.0,30.0,58.0,16.0,14.0,13.0,80.0,76.0,70.0,77.0,81.0,14300000.0,1,1,0,0,0,1,1
880,169706,J. Cork,29,https://cdn.sofifa.org/players/4/19/169706.png,England,https://cdn.sofifa.org/flags/14.png,78,78,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,10000000.0,58000.0,2057,Right,2.0,4.0,3.0,Medium/ High,Normal,Yes,RCM,4.0,"Jul 11, 2017",,2021,182,165,71,71,71,71,72,72,72,71,74,74,74,74,79,79,79,74,78,81,81,81,78,77,79,79,79,77,68.0,58.0,75.0,80.0,60.0,75.0,75.0,58.0,79.0,79.0,57.0,54.0,63.0,78.0,71.0,74.0,75.0,92.0,77.0,59.0,80.0,79.0,68.0,76.0,60.0,80.0,80.0,79.0,76.0,13.0,11.0,16.0,6.0,6.0,19000000.0,3,0,0,1,0,1,1
1040,192123,C. Wood,26,https://cdn.sofifa.org/players/4/19/192123.png,New Zealand,https://cdn.sofifa.org/flags/198.png,77,78,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,10500000.0,56000.0,1892,Right,1.0,3.0,2.0,High/ Medium,Normal,Yes,ST,9.0,"Aug 21, 2017",,2021,187,203,78,78,78,70,74,74,74,70,71,71,71,69,65,65,65,69,55,56,56,56,55,54,56,56,56,54,46.0,78.0,83.0,65.0,69.0,66.0,69.0,64.0,48.0,74.0,68.0,75.0,65.0,75.0,61.0,80.0,76.0,70.0,84.0,71.0,74.0,40.0,79.0,64.0,81.0,77.0,39.0,30.0,29.0,14.0,16.0,16.0,7.0,16.0,20700000.0,4,0,0,0,1,0,1
1080,201884,R. Brady,26,https://cdn.sofifa.org/players/4/19/201884.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,77,78,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,10500000.0,52000.0,2076,Left,1.0,3.0,4.0,High/ Medium,Normal,Yes,LWB,12.0,"Jan 31, 2017",,2020,177,170,74,74,74,77,76,76,76,77,76,76,76,77,75,75,75,77,74,71,71,71,74,73,68,68,68,73,80.0,70.0,59.0,72.0,66.0,78.0,81.0,79.0,75.0,76.0,79.0,78.0,74.0,74.0,76.0,78.0,73.0,74.0,64.0,75.0,58.0,66.0,73.0,77.0,72.0,74.0,63.0,68.0,71.0,12.0,8.0,13.0,7.0,7.0,20700000.0,2,0,1,0,0,0,1
1151,199633,M. Lowton,29,https://cdn.sofifa.org/players/4/19/199633.png,England,https://cdn.sofifa.org/flags/14.png,77,77,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,6500000.0,50000.0,2051,Right,1.0,3.0,2.0,High/ High,Normal,Yes,RB,2.0,"Jun 22, 2015",,2021,180,172,71,71,71,74,73,73,73,74,74,74,74,76,76,76,76,76,78,78,78,78,78,78,77,77,77,78,81.0,52.0,73.0,75.0,70.0,75.0,77.0,46.0,74.0,77.0,74.0,70.0,69.0,78.0,71.0,72.0,77.0,79.0,73.0,68.0,76.0,76.0,70.0,75.0,49.0,76.0,78.0,77.0,76.0,11.0,6.0,6.0,13.0,7.0,12400000.0,2,0,1,0,0,1,1
1234,186905,A. Barnes,28,https://cdn.sofifa.org/players/4/19/186905.png,Austria,https://cdn.sofifa.org/flags/4.png,76,76,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,8000000.0,55000.0,1946,Right,1.0,4.0,3.0,High/ High,Normal,Yes,ST,10.0,"Jan 10, 2014",,2021,185,185,77,77,77,73,75,75,75,73,74,74,74,73,71,71,71,73,61,63,63,63,61,59,60,60,60,59,66.0,77.0,78.0,70.0,72.0,74.0,60.0,56.0,63.0,77.0,64.0,60.0,68.0,76.0,71.0,81.0,82.0,77.0,78.0,67.0,87.0,41.0,79.0,70.0,77.0,78.0,43.0,46.0,39.0,6.0,10.0,11.0,10.0,10.0,15200000.0,4,0,0,0,1,0,1
1250,179746,S. Vokes,28,https://cdn.sofifa.org/players/4/19/179746.png,Wales,https://cdn.sofifa.org/flags/50.png,76,76,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,8000000.0,55000.0,1864,Right,1.0,3.0,2.0,High/ Medium,Stocky,Yes,ST,9.0,"Jul 31, 2012",,2021,187,198,76,76,76,69,73,73,73,69,71,71,71,69,69,69,69,69,57,60,60,60,57,55,59,59,59,55,59.0,77.0,84.0,68.0,70.0,65.0,61.0,46.0,60.0,76.0,50.0,55.0,50.0,76.0,60.0,80.0,89.0,73.0,84.0,71.0,80.0,42.0,78.0,70.0,79.0,75.0,42.0,38.0,29.0,13.0,14.0,9.0,9.0,7.0,15200000.0,4,0,0,0,1,0,1
1453,152747,A. Lennon,31,https://cdn.sofifa.org/players/4/19/152747.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,7000000.0,48000.0,1904,Right,2.0,3.0,3.0,High/ High,Normal,Yes,RM,25.0,"Jan 23, 2018",,2020,165,139,68,68,68,77,75,75,75,77,76,76,76,77,72,72,72,77,68,64,64,64,68,64,55,55,55,64,75.0,65.0,28.0,73.0,68.0,81.0,63.0,55.0,61.0,78.0,83.0,81.0,87.0,75.0,91.0,64.0,68.0,76.0,54.0,57.0,57.0,52.0,73.0,73.0,62.0,77.0,56.0,50.0,43.0,14.0,7.0,7.0,16.0,11.0,13300000.0,3,0,0,1,0,1,1
1630,200478,J. Hendrick,26,https://cdn.sofifa.org/players/4/19/200478.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,75,77,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,8000000.0,46000.0,2060,Right,1.0,3.0,3.0,Medium/ High,Normal,Yes,CM,13.0,"Aug 31, 2016",,2019,182,185,73,73,73,74,75,75,75,74,75,75,75,75,77,77,77,75,75,76,76,76,75,74,74,74,74,74,70.0,67.0,69.0,78.0,68.0,76.0,73.0,64.0,76.0,76.0,70.0,67.0,68.0,74.0,74.0,74.0,74.0,78.0,71.0,69.0,75.0,75.0,73.0,74.0,63.0,74.0,74.0,71.0,69.0,12.0,6.0,9.0,9.0,14.0,15800000.0,3,0,0,1,0,0,1
1773,189280,A. Westwood,28,https://cdn.sofifa.org/players/4/19/189280.png,England,https://cdn.sofifa.org/flags/14.png,75,75,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,6500000.0,48000.0,1960,Right,1.0,3.0,3.0,Medium/ Medium,Lean,Yes,CM,18.0,"Jan 31, 2017",,2020,175,161,64,64,64,69,68,68,68,69,71,71,71,71,75,75,75,71,74,76,76,76,74,73,72,72,72,73,76.0,49.0,55.0,80.0,51.0,67.0,71.0,75.0,79.0,74.0,63.0,55.0,70.0,75.0,77.0,71.0,71.0,80.0,66.0,57.0,70.0,74.0,60.0,74.0,55.0,76.0,76.0,72.0,66.0,10.0,13.0,13.0,7.0,8.0,12400000.0,3,0,0,1,0,1,1
1977,165321,S. Ward,32,https://cdn.sofifa.org/players/4/19/165321.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,75,75,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,3700000.0,42000.0,1983,Left,2.0,5.0,3.0,High/ High,Normal,Yes,LB,23.0,"Aug 15, 2014",,2019,185,176,68,68,68,69,69,69,69,69,69,69,69,71,72,72,72,71,75,76,76,76,75,75,77,77,77,75,73.0,57.0,73.0,73.0,66.0,71.0,69.0,55.0,68.0,73.0,63.0,60.0,63.0,79.0,62.0,70.0,72.0,78.0,72.0,54.0,80.0,76.0,60.0,64.0,62.0,73.0,77.0,76.0,75.0,6.0,16.0,13.0,11.0,16.0,7000000.0,2,0,1,0,0,0,1
2471,198331,M. Vydra,26,https://cdn.sofifa.org/players/4/19/198331.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,74,76,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,7000000.0,43000.0,1889,Right,1.0,4.0,3.0,Medium/ Medium,Normal,No,CAM,27.0,"Aug 7, 2018",,2021,175,157,74,74,74,75,75,75,75,75,74,74,74,74,67,67,67,74,58,54,54,54,58,56,48,48,48,56,64.0,78.0,59.0,69.0,70.0,70.0,69.0,64.0,60.0,74.0,86.0,83.0,80.0,73.0,72.0,72.0,76.0,69.0,60.0,71.0,53.0,31.0,77.0,70.0,79.0,72.0,37.0,28.0,34.0,10.0,11.0,12.0,13.0,15.0,13800000.0,3,0,0,1,0,0,1
2529,200408,B. Gibson,25,https://cdn.sofifa.org/players/4/19/200408.png,England,https://cdn.sofifa.org/flags/14.png,74,80,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,6500000.0,37000.0,1518,Left,1.0,3.0,2.0,Medium/ Medium,Normal,Yes,CB,14.0,"Aug 5, 2018",,2022,185,172,48,48,48,47,47,47,47,47,49,49,49,50,55,55,55,50,64,69,69,69,64,67,74,74,74,67,28.0,24.0,74.0,65.0,20.0,40.0,31.0,22.0,57.0,62.0,61.0,59.0,57.0,70.0,69.0,33.0,75.0,63.0,77.0,28.0,68.0,73.0,24.0,29.0,21.0,55.0,76.0,75.0,74.0,12.0,8.0,16.0,16.0,11.0,13700000.0,2,0,1,0,0,1,1
2530,204760,C. Taylor,24,https://cdn.sofifa.org/players/4/19/204760.png,England,https://cdn.sofifa.org/flags/14.png,74,78,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,6000000.0,33000.0,1938,Left,1.0,2.0,3.0,High/ Medium,Normal,Yes,LB,3.0,"Jul 6, 2017",,2021,185,154,66,66,66,70,68,68,68,70,69,69,69,71,70,70,70,71,74,73,73,73,74,74,74,74,74,74,75.0,49.0,70.0,71.0,43.0,73.0,69.0,61.0,67.0,72.0,71.0,72.0,72.0,71.0,71.0,63.0,73.0,74.0,69.0,59.0,74.0,72.0,63.0,65.0,45.0,70.0,74.0,74.0,72.0,13.0,6.0,14.0,13.0,8.0,11900000.0,2,0,1,0,0,1,1
2833,194146,K. Long,27,https://cdn.sofifa.org/players/4/19/194146.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,73,73,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,3400000.0,36000.0,1603,Right,1.0,2.0,2.0,Low/ Medium,Normal,Yes,LCB,21.0,"Jan 25, 2010",,2021,190,181,54,54,54,52,54,54,54,52,54,54,54,55,58,58,58,55,64,67,67,67,64,66,73,73,73,66,38.0,29.0,76.0,60.0,26.0,53.0,38.0,32.0,55.0,58.0,58.0,59.0,57.0,66.0,56.0,56.0,79.0,66.0,77.0,27.0,75.0,71.0,48.0,50.0,32.0,66.0,72.0,73.0,72.0,8.0,14.0,7.0,8.0,7.0,6400000.0,2,0,1,0,0,0,1
3784,163261,P. Bardsley,33,https://cdn.sofifa.org/players/4/19/163261.png,Scotland,https://cdn.sofifa.org/flags/42.png,72,72,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,1200000.0,32000.0,1878,Right,1.0,3.0,3.0,Medium/ Medium,Normal,Yes,RB,26.0,"Jul 25, 2017",,2019,180,174,65,65,65,65,65,65,65,65,65,65,65,66,69,69,69,66,72,74,74,74,72,72,75,75,75,72,70.0,47.0,69.0,70.0,43.0,66.0,66.0,33.0,64.0,70.0,57.0,50.0,65.0,74.0,62.0,83.0,73.0,72.0,76.0,66.0,85.0,73.0,58.0,59.0,56.0,67.0,73.0,75.0,78.0,11.0,8.0,9.0,9.0,8.0,2300000.0,2,0,1,0,0,0,1
7145,135043,A. Lindegaard,34,https://cdn.sofifa.org/players/4/19/135043.png,Denmark,https://cdn.sofifa.org/flags/13.png,68,68,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,375000.0,14000.0,1204,Right,2.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,22.0,"Sep 21, 2017",,2019,193,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,16.0,14.0,19.0,13.0,17.0,11.0,18.0,28.0,31.0,47.0,52.0,53.0,61.0,54.0,28.0,68.0,25.0,69.0,19.0,32.0,23.0,19.0,50.0,42.0,55.0,11.0,15.0,14.0,69.0,70.0,69.0,65.0,68.0,713000.0,1,1,0,0,0,0,1
11343,243282,D. McNeil,18,https://cdn.sofifa.org/players/4/19/243282.png,England,https://cdn.sofifa.org/flags/14.png,64,79,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,925000.0,5000.0,1670,Left,1.0,2.0,3.0,High/ Medium,Lean,No,LM,31.0,"Apr 10, 2018",,2020,182,150,63,63,63,65,64,64,64,65,63,63,63,65,59,59,59,65,53,49,49,49,53,51,45,45,45,51,64.0,59.0,57.0,60.0,57.0,67.0,62.0,59.0,52.0,64.0,74.0,72.0,71.0,58.0,79.0,59.0,68.0,66.0,62.0,56.0,44.0,27.0,59.0,60.0,58.0,64.0,25.0,36.0,35.0,6.0,14.0,14.0,12.0,14.0,2300000.0,3,0,0,1,0,1,1
11969,182761,A. Legzdins,31,https://cdn.sofifa.org/players/4/19/182761.png,England,https://cdn.sofifa.org/flags/14.png,64,64,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,270000.0,8000.0,1072,Right,1.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,30.0,"Aug 8, 2017",,2020,190,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,13.0,19.0,20.0,18.0,15.0,17.0,17.0,25.0,17.0,35.0,30.0,47.0,62.0,45.0,20.0,62.0,31.0,67.0,12.0,37.0,16.0,15.0,49.0,17.0,60.0,11.0,11.0,11.0,64.0,61.0,62.0,64.0,65.0,513000.0,1,1,0,0,0,1,1
13160,228382,D. Agyei,21,https://cdn.sofifa.org/players/4/19/228382.png,England,https://cdn.sofifa.org/flags/14.png,62,71,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,475000.0,7000.0,1543,Left,1.0,3.0,2.0,High/ Medium,Lean,Yes,ST,32.0,"Aug 4, 2015",,2019,182,170,62,62,62,60,61,61,61,60,59,59,59,59,53,53,53,59,46,45,45,45,46,45,44,44,44,45,39.0,56.0,59.0,55.0,49.0,60.0,55.0,33.0,40.0,59.0,75.0,75.0,66.0,56.0,60.0,64.0,68.0,60.0,74.0,53.0,60.0,25.0,61.0,54.0,59.0,65.0,29.0,23.0,25.0,11.0,9.0,15.0,10.0,6.0,998000.0,4,0,0,0,1,1,1
16386,243281,O. Younger,18,https://cdn.sofifa.org/players/4/19/243281.png,England,https://cdn.sofifa.org/flags/14.png,57,70,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,160000.0,3000.0,1283,Right,1.0,2.0,2.0,Medium/ Medium,Stocky,No,CB,35.0,"Apr 5, 2018",,2020,182,154,41,41,41,37,38,38,38,37,37,37,37,37,40,40,40,37,48,50,50,50,48,51,58,58,58,51,29.0,28.0,55.0,42.0,34.0,29.0,30.0,32.0,29.0,35.0,47.0,39.0,37.0,57.0,64.0,50.0,61.0,33.0,58.0,27.0,57.0,57.0,29.0,35.0,46.0,42.0,59.0,61.0,59.0,13.0,12.0,15.0,10.0,14.0,404000.0,2,0,1,0,0,1,1
16506,233368,R. Harker,18,https://cdn.sofifa.org/players/4/19/233368.png,England,https://cdn.sofifa.org/flags/14.png,57,75,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png,220000.0,4000.0,1360,Right,1.0,3.0,2.0,Medium/ Medium,Normal,No,ST,49.0,"Jul 10, 2018",,2019,180,176,57,57,57,53,55,55,55,53,52,52,52,51,46,46,46,51,40,38,38,38,40,39,38,38,38,39,33.0,58.0,53.0,48.0,44.0,48.0,39.0,29.0,33.0,51.0,64.0,67.0,58.0,53.0,60.0,64.0,60.0,46.0,58.0,56.0,39.0,30.0,54.0,43.0,55.0,51.0,14.0,24.0,20.0,9.0,11.0,14.0,12.0,13.0,556000.0,4,0,0,0,1,1,1
