Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
1467,219571,Camarasa,24,https://cdn.sofifa.org/players/4/19/219571.png,Spain,https://cdn.sofifa.org/flags/45.png,76,83,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,10500000,20000,1972,Right,1,3,3,High/ Medium,Lean,Yes,RM,21,,Real Betis,"Jun 30, 2019",182,168,71,71,71,72,73,73,73,72,75,75,75,73,76,76,76,73,71,75,75,75,71,70,72,72,72,70,60,67,57,78,59,74,57,66,75,77,65,55,66,72,69,76,72,73,74,69,73,70,72,76,56,69,70,73,68,14,9,11,11,8,0,3,0,0,1,0,0
1849,172425,S. Bamba,33,https://cdn.sofifa.org/players/4/19/172425.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,75,75,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,2700000,38000,1444,Right,1,3,2,Medium/ Medium,Normal,Yes,LCB,22,2016-10-11,,2020,190,190,50,50,50,47,49,49,49,47,49,49,49,50,54,54,54,50,62,68,68,68,62,65,76,76,76,65,27,27,76,59,16,58,34,16,53,57,53,55,32,65,32,51,65,52,89,15,82,79,24,38,19,64,72,75,74,7,6,16,12,8,5400000,2,0,1,0,0,0
1876,184469,H. Arter,28,https://cdn.sofifa.org/players/4/19/184469.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,75,75,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,6500000,55000,1991,Left,1,5,3,High/ High,Normal,Yes,CM,22,,Bournemouth,"Jun 30, 2019",175,154,70,70,70,71,72,72,72,71,74,74,74,72,76,76,76,72,71,75,75,75,71,70,71,71,71,70,62,66,53,80,63,69,64,70,77,75,65,58,71,72,75,76,68,71,69,73,86,70,69,73,68,73,64,74,67,7,7,11,10,8,0,3,0,0,1,0,0
2107,189462,J. Hoilett,28,https://cdn.sofifa.org/players/4/19/189462.png,Canada,https://cdn.sofifa.org/flags/70.png,74,74,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,5500000,44000,1896,Right,2,3,3,Medium/ Medium,Normal,Yes,LM,10,2016-10-10,,2021,172,154,73,73,73,76,75,75,75,76,75,75,75,74,68,68,68,74,59,56,56,56,59,56,50,50,50,56,71,68,58,68,69,76,69,65,63,75,88,87,85,70,83,76,71,58,63,73,66,45,71,73,68,66,20,39,28,11,10,9,11,9,11000000,3,0,0,1,0,0
2159,198190,G. Cunningham,27,https://cdn.sofifa.org/players/4/19/198190.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,74,75,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,5000000,35000,1890,Left,1,3,3,Medium/ High,Normal,Yes,LB,18,2018-06-13,,2021,182,154,66,66,66,69,67,67,67,69,67,67,67,70,68,68,68,70,74,72,72,72,74,74,74,74,74,74,73,55,70,69,25,70,47,56,67,69,75,77,70,72,69,60,73,79,72,54,82,69,60,55,44,72,71,74,74,16,16,9,11,7,10400000,2,0,1,0,0,0
2293,188270,B. Ecuélé Manga,29,https://cdn.sofifa.org/players/4/19/188270.png,Gabon,https://cdn.sofifa.org/flags/115.png,74,74,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,4400000,37000,1518,Right,1,3,2,Medium/ High,Normal,Yes,RB,5,2014-09-01,,2019,185,168,48,48,48,48,47,47,47,48,49,49,49,52,56,56,56,52,65,69,69,69,65,68,74,74,74,68,56,23,72,62,26,39,35,25,59,59,54,58,31,67,35,43,60,52,81,29,78,78,23,51,46,67,70,75,74,12,16,8,14,7,8700000,2,0,1,0,0,0
2388,187033,S. Morrison,27,https://cdn.sofifa.org/players/4/19/187033.png,England,https://cdn.sofifa.org/flags/14.png,74,76,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,5500000,35000,1483,Right,1,2,2,Medium/ High,Normal,Yes,RCB,4,2014-08-15,,2022,193,185,47,47,47,43,44,44,44,43,44,44,44,45,50,50,50,45,60,65,65,65,60,64,74,74,74,64,30,22,78,53,20,43,20,27,47,54,44,46,54,69,45,52,75,59,84,18,81,73,25,31,47,57,74,73,74,16,6,16,11,16,11400000,2,0,1,0,0,0
2451,204464,J. Ralls,24,https://cdn.sofifa.org/players/4/19/204464.png,England,https://cdn.sofifa.org/flags/14.png,74,79,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,7500000,34000,1963,Left,1,2,3,Medium/ High,Normal,Yes,RCM,8,2011-10-01,,2022,177,154,67,67,67,72,71,71,71,72,73,73,73,72,74,74,74,72,73,74,74,74,73,71,67,67,67,71,72,67,37,75,61,71,71,70,74,73,66,61,71,74,68,72,49,77,58,69,74,72,65,73,73,67,68,73,69,9,16,13,11,11,15600000,3,0,0,1,0,0
2876,184436,A. Smithies,28,https://cdn.sofifa.org/players/4/19/184436.png,England,https://cdn.sofifa.org/flags/14.png,73,75,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,3300000,28000,1211,Right,1,2,1,Medium/ Medium,Lean,Yes,GK,12,2018-06-28,,2022,187,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,17,30,13,14,11,11,15,23,59,59,33,65,44,46,82,39,66,13,37,24,17,43,21,58,15,12,17,76,69,67,74,74,6900000,1,1,0,0,0,0
3000,193186,N. Etheridge,28,https://cdn.sofifa.org/players/4/19/193186.png,Philippines,https://cdn.sofifa.org/flags/181.png,73,75,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,3300000,28000,1207,Right,1,3,1,Medium/ Medium,Stocky,Yes,GK,1,2017-07-01,,2021,190,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,11,31,11,21,18,18,21,32,51,53,54,74,58,24,45,34,76,11,16,24,18,48,43,62,12,14,13,74,67,63,74,74,6900000,1,1,0,0,0,0
