Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
5,183277,E. Hazard,27,https://cdn.sofifa.org/players/4/19/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,91,91,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,93000000.0,340000.0,2142,Right,4.0,4.0,4.0,High/ Medium,Normal,Yes,LF,10.0,"Jul 1, 2012",,2020,172,163,86,86,86,92,91,91,91,92,92,92,92,92,85,85,85,92,69,66,66,66,69,63,52,52,52,63,81.0,84.0,61.0,89.0,80.0,95.0,83.0,79.0,83.0,94.0,94.0,88.0,95.0,90.0,94.0,82.0,56.0,83.0,66.0,80.0,54.0,41.0,87.0,89.0,86.0,91.0,34.0,27.0,22.0,11.0,12.0,6.0,8.0,8.0,172100000.0,4,0,0,0,1,0,1
14,215914,N. Kanté,27,https://cdn.sofifa.org/players/4/19/215914.png,France,https://cdn.sofifa.org/flags/18.png,89,90,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,63000000.0,225000.0,2189,Right,3.0,3.0,2.0,Medium/ High,Lean,Yes,LDM,13.0,"Jul 16, 2016",,2023,167,159,75,75,75,80,80,80,80,80,82,82,82,82,85,85,85,82,88,90,90,90,88,87,86,86,86,87,68.0,65.0,54.0,86.0,56.0,79.0,49.0,49.0,81.0,80.0,82.0,78.0,82.0,93.0,92.0,71.0,77.0,96.0,76.0,69.0,90.0,92.0,71.0,79.0,54.0,85.0,90.0,91.0,85.0,15.0,12.0,10.0,7.0,10.0,121300000.0,3,0,0,1,0,0,1
69,184432,Azpilicueta,28,https://cdn.sofifa.org/players/4/19/184432.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,35000000.0,175000.0,2114,Right,3.0,3.0,2.0,Medium/ Medium,Normal,Yes,RB,14.0,"Aug 24, 2012",,2022,177,168,70,70,70,74,73,73,73,74,75,75,75,77,80,80,80,77,86,86,86,86,86,87,86,86,86,87,81.0,46.0,76.0,81.0,51.0,69.0,68.0,58.0,80.0,77.0,76.0,76.0,72.0,88.0,73.0,68.0,76.0,87.0,71.0,60.0,82.0,89.0,62.0,74.0,66.0,78.0,88.0,90.0,86.0,13.0,9.0,10.0,6.0,5.0,64800000.0,2,0,1,0,0,0,1
121,205498,Jorginho,26,https://cdn.sofifa.org/players/4/19/205498.png,Italy,https://cdn.sofifa.org/flags/27.png,84,87,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,38000000.0,155000.0,2136,Right,2.0,3.0,3.0,Medium/ Medium,Lean,No,CM,8.0,"Jul 16, 2018",,2023,180,148,72,72,72,79,78,78,78,79,82,82,82,81,84,84,84,81,79,81,81,81,79,77,74,74,74,77,75.0,57.0,56.0,89.0,71.0,82.0,75.0,76.0,87.0,85.0,75.0,69.0,80.0,83.0,73.0,71.0,58.0,79.0,66.0,62.0,79.0,78.0,72.0,87.0,84.0,79.0,63.0,78.0,70.0,14.0,7.0,13.0,14.0,8.0,73200000.0,3,0,0,1,0,0,1
140,180403,Willian,29,https://cdn.sofifa.org/players/4/19/180403.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,30500000.0,175000.0,2052,Right,3.0,4.0,4.0,High/ High,Lean,Yes,RW,22.0,"Aug 28, 2013",,2020,175,172,77,77,77,85,84,84,84,85,85,85,85,85,82,82,82,85,74,70,70,70,74,69,57,57,57,69,76.0,77.0,31.0,80.0,59.0,88.0,82.0,83.0,77.0,84.0,91.0,86.0,89.0,82.0,79.0,79.0,41.0,85.0,60.0,81.0,44.0,55.0,80.0,83.0,70.0,79.0,43.0,57.0,51.0,14.0,12.0,13.0,7.0,13.0,56400000.0,4,0,0,0,1,0,1
176,207410,M. Kovačić,24,https://cdn.sofifa.org/players/4/19/207410.png,Croatia,https://cdn.sofifa.org/flags/10.png,83,89,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,35000000.0,165000.0,2115,Right,3.0,4.0,4.0,High/ High,Normal,Yes,LCM,17.0,,Real Madrid,"Jun 30, 2019",175,172,74,74,74,82,81,81,81,82,84,84,84,83,85,85,85,83,79,81,81,81,79,77,72,72,72,77,73.0,62.0,42.0,87.0,76.0,88.0,78.0,68.0,82.0,89.0,84.0,74.0,81.0,70.0,85.0,79.0,63.0,82.0,65.0,75.0,77.0,78.0,69.0,88.0,59.0,72.0,69.0,75.0,63.0,9.0,5.0,6.0,7.0,7.0,0.0,3,0,0,1,0,0,1
177,206585,Kepa,23,https://cdn.sofifa.org/players/4/19/206585.png,Spain,https://cdn.sofifa.org/flags/45.png,83,91,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,28500000.0,84000.0,1223,Right,1.0,4.0,1.0,Medium/ Medium,Lean,Yes,GK,13.0,"Aug 8, 2018",,2025,185,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,11.0,17.0,32.0,18.0,10.0,25.0,19.0,36.0,16.0,34.0,33.0,41.0,79.0,39.0,25.0,71.0,37.0,51.0,14.0,18.0,21.0,15.0,55.0,24.0,63.0,19.0,18.0,16.0,84.0,80.0,76.0,80.0,84.0,58400000.0,1,1,0,0,0,0,1
200,192638,Marcos Alonso,27,https://cdn.sofifa.org/players/4/19/192638.png,Spain,https://cdn.sofifa.org/flags/45.png,83,84,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,24000000.0,130000.0,2201,Left,2.0,3.0,3.0,High/ Low,Lean,Yes,LB,3.0,"Aug 31, 2016",,2023,187,192,80,80,80,79,80,80,80,79,79,79,79,81,81,81,81,81,83,82,82,82,83,83,81,81,81,83,85.0,68.0,83.0,84.0,70.0,79.0,85.0,86.0,73.0,83.0,69.0,76.0,64.0,84.0,58.0,84.0,71.0,90.0,76.0,77.0,75.0,79.0,79.0,69.0,64.0,76.0,79.0,82.0,79.0,9.0,7.0,13.0,9.0,12.0,46200000.0,2,0,1,0,0,0,1
209,179944,David Luiz,31,https://cdn.sofifa.org/players/4/19/179944.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,83,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,17500000.0,130000.0,2074,Right,4.0,3.0,3.0,Medium/ Medium,Normal,Yes,LCB,30.0,"Aug 31, 2016",,2019,187,190,71,71,71,70,70,70,70,70,72,72,72,71,76,76,76,71,77,81,81,81,77,78,83,83,83,78,68.0,55.0,81.0,77.0,63.0,66.0,70.0,76.0,77.0,79.0,59.0,62.0,69.0,75.0,56.0,79.0,78.0,66.0,79.0,73.0,85.0,85.0,54.0,69.0,75.0,77.0,79.0,83.0,82.0,11.0,12.0,10.0,7.0,14.0,32400000.0,2,0,1,0,0,0,1
219,162895,Cesc Fàbregas,31,https://cdn.sofifa.org/players/4/19/162895.png,Spain,https://cdn.sofifa.org/flags/45.png,83,83,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,22000000.0,140000.0,2040,Right,4.0,3.0,3.0,High/ Medium,Normal,Yes,CM,4.0,"Jul 1, 2014",,2019,177,170,77,77,77,79,80,80,80,79,83,83,83,80,82,82,82,80,71,73,73,73,71,69,65,65,65,69,85.0,72.0,74.0,90.0,81.0,79.0,78.0,81.0,89.0,85.0,56.0,54.0,62.0,81.0,75.0,77.0,63.0,56.0,61.0,70.0,45.0,50.0,72.0,91.0,78.0,92.0,64.0,59.0,58.0,6.0,10.0,8.0,15.0,15.0,40700000.0,3,0,0,1,0,0,1
