Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
270,198717,W. Zaha,25,https://cdn.sofifa.org/players/4/19/198717.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,82,85,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,28500000.0,78000.0,1930,Right,2.0,3.0,5.0,High/ Low,Lean,Yes,LS,11.0,"Feb 2, 2015",,2023,180,146,78,78,78,84,82,82,82,84,82,82,82,83,73,73,73,83,62,57,57,57,62,57,47,47,47,57,81.0,77.0,47.0,75.0,61.0,90.0,57.0,51.0,65.0,87.0,89.0,92.0,88.0,77.0,82.0,78.0,57.0,76.0,75.0,68.0,73.0,23.0,78.0,77.0,66.0,81.0,22.0,29.0,28.0,15.0,10.0,15.0,11.0,10.0,56300000.0,4,0,0,0,1,0,1
500,189690,Guaita,31,https://cdn.sofifa.org/players/4/19/189690.png,Spain,https://cdn.sofifa.org/flags/45.png,80,80,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,9000000.0,48000.0,1361,Right,2.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,31.0,"Jul 1, 2018",,2021,190,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,11.0,20.0,39.0,13.0,16.0,32.0,20.0,33.0,24.0,51.0,52.0,63.0,72.0,48.0,45.0,68.0,41.0,62.0,15.0,24.0,27.0,13.0,52.0,29.0,62.0,23.0,15.0,17.0,82.0,81.0,79.0,77.0,82.0,17100000.0,1,1,0,0,0,0,1
598,212150,M. Meyer,22,https://cdn.sofifa.org/players/4/19/212150.png,Germany,https://cdn.sofifa.org/flags/21.png,79,83,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,16000000.0,53000.0,2018,Right,2.0,4.0,4.0,Medium/ Medium,Lean,No,LM,7.0,"Aug 3, 2018",,2021,172,150,67,67,67,78,75,75,75,78,79,79,79,79,80,80,80,79,76,76,76,76,76,73,67,67,67,73,74.0,63.0,37.0,85.0,60.0,84.0,74.0,69.0,75.0,82.0,76.0,60.0,89.0,79.0,90.0,45.0,60.0,83.0,52.0,60.0,80.0,72.0,72.0,80.0,60.0,78.0,71.0,66.0,62.0,8.0,12.0,13.0,11.0,14.0,31600000.0,3,0,0,1,0,0,1
610,206304,L. Milivojević,27,https://cdn.sofifa.org/players/4/19/206304.png,Serbia,https://cdn.sofifa.org/flags/51.png,79,81,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,12500000.0,56000.0,2045,Right,1.0,2.0,2.0,Medium/ High,Normal,Yes,RCM,4.0,"Feb 1, 2017",,2020,185,176,69,69,69,68,70,70,70,68,71,71,71,70,76,76,76,70,75,79,79,79,75,75,78,78,78,75,66.0,54.0,75.0,79.0,50.0,62.0,71.0,78.0,75.0,74.0,53.0,59.0,58.0,77.0,58.0,79.0,62.0,86.0,82.0,72.0,88.0,79.0,66.0,73.0,87.0,73.0,78.0,76.0,72.0,13.0,9.0,16.0,6.0,12.0,24700000.0,3,0,0,1,0,0,1
691,183285,M. Sakho,28,https://cdn.sofifa.org/players/4/19/183285.png,France,https://cdn.sofifa.org/flags/18.png,79,80,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,11500000.0,58000.0,1698,Left,3.0,2.0,2.0,Medium/ High,Normal,Yes,CB,5.0,"Aug 31, 2017",,2021,187,183,54,54,54,55,54,54,54,55,58,58,58,59,66,66,66,59,72,77,77,77,72,74,81,81,81,74,58.0,23.0,74.0,77.0,20.0,50.0,50.0,30.0,69.0,63.0,49.0,55.0,50.0,70.0,54.0,51.0,75.0,70.0,91.0,38.0,87.0,81.0,36.0,53.0,40.0,76.0,74.0,82.0,78.0,14.0,12.0,9.0,7.0,8.0,22700000.0,2,0,1,0,0,0,1
881,173546,J. Tomkins,29,https://cdn.sofifa.org/players/4/19/173546.png,England,https://cdn.sofifa.org/flags/14.png,78,79,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,9000000.0,53000.0,1616,Right,2.0,3.0,2.0,Medium/ Medium,Normal,Yes,RCB,5.0,"Jul 5, 2016",,2021,193,163,52,52,52,51,52,52,52,51,55,55,55,55,62,62,62,55,68,74,74,74,68,70,79,79,79,70,45.0,29.0,78.0,70.0,28.0,50.0,33.0,31.0,60.0,59.0,41.0,49.0,47.0,76.0,50.0,40.0,76.0,65.0,79.0,29.0,80.0,78.0,38.0,54.0,43.0,74.0,81.0,80.0,79.0,11.0,8.0,6.0,9.0,14.0,17800000.0,2,0,1,0,0,1,1
1276,184111,C. Benteke,27,https://cdn.sofifa.org/players/4/19/184111.png,Belgium,https://cdn.sofifa.org/flags/7.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,8000000.0,53000.0,1762,Right,3.0,3.0,2.0,Medium/ Low,Normal,Yes,ST,17.0,"Aug 20, 2016",,2020,190,183,76,76,76,70,72,72,72,70,70,70,70,68,64,64,64,68,52,52,52,52,52,50,51,51,51,50,58.0,75.0,87.0,64.0,67.0,65.0,60.0,64.0,48.0,74.0,59.0,68.0,66.0,67.0,46.0,78.0,82.0,66.0,87.0,69.0,56.0,29.0,73.0,68.0,71.0,70.0,28.0,25.0,18.0,14.0,5.0,12.0,8.0,5.0,15200000.0,4,0,0,0,1,0,1
1325,186190,P. van Aanholt,27,https://cdn.sofifa.org/players/4/19/186190.png,Netherlands,https://cdn.sofifa.org/flags/34.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,6500000.0,44000.0,2066,Left,1.0,4.0,3.0,High/ Low,Lean,Yes,LB,21.0,"Jan 30, 2017",,2021,175,148,73,73,73,76,75,75,75,76,75,75,75,76,75,75,75,76,76,75,75,75,76,76,73,73,73,76,65.0,66.0,61.0,72.0,58.0,76.0,64.0,68.0,74.0,76.0,88.0,89.0,78.0,71.0,77.0,75.0,90.0,83.0,65.0,69.0,75.0,69.0,75.0,68.0,46.0,67.0,72.0,75.0,76.0,9.0,15.0,7.0,8.0,6.0,12400000.0,2,0,1,0,0,0,1
1393,197756,J. Ayew,26,https://cdn.sofifa.org/players/4/19/197756.png,Ghana,https://cdn.sofifa.org/flags/117.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,8500000.0,31000.0,1979,Right,2.0,3.0,4.0,Medium/ High,Normal,Yes,ST,14.0,,Swansea City,"Jun 30, 2019",182,179,77,77,77,76,77,77,77,76,76,76,76,76,71,71,71,76,63,62,62,62,63,61,58,58,58,61,70.0,75.0,76.0,73.0,71.0,77.0,77.0,71.0,60.0,78.0,76.0,77.0,78.0,76.0,75.0,76.0,70.0,79.0,70.0,74.0,75.0,40.0,74.0,69.0,74.0,69.0,36.0,52.0,35.0,6.0,8.0,7.0,16.0,8.0,0.0,4,0,0,0,1,0,1
1465,186801,C. Kouyaté,28,https://cdn.sofifa.org/players/4/19/186801.png,Senegal,https://cdn.sofifa.org/flags/136.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,6000000.0,46000.0,1957,Right,2.0,3.0,3.0,High/ Medium,Lean,Yes,LCM,8.0,"Aug 1, 2018",,2022,187,183,73,73,73,69,72,72,72,69,70,70,70,70,72,72,72,70,74,76,76,76,74,75,79,79,79,75,53.0,65.0,79.0,68.0,50.0,68.0,39.0,47.0,64.0,73.0,65.0,75.0,62.0,79.0,57.0,74.0,77.0,88.0,84.0,63.0,84.0,77.0,72.0,63.0,52.0,72.0,74.0,77.0,75.0,15.0,8.0,9.0,12.0,9.0,11400000.0,3,0,0,1,0,0,1
