Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
270,198717,W. Zaha,25,https://cdn.sofifa.org/players/4/19/198717.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,82,85,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,28500000,78000,1930,Right,2,3,5,High/ Low,Lean,Yes,LS,11,2015-02-02,,2023,180,146,78,78,78,84,82,82,82,84,82,82,82,83,73,73,73,83,62,57,57,57,62,57,47,47,47,57,81,77,47,75,61,90,57,51,65,87,89,92,88,77,82,78,57,76,75,68,73,23,78,77,66,81,22,29,28,15,10,15,11,10,56300000,4,0,0,0,1,0
500,189690,Guaita,31,https://cdn.sofifa.org/players/4/19/189690.png,Spain,https://cdn.sofifa.org/flags/45.png,80,80,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,9000000,48000,1361,Right,2,3,1,Medium/ Medium,Normal,Yes,GK,31,2018-07-01,,2021,190,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,20,39,13,16,32,20,33,24,51,52,63,72,48,45,68,41,62,15,24,27,13,52,29,62,23,15,17,82,81,79,77,82,17100000,1,1,0,0,0,0
598,212150,M. Meyer,22,https://cdn.sofifa.org/players/4/19/212150.png,Germany,https://cdn.sofifa.org/flags/21.png,79,83,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,16000000,53000,2018,Right,2,4,4,Medium/ Medium,Lean,No,LM,7,2018-08-03,,2021,172,150,67,67,67,78,75,75,75,78,79,79,79,79,80,80,80,79,76,76,76,76,76,73,67,67,67,73,74,63,37,85,60,84,74,69,75,82,76,60,89,79,90,45,60,83,52,60,80,72,72,80,60,78,71,66,62,8,12,13,11,14,31600000,3,0,0,1,0,0
610,206304,L. Milivojevi?,27,https://cdn.sofifa.org/players/4/19/206304.png,Serbia,https://cdn.sofifa.org/flags/51.png,79,81,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,12500000,56000,2045,Right,1,2,2,Medium/ High,Normal,Yes,RCM,4,2017-02-01,,2020,185,176,69,69,69,68,70,70,70,68,71,71,71,70,76,76,76,70,75,79,79,79,75,75,78,78,78,75,66,54,75,79,50,62,71,78,75,74,53,59,58,77,58,79,62,86,82,72,88,79,66,73,87,73,78,76,72,13,9,16,6,12,24700000,3,0,0,1,0,0
691,183285,M. Sakho,28,https://cdn.sofifa.org/players/4/19/183285.png,France,https://cdn.sofifa.org/flags/18.png,79,80,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,11500000,58000,1698,Left,3,2,2,Medium/ High,Normal,Yes,CB,5,2017-08-31,,2021,187,183,54,54,54,55,54,54,54,55,58,58,58,59,66,66,66,59,72,77,77,77,72,74,81,81,81,74,58,23,74,77,20,50,50,30,69,63,49,55,50,70,54,51,75,70,91,38,87,81,36,53,40,76,74,82,78,14,12,9,7,8,22700000,2,0,1,0,0,0
881,173546,J. Tomkins,29,https://cdn.sofifa.org/players/4/19/173546.png,England,https://cdn.sofifa.org/flags/14.png,78,79,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,9000000,53000,1616,Right,2,3,2,Medium/ Medium,Normal,Yes,RCB,5,2016-07-05,,2021,193,163,52,52,52,51,52,52,52,51,55,55,55,55,62,62,62,55,68,74,74,74,68,70,79,79,79,70,45,29,78,70,28,50,33,31,60,59,41,49,47,76,50,40,76,65,79,29,80,78,38,54,43,74,81,80,79,11,8,6,9,14,17800000,2,0,1,0,0,0
1276,184111,C. Benteke,27,https://cdn.sofifa.org/players/4/19/184111.png,Belgium,https://cdn.sofifa.org/flags/7.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,8000000,53000,1762,Right,3,3,2,Medium/ Low,Normal,Yes,ST,17,2016-08-20,,2020,190,183,76,76,76,70,72,72,72,70,70,70,70,68,64,64,64,68,52,52,52,52,52,50,51,51,51,50,58,75,87,64,67,65,60,64,48,74,59,68,66,67,46,78,82,66,87,69,56,29,73,68,71,70,28,25,18,14,5,12,8,5,15200000,4,0,0,0,1,0
1325,186190,P. van Aanholt,27,https://cdn.sofifa.org/players/4/19/186190.png,Netherlands,https://cdn.sofifa.org/flags/34.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,6500000,44000,2066,Left,1,4,3,High/ Low,Lean,Yes,LB,21,2017-01-30,,2021,175,148,73,73,73,76,75,75,75,76,75,75,75,76,75,75,75,76,76,75,75,75,76,76,73,73,73,76,65,66,61,72,58,76,64,68,74,76,88,89,78,71,77,75,90,83,65,69,75,69,75,68,46,67,72,75,76,9,15,7,8,6,12400000,2,0,1,0,0,0
1393,197756,J. Ayew,26,https://cdn.sofifa.org/players/4/19/197756.png,Ghana,https://cdn.sofifa.org/flags/117.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,8500000,31000,1979,Right,2,3,4,Medium/ High,Normal,Yes,ST,14,,Swansea City,"Jun 30, 2019",182,179,77,77,77,76,77,77,77,76,76,76,76,76,71,71,71,76,63,62,62,62,63,61,58,58,58,61,70,75,76,73,71,77,77,71,60,78,76,77,78,76,75,76,70,79,70,74,75,40,74,69,74,69,36,52,35,6,8,7,16,8,0,4,0,0,0,1,0
1465,186801,C. Kouyaté,28,https://cdn.sofifa.org/players/4/19/186801.png,Senegal,https://cdn.sofifa.org/flags/136.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,6000000,46000,1957,Right,2,3,3,High/ Medium,Lean,Yes,LCM,8,2018-08-01,,2022,187,183,73,73,73,69,72,72,72,69,70,70,70,70,72,72,72,70,74,76,76,76,74,75,79,79,79,75,53,65,79,68,50,68,39,47,64,73,65,75,62,79,57,74,77,88,84,63,84,77,72,63,52,72,74,77,75,15,8,9,12,9,11400000,3,0,0,1,0,0
1492,171972,J. McArthur,30,https://cdn.sofifa.org/players/4/19/171972.png,Scotland,https://cdn.sofifa.org/flags/42.png,76,76,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,7000000,48000,1936,Right,1,3,3,High/ High,Normal,Yes,RM,18,2014-09-01,,2020,177,146,71,71,71,72,73,73,73,72,74,74,74,73,76,76,76,73,73,77,77,77,73,72,74,74,74,72,66,68,66,78,53,70,54,61,74,77,60,53,70,80,77,65,64,79,71,61,88,73,75,72,64,80,70,72,70,1,1,1,1,1,13300000,3,0,0,1,0,0
1780,170084,W. Hennessey,31,https://cdn.sofifa.org/players/4/19/170084.png,Wales,https://cdn.sofifa.org/flags/50.png,75,75,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,4000000,34000,1154,Right,2,3,1,Medium/ Medium,Lean,Yes,GK,1,2014-01-31,,2021,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,14,29,10,8,12,11,41,23,40,41,48,65,51,34,41,29,68,10,21,22,14,58,17,55,13,18,13,75,76,81,76,72,7700000,1,1,0,0,0,0
