Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
180,204935,J. Pickford,24,https://cdn.sofifa.org/players/4/19/204935.png,England,https://cdn.sofifa.org/flags/14.png,83,88,Everton,https://cdn.sofifa.org/teams/2/light/7.png,25000000.0,78000.0,1435,Left,1.0,4.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jun 15, 2017",,2024,185,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,19.0,15.0,55.0,20.0,14.0,18.0,16.0,55.0,40.0,53.0,44.0,55.0,83.0,55.0,31.0,72.0,45.0,70.0,13.0,30.0,24.0,18.0,68.0,41.0,69.0,16.0,20.0,12.0,83.0,78.0,88.0,81.0,86.0,49400000.0,1,1,0,0,0,1,1
198,193474,I. Gueye,28,https://cdn.sofifa.org/players/4/19/193474.png,Senegal,https://cdn.sofifa.org/flags/136.png,83,83,Everton,https://cdn.sofifa.org/teams/2/light/7.png,21000000.0,125000.0,2055,Right,2.0,3.0,3.0,Medium/ High,Lean,Yes,RDM,17.0,"Aug 3, 2016",,2022,175,146,71,71,71,73,73,73,73,73,74,74,74,74,78,78,78,74,81,83,83,83,81,82,83,83,83,82,60.0,50.0,69.0,80.0,32.0,75.0,33.0,61.0,72.0,79.0,76.0,72.0,80.0,81.0,80.0,80.0,87.0,89.0,70.0,66.0,84.0,87.0,67.0,67.0,54.0,80.0,84.0,89.0,84.0,8.0,6.0,8.0,12.0,13.0,39900000.0,3,0,0,1,0,0,1
292,184484,G. Sigurðsson,28,https://cdn.sofifa.org/players/4/19/184484.png,Iceland,https://cdn.sofifa.org/flags/24.png,82,82,Everton,https://cdn.sofifa.org/teams/2/light/7.png,22500000.0,125000.0,2096,Right,3.0,5.0,3.0,High/ High,Normal,Yes,CAM,10.0,"Aug 16, 2017",,2022,185,181,78,78,78,81,81,81,81,81,83,83,83,81,83,83,83,81,73,73,73,73,73,69,64,64,64,69,86.0,77.0,60.0,84.0,75.0,80.0,87.0,86.0,80.0,85.0,58.0,55.0,68.0,78.0,63.0,83.0,68.0,86.0,68.0,86.0,57.0,55.0,79.0,86.0,79.0,84.0,57.0,57.0,55.0,13.0,8.0,10.0,15.0,12.0,42800000.0,3,0,0,1,0,0,1
444,211575,André Gomes,24,https://cdn.sofifa.org/players/4/19/211575.png,Portugal,https://cdn.sofifa.org/flags/38.png,80,85,Everton,https://cdn.sofifa.org/teams/2/light/7.png,19500000.0,130000.0,2065,Right,3.0,4.0,4.0,Medium/ Medium,Normal,Yes,LDM,8.0,,FC Barcelona,"Jun 30, 2019",187,185,76,76,76,76,78,78,78,76,79,79,79,77,81,81,81,77,75,80,80,80,75,74,77,77,77,74,61.0,65.0,69.0,82.0,63.0,80.0,82.0,67.0,81.0,78.0,68.0,62.0,67.0,77.0,64.0,80.0,58.0,76.0,86.0,71.0,81.0,74.0,74.0,81.0,55.0,78.0,75.0,75.0,64.0,12.0,9.0,6.0,14.0,8.0,0.0,3,0,0,1,0,0,1
451,207599,M. Keane,25,https://cdn.sofifa.org/players/4/19/207599.png,England,https://cdn.sofifa.org/flags/14.png,80,83,Everton,https://cdn.sofifa.org/teams/2/light/7.png,15500000.0,88000.0,1828,Right,2.0,3.0,2.0,Medium/ High,Normal,Yes,RCB,4.0,"Jul 3, 2017",,2022,190,181,61,61,61,61,60,60,60,61,62,62,62,63,67,67,67,63,73,76,76,76,73,75,80,80,80,75,60.0,50.0,81.0,71.0,40.0,66.0,53.0,33.0,69.0,69.0,58.0,65.0,59.0,75.0,62.0,58.0,82.0,68.0,85.0,46.0,68.0,80.0,29.0,56.0,48.0,73.0,79.0,82.0,80.0,16.0,7.0,8.0,14.0,11.0,30600000.0,2,0,1,0,0,1,1
457,205525,Bernard,25,https://cdn.sofifa.org/players/4/19/205525.png,Brazil,https://cdn.sofifa.org/flags/54.png,80,81,Everton,https://cdn.sofifa.org/teams/2/light/7.png,17500000.0,97000.0,1917,Right,2.0,4.0,4.0,High/ Medium,Lean,No,LM,20.0,"Aug 9, 2018",,2022,165,132,75,75,75,81,80,80,80,81,80,80,80,80,74,74,74,80,64,58,58,58,64,60,47,47,47,60,77.0,71.0,59.0,76.0,68.0,82.0,73.0,69.0,68.0,84.0,94.0,86.0,94.0,80.0,96.0,76.0,61.0,68.0,34.0,65.0,41.0,42.0,72.0,77.0,57.0,71.0,31.0,39.0,25.0,6.0,11.0,13.0,10.0,12.0,34600000.0,3,0,0,1,0,0,1
475,200458,L. Digne,24,https://cdn.sofifa.org/players/4/19/200458.png,France,https://cdn.sofifa.org/flags/18.png,80,84,Everton,https://cdn.sofifa.org/teams/2/light/7.png,16000000.0,79000.0,2067,Left,2.0,3.0,4.0,High/ Medium,Lean,Yes,LB,12.0,"Aug 1, 2018",,2023,177,163,71,71,71,76,75,75,75,76,76,76,76,77,77,77,77,77,81,79,79,79,81,80,77,77,77,80,82.0,52.0,68.0,81.0,45.0,76.0,68.0,67.0,69.0,82.0,76.0,75.0,68.0,77.0,79.0,77.0,73.0,79.0,69.0,69.0,75.0,81.0,69.0,72.0,60.0,76.0,73.0,77.0,82.0,6.0,12.0,9.0,6.0,13.0,31600000.0,2,0,1,0,0,0,1
517,180216,S. Coleman,29,https://cdn.sofifa.org/players/4/19/180216.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,80,80,Everton,https://cdn.sofifa.org/teams/2/light/7.png,11000000.0,97000.0,2065,Right,2.0,3.0,3.0,High/ High,Normal,Yes,RWB,2.0,"Feb 4, 2009",,2022,177,148,74,74,74,77,76,76,76,77,76,76,76,78,77,77,77,78,81,79,79,79,81,81,79,79,79,81,82.0,61.0,69.0,78.0,64.0,79.0,42.0,53.0,70.0,78.0,77.0,75.0,73.0,80.0,74.0,75.0,71.0,77.0,69.0,66.0,78.0,80.0,75.0,70.0,55.0,82.0,78.0,84.0,82.0,5.0,15.0,10.0,13.0,7.0,20900000.0,2,0,1,0,0,0,1
560,231943,Richarlison,21,https://cdn.sofifa.org/players/4/19/231943.png,Brazil,https://cdn.sofifa.org/flags/54.png,79,86,Everton,https://cdn.sofifa.org/teams/2/light/7.png,18000000.0,79000.0,2009,Right,1.0,5.0,4.0,High/ High,Normal,Yes,ST,30.0,"Jul 24, 2018",,2023,180,154,80,80,80,79,80,80,80,79,78,78,78,79,72,72,72,79,64,62,62,62,64,62,59,59,59,62,69.0,79.0,75.0,75.0,64.0,84.0,71.0,65.0,59.0,79.0,83.0,85.0,78.0,78.0,74.0,80.0,80.0,78.0,76.0,64.0,82.0,35.0,78.0,72.0,69.0,77.0,46.0,44.0,36.0,12.0,7.0,8.0,11.0,13.0,37800000.0,4,0,0,0,1,0,1
617,204311,K. Zouma,23,https://cdn.sofifa.org/players/4/19/204311.png,France,https://cdn.sofifa.org/flags/18.png,79,83,Everton,https://cdn.sofifa.org/teams/2/light/7.png,14000000.0,80000.0,1856,Right,2.0,3.0,2.0,Medium/ Medium,Normal,Yes,CB,22.0,,Chelsea,"Jun 30, 2019",190,212,63,63,63,58,60,60,60,58,60,60,60,60,64,64,64,60,69,73,73,73,69,72,80,80,80,72,49.0,47.0,77.0,63.0,47.0,50.0,60.0,59.0,60.0,63.0,60.0,70.0,45.0,74.0,52.0,63.0,89.0,63.0,91.0,49.0,83.0,78.0,53.0,59.0,59.0,67.0,77.0,78.0,79.0,14.0,14.0,7.0,9.0,15.0,0.0,2,0,1,0,0,0,1
