Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
331,216451,J. Seri,26,https://cdn.sofifa.org/players/4/19/216451.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,81,82,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,20500000.0,73000.0,2128,Right,2.0,4.0,3.0,Medium/ Medium,Normal,Yes,LDM,24.0,"Jul 12, 2018",,2022,170,161,74,74,74,79,79,79,79,79,81,81,81,79,82,82,82,79,76,78,78,78,76,74,72,72,72,74,72.0,69.0,60.0,86.0,47.0,78.0,81.0,81.0,84.0,84.0,75.0,70.0,82.0,75.0,88.0,78.0,69.0,75.0,63.0,76.0,73.0,74.0,73.0,83.0,67.0,83.0,69.0,73.0,65.0,14.0,13.0,9.0,10.0,12.0,40500000.0,3,0,0,1,0,0,1
609,206652,Sergio Rico,24,https://cdn.sofifa.org/players/4/19/206652.png,Spain,https://cdn.sofifa.org/flags/45.png,79,83,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,11500000.0,13000.0,1204,Right,2.0,3.0,1.0,Medium/ Medium,Lean,Yes,GK,25.0,,Sevilla FC,"Jun 30, 2019",193,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,14.0,11.0,28.0,15.0,14.0,24.0,20.0,26.0,12.0,48.0,46.0,62.0,76.0,43.0,19.0,63.0,36.0,54.0,12.0,27.0,19.0,11.0,53.0,24.0,60.0,16.0,11.0,11.0,77.0,78.0,77.0,79.0,81.0,0.0,1,1,0,0,0,0,1
696,177723,Fabricio,30,https://cdn.sofifa.org/players/4/19/177723.png,Spain,https://cdn.sofifa.org/flags/45.png,79,79,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,8000000.0,47000.0,1321,Right,1.0,4.0,1.0,Medium/ Medium,Normal,Yes,GK,31.0,"Jul 24, 2018",,2021,182,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,14.0,14.0,44.0,13.0,25.0,19.0,15.0,40.0,35.0,59.0,54.0,57.0,74.0,48.0,25.0,76.0,42.0,56.0,14.0,33.0,26.0,14.0,51.0,22.0,56.0,22.0,14.0,11.0,76.0,80.0,77.0,77.0,79.0,15200000.0,1,1,0,0,0,0,1
1021,193130,A. Schürrle,27,https://cdn.sofifa.org/players/4/19/193130.png,Germany,https://cdn.sofifa.org/flags/21.png,77,77,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,9500000.0,47000.0,2029,Right,3.0,4.0,3.0,High/ High,Lean,Yes,RM,14.0,,Borussia Dortmund,"Jun 30, 2020",182,157,79,79,79,80,80,80,80,80,79,79,79,79,73,73,73,79,67,63,63,63,67,65,58,58,58,65,76.0,78.0,63.0,75.0,81.0,79.0,80.0,70.0,58.0,77.0,79.0,78.0,74.0,78.0,75.0,82.0,69.0,76.0,67.0,82.0,71.0,41.0,80.0,76.0,77.0,75.0,42.0,39.0,55.0,7.0,11.0,12.0,9.0,12.0,0.0,3,0,0,1,0,0,1
1088,215716,A. Mitrović,23,https://cdn.sofifa.org/players/4/19/215716.png,Serbia,https://cdn.sofifa.org/flags/51.png,77,82,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,12000000.0,52000.0,1758,Right,1.0,4.0,3.0,Medium/ Medium,Normal,Yes,ST,9.0,"Jul 30, 2018",,2023,187,181,78,78,78,69,74,74,74,69,71,71,71,66,63,63,63,66,46,50,50,50,46,44,50,50,50,44,29.0,78.0,84.0,67.0,76.0,66.0,39.0,52.0,43.0,74.0,60.0,64.0,67.0,77.0,63.0,82.0,81.0,64.0,88.0,70.0,89.0,14.0,82.0,68.0,66.0,76.0,25.0,24.0,13.0,15.0,12.0,6.0,7.0,13.0,23700000.0,4,0,0,0,1,0,1
1329,207441,L. Vietto,24,https://cdn.sofifa.org/players/4/19/207441.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,80,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,10000000.0,42000.0,1948,Right,1.0,3.0,4.0,High/ Medium,Lean,No,ST,19.0,,Atlético Madrid,"Jun 30, 2019",172,154,76,76,76,78,78,78,78,78,77,77,77,76,71,71,71,76,61,59,59,59,61,58,54,54,54,58,66.0,73.0,68.0,72.0,76.0,78.0,76.0,70.0,59.0,82.0,79.0,76.0,76.0,76.0,83.0,71.0,74.0,66.0,57.0,73.0,63.0,35.0,82.0,73.0,69.0,71.0,47.0,40.0,32.0,14.0,14.0,8.0,8.0,12.0,0.0,4,0,0,0,1,0,1
1800,235883,R. Sessegnon,18,https://cdn.sofifa.org/players/4/19/235883.png,England,https://cdn.sofifa.org/flags/14.png,75,88,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,12000000.0,27000.0,1933,Left,1.0,3.0,4.0,High/ Medium,Lean,Yes,LM,3.0,"Aug 9, 2016",,2020,177,154,73,73,73,77,76,76,76,77,75,75,75,77,73,73,73,77,74,70,70,70,74,73,67,67,67,73,71.0,75.0,55.0,74.0,55.0,74.0,54.0,31.0,63.0,76.0,85.0,87.0,79.0,75.0,85.0,67.0,66.0,78.0,55.0,57.0,60.0,67.0,77.0,71.0,61.0,79.0,66.0,68.0,62.0,6.0,11.0,7.0,8.0,7.0,30300000.0,3,0,0,1,0,1,1
1877,208534,A. Mawson,24,https://cdn.sofifa.org/players/4/19/208534.png,England,https://cdn.sofifa.org/flags/14.png,75,84,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,9000000.0,38000.0,1586,Right,1.0,5.0,2.0,Medium/ High,Normal,Yes,LCB,26.0,"Aug 2, 2018",,2022,187,192,56,56,56,52,54,54,54,52,55,55,55,54,60,60,60,54,63,71,71,71,63,66,76,76,76,66,23.0,48.0,79.0,68.0,40.0,56.0,22.0,24.0,66.0,65.0,57.0,58.0,47.0,66.0,49.0,53.0,76.0,56.0,83.0,21.0,69.0,75.0,25.0,43.0,32.0,65.0,76.0,75.0,72.0,14.0,12.0,12.0,14.0,10.0,18900000.0,2,0,1,0,0,1,1
1992,175314,K. McDonald,29,https://cdn.sofifa.org/players/4/19/175314.png,Scotland,https://cdn.sofifa.org/flags/42.png,75,75,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,5000000.0,46000.0,1852,Right,1.0,4.0,3.0,Medium/ Medium,Normal,Yes,RDM,6.0,"Jul 22, 2016",,2020,193,212,65,65,65,66,67,67,67,66,68,68,68,68,72,72,72,68,71,75,75,75,71,70,73,73,73,70,69.0,54.0,56.0,76.0,50.0,66.0,63.0,56.0,71.0,74.0,47.0,50.0,53.0,75.0,61.0,71.0,68.0,70.0,77.0,64.0,76.0,74.0,60.0,68.0,48.0,78.0,76.0,75.0,64.0,7.0,11.0,6.0,8.0,8.0,9500000.0,3,0,0,1,0,0,1
2230,232270,T. Fosu-Mensah,20,https://cdn.sofifa.org/players/4/19/232270.png,Netherlands,https://cdn.sofifa.org/flags/34.png,74,84,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,8000000.0,53000.0,1921,Right,1.0,4.0,3.0,Medium/ Medium,Normal,Yes,RB,21.0,,Manchester United,"Jun 30, 2019",185,172,68,68,68,68,68,68,68,68,68,68,68,69,68,68,68,69,73,73,73,73,73,74,76,76,76,74,64.0,57.0,69.0,72.0,55.0,63.0,60.0,34.0,63.0,67.0,79.0,87.0,73.0,68.0,62.0,69.0,76.0,70.0,78.0,60.0,84.0,73.0,61.0,61.0,48.0,67.0,72.0,75.0,76.0,11.0,8.0,8.0,7.0,11.0,0.0,2,0,1,0,0,0,1
2421,187043,S. Johansen,27,https://cdn.sofifa.org/players/4/19/187043.png,Norway,https://cdn.sofifa.org/flags/36.png,74,75,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,6500000.0,45000.0,2024,Left,1.0,3.0,3.0,High/ High,Lean,Yes,LCM,18.0,"Aug 26, 2016",,2019,182,172,71,71,71,73,73,73,73,73,74,74,74,74,75,75,75,74,73,74,74,74,73,72,70,70,70,72,70.0,69.0,53.0,74.0,64.0,73.0,72.0,75.0,73.0,77.0,66.0,74.0,75.0,71.0,76.0,73.0,65.0,83.0,68.0,75.0,83.0,65.0,66.0,74.0,51.0,74.0,71.0,71.0,64.0,7.0,16.0,7.0,9.0,14.0,12800000.0,3,0,0,1,0,0,1
2423,227236,A. Zambo Anguissa,22,https://cdn.sofifa.org/players/4/19/227236.png,Cameroon,https://cdn.sofifa.org/flags/103.png,74,82,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,7000000.0,35000.0,1928,Right,1.0,2.0,3.0,Low/ Medium,Lean,No,RCM,6.0,"Aug 9, 2018",,2023,182,172,66,66,66,67,68,68,68,67,68,68,68,69,71,71,71,69,72,74,74,74,72,72,75,75,75,72,58.0,42.0,73.0,73.0,50.0,72.0,59.0,46.0,65.0,69.0,71.0,69.0,59.0,70.0,71.0,73.0,75.0,84.0,85.0,54.0,80.0,74.0,63.0,72.0,62.0,75.0,66.0,75.0,68.0,11.0,11.0,9.0,8.0,11.0,14700000.0,3,0,0,1,0,0,1
2425,205989,C. Chambers,23,https://cdn.sofifa.org/players/4/19/205989.png,England,https://cdn.sofifa.org/flags/14.png,74,80,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,6500000.0,56000.0,1813,Right,1.0,3.0,2.0,Low/ High,Normal,Yes,CB,5.0,,Arsenal,"Jun 30, 2019",182,161,61,61,61,63,62,62,62,63,63,63,63,64,66,66,66,64,70,72,72,72,70,71,74,74,74,71,59.0,46.0,68.0,72.0,45.0,65.0,55.0,49.0,63.0,71.0,59.0,66.0,60.0,65.0,66.0,52.0,71.0,65.0,75.0,53.0,78.0,72.0,50.0,54.0,54.0,66.0,73.0,77.0,74.0,11.0,14.0,12.0,7.0,12.0,0.0,2,0,1,0,0,1,1
