Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
831,203485,T. Kongolo,24,https://cdn.sofifa.org/players/4/19/203485.png,Netherlands,https://cdn.sofifa.org/flags/34.png,78,83,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,12000000.0,39000.0,1884,Left,2.0,4.0,3.0,Medium/ Medium,Lean,Yes,LCB,5.0,"Jun 9, 2018",,2022,187,154,61,61,61,63,62,62,62,63,63,63,63,66,67,67,67,66,75,74,74,74,75,76,78,78,78,76,67.0,27.0,74.0,72.0,40.0,67.0,63.0,44.0,65.0,72.0,72.0,74.0,71.0,70.0,62.0,67.0,91.0,71.0,79.0,52.0,75.0,76.0,49.0,49.0,42.0,73.0,77.0,80.0,79.0,8.0,14.0,12.0,11.0,12.0,23700000.0,2,0,1,0,0,0,1
839,200607,C. Schindler,28,https://cdn.sofifa.org/players/4/19/200607.png,Germany,https://cdn.sofifa.org/flags/21.png,78,80,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,10000000.0,48000.0,1690,Right,1.0,3.0,2.0,Medium/ Medium,Normal,Yes,CB,26.0,"Jun 29, 2016",,2020,187,170,52,52,52,52,52,52,52,52,55,55,55,56,62,62,62,56,71,75,75,75,71,74,79,79,79,74,49.0,25.0,74.0,68.0,30.0,42.0,45.0,33.0,64.0,68.0,60.0,65.0,56.0,77.0,57.0,52.0,74.0,68.0,78.0,24.0,76.0,81.0,27.0,51.0,55.0,73.0,81.0,81.0,78.0,6.0,11.0,10.0,12.0,12.0,19800000.0,2,0,1,0,0,0,1
1134,183491,M. Jørgensen,28,https://cdn.sofifa.org/players/4/19/183491.png,Denmark,https://cdn.sofifa.org/flags/13.png,77,79,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,8500000.0,45000.0,1710,Right,1.0,2.0,2.0,Medium/ High,Normal,Yes,CB,13.0,"Jul 7, 2017",,2020,190,187,58,58,58,56,57,57,57,56,59,59,59,59,64,64,64,59,69,73,73,73,69,71,78,78,78,71,47.0,34.0,77.0,70.0,40.0,46.0,30.0,26.0,62.0,63.0,62.0,68.0,59.0,71.0,55.0,61.0,74.0,66.0,82.0,30.0,85.0,75.0,46.0,65.0,27.0,71.0,76.0,78.0,74.0,16.0,9.0,9.0,14.0,13.0,16800000.0,2,0,1,0,0,0,1
1213,172553,J. Lössl,29,https://cdn.sofifa.org/players/4/19/172553.png,Denmark,https://cdn.sofifa.org/flags/13.png,76,76,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,5000000.0,34000.0,1095,Right,1.0,2.0,1.0,Medium/ Medium,Lean,Yes,GK,16.0,"Jul 1, 2018",,2021,195,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,12.0,17.0,35.0,11.0,15.0,14.0,13.0,39.0,19.0,29.0,34.0,32.0,72.0,30.0,22.0,51.0,25.0,67.0,15.0,17.0,20.0,10.0,53.0,12.0,56.0,20.0,13.0,15.0,74.0,77.0,67.0,74.0,77.0,9500000.0,1,1,0,0,0,0,1
1560,183546,J. Hogg,29,https://cdn.sofifa.org/players/4/19/183546.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,6000000.0,42000.0,1889,Right,1.0,3.0,3.0,Medium/ High,Normal,Yes,CM,6.0,"Jul 29, 2013",,2020,175,161,65,65,65,66,66,66,66,66,68,68,68,69,71,71,71,69,75,76,76,76,75,75,76,76,76,75,58.0,54.0,64.0,74.0,53.0,67.0,46.0,41.0,69.0,68.0,69.0,68.0,64.0,74.0,72.0,61.0,64.0,89.0,75.0,54.0,85.0,75.0,58.0,64.0,41.0,70.0,75.0,79.0,76.0,6.0,8.0,13.0,14.0,11.0,11400000.0,3,0,0,1,0,1,1
1663,207920,E. Durm,26,https://cdn.sofifa.org/players/4/19/207920.png,Germany,https://cdn.sofifa.org/flags/21.png,75,77,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,6500000.0,38000.0,1878,Right,2.0,3.0,3.0,High/ Medium,Lean,No,RWB,37.0,"Jul 13, 2018",,2019,182,159,65,65,65,68,67,67,67,68,66,66,66,69,66,66,66,69,75,71,71,71,75,75,72,72,72,75,75.0,50.0,62.0,66.0,43.0,65.0,60.0,35.0,51.0,71.0,78.0,76.0,72.0,72.0,66.0,66.0,74.0,79.0,66.0,44.0,67.0,75.0,68.0,60.0,55.0,69.0,75.0,71.0,76.0,12.0,14.0,8.0,15.0,11.0,12800000.0,2,0,1,0,0,0,1
1812,224883,S. Mounié,23,https://cdn.sofifa.org/players/4/19/224883.png,Benin,https://cdn.sofifa.org/flags/99.png,75,82,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,9500000.0,40000.0,1830,Right,1.0,3.0,3.0,High/ Medium,Normal,Yes,RS,24.0,"Jul 5, 2017",,2021,190,176,75,75,75,69,71,71,71,69,69,69,69,68,65,65,65,68,57,58,58,58,57,56,58,58,58,56,60.0,74.0,84.0,67.0,69.0,64.0,52.0,41.0,59.0,70.0,66.0,70.0,60.0,71.0,54.0,78.0,83.0,66.0,83.0,65.0,78.0,42.0,76.0,61.0,65.0,67.0,35.0,35.0,40.0,14.0,15.0,6.0,12.0,15.0,20000000.0,4,0,0,0,1,0,1
1971,212933,L. Depoitre,29,https://cdn.sofifa.org/players/4/19/212933.png,Belgium,https://cdn.sofifa.org/flags/7.png,75,75,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,6500000.0,47000.0,1729,Right,1.0,3.0,2.0,High/ High,Stocky,Yes,ST,20.0,"Jul 1, 2017",,2019,190,201,75,75,75,66,71,71,71,66,69,69,69,66,67,67,67,66,54,59,59,59,54,54,58,58,58,54,42.0,74.0,84.0,71.0,70.0,64.0,46.0,29.0,59.0,73.0,48.0,58.0,35.0,73.0,48.0,80.0,69.0,69.0,90.0,64.0,77.0,32.0,78.0,65.0,62.0,68.0,35.0,46.0,38.0,7.0,16.0,6.0,9.0,12.0,12400000.0,4,0,0,0,1,0,1
2147,205351,A. Pritchard,25,https://cdn.sofifa.org/players/4/19/205351.png,England,https://cdn.sofifa.org/flags/14.png,74,78,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,7500000.0,37000.0,1845,Right,1.0,4.0,3.0,High/ Medium,Lean,Yes,LS,21.0,"Jan 12, 2018",,2021,170,137,68,68,68,73,73,73,73,73,74,74,74,73,71,71,71,73,60,59,59,59,60,57,48,48,48,57,70.0,67.0,42.0,74.0,63.0,74.0,75.0,77.0,72.0,76.0,75.0,66.0,75.0,66.0,85.0,76.0,48.0,62.0,32.0,69.0,67.0,40.0,71.0,76.0,66.0,68.0,40.0,40.0,43.0,13.0,13.0,14.0,10.0,8.0,14800000.0,4,0,0,0,1,1,1
2334,233601,R. Sobhi,21,https://cdn.sofifa.org/players/4/19/233601.png,Egypt,https://cdn.sofifa.org/flags/111.png,74,79,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,7500000.0,29000.0,1870,Right,1.0,4.0,4.0,High/ High,Normal,Yes,LM,14.0,"Jun 12, 2018",,2021,182,170,71,71,71,75,74,74,74,75,75,75,75,75,71,71,71,75,63,61,61,61,63,60,55,55,55,60,71.0,61.0,63.0,76.0,61.0,81.0,70.0,63.0,67.0,80.0,71.0,75.0,73.0,66.0,68.0,65.0,58.0,66.0,67.0,65.0,57.0,38.0,73.0,74.0,65.0,75.0,38.0,47.0,49.0,12.0,13.0,15.0,12.0,10.0,14800000.0,3,0,0,1,0,0,1
