Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
831,203485,T. Kongolo,24,https://cdn.sofifa.org/players/4/19/203485.png,Netherlands,https://cdn.sofifa.org/flags/34.png,78,83,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,12000000,39000,1884,Left,2,4,3,Medium/ Medium,Lean,Yes,LCB,5,2018-06-09,,2022,187,154,61,61,61,63,62,62,62,63,63,63,63,66,67,67,67,66,75,74,74,74,75,76,78,78,78,76,67,27,74,72,40,67,63,44,65,72,72,74,71,70,62,67,91,71,79,52,75,76,49,49,42,73,77,80,79,8,14,12,11,12,23700000,2,0,1,0,0,0
839,200607,C. Schindler,28,https://cdn.sofifa.org/players/4/19/200607.png,Germany,https://cdn.sofifa.org/flags/21.png,78,80,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,10000000,48000,1690,Right,1,3,2,Medium/ Medium,Normal,Yes,CB,26,2016-06-29,,2020,187,170,52,52,52,52,52,52,52,52,55,55,55,56,62,62,62,56,71,75,75,75,71,74,79,79,79,74,49,25,74,68,30,42,45,33,64,68,60,65,56,77,57,52,74,68,78,24,76,81,27,51,55,73,81,81,78,6,11,10,12,12,19800000,2,0,1,0,0,0
1134,183491,M. Jørgensen,28,https://cdn.sofifa.org/players/4/19/183491.png,Denmark,https://cdn.sofifa.org/flags/13.png,77,79,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,8500000,45000,1710,Right,1,2,2,Medium/ High,Normal,Yes,CB,13,2017-07-07,,2020,190,187,58,58,58,56,57,57,57,56,59,59,59,59,64,64,64,59,69,73,73,73,69,71,78,78,78,71,47,34,77,70,40,46,30,26,62,63,62,68,59,71,55,61,74,66,82,30,85,75,46,65,27,71,76,78,74,16,9,9,14,13,16800000,2,0,1,0,0,0
1213,172553,J. Lössl,29,https://cdn.sofifa.org/players/4/19/172553.png,Denmark,https://cdn.sofifa.org/flags/13.png,76,76,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,5000000,34000,1095,Right,1,2,1,Medium/ Medium,Lean,Yes,GK,16,2018-07-01,,2021,195,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,17,35,11,15,14,13,39,19,29,34,32,72,30,22,51,25,67,15,17,20,10,53,12,56,20,13,15,74,77,67,74,77,9500000,1,1,0,0,0,0
1560,183546,J. Hogg,29,https://cdn.sofifa.org/players/4/19/183546.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,6000000,42000,1889,Right,1,3,3,Medium/ High,Normal,Yes,CM,6,2013-07-29,,2020,175,161,65,65,65,66,66,66,66,66,68,68,68,69,71,71,71,69,75,76,76,76,75,75,76,76,76,75,58,54,64,74,53,67,46,41,69,68,69,68,64,74,72,61,64,89,75,54,85,75,58,64,41,70,75,79,76,6,8,13,14,11,11400000,3,0,0,1,0,0
1663,207920,E. Durm,26,https://cdn.sofifa.org/players/4/19/207920.png,Germany,https://cdn.sofifa.org/flags/21.png,75,77,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,6500000,38000,1878,Right,2,3,3,High/ Medium,Lean,No,RWB,37,2018-07-13,,2019,182,159,65,65,65,68,67,67,67,68,66,66,66,69,66,66,66,69,75,71,71,71,75,75,72,72,72,75,75,50,62,66,43,65,60,35,51,71,78,76,72,72,66,66,74,79,66,44,67,75,68,60,55,69,75,71,76,12,14,8,15,11,12800000,2,0,1,0,0,0
1812,224883,S. Mounié,23,https://cdn.sofifa.org/players/4/19/224883.png,Benin,https://cdn.sofifa.org/flags/99.png,75,82,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,9500000,40000,1830,Right,1,3,3,High/ Medium,Normal,Yes,RS,24,2017-07-05,,2021,190,176,75,75,75,69,71,71,71,69,69,69,69,68,65,65,65,68,57,58,58,58,57,56,58,58,58,56,60,74,84,67,69,64,52,41,59,70,66,70,60,71,54,78,83,66,83,65,78,42,76,61,65,67,35,35,40,14,15,6,12,15,20000000,4,0,0,0,1,0
1971,212933,L. Depoitre,29,https://cdn.sofifa.org/players/4/19/212933.png,Belgium,https://cdn.sofifa.org/flags/7.png,75,75,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,6500000,47000,1729,Right,1,3,2,High/ High,Stocky,Yes,ST,20,2017-07-01,,2019,190,201,75,75,75,66,71,71,71,66,69,69,69,66,67,67,67,66,54,59,59,59,54,54,58,58,58,54,42,74,84,71,70,64,46,29,59,73,48,58,35,73,48,80,69,69,90,64,77,32,78,65,62,68,35,46,38,7,16,6,9,12,12400000,4,0,0,0,1,0
2147,205351,A. Pritchard,25,https://cdn.sofifa.org/players/4/19/205351.png,England,https://cdn.sofifa.org/flags/14.png,74,78,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,7500000,37000,1845,Right,1,4,3,High/ Medium,Lean,Yes,LS,21,2018-01-12,,2021,170,137,68,68,68,73,73,73,73,73,74,74,74,73,71,71,71,73,60,59,59,59,60,57,48,48,48,57,70,67,42,74,63,74,75,77,72,76,75,66,75,66,85,76,48,62,32,69,67,40,71,76,66,68,40,40,43,13,13,14,10,8,14800000,4,0,0,0,1,0
2334,233601,R. Sobhi,21,https://cdn.sofifa.org/players/4/19/233601.png,Egypt,https://cdn.sofifa.org/flags/111.png,74,79,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1939.png,7500000,29000,1870,Right,1,4,4,High/ High,Normal,Yes,LM,14,2018-06-12,,2021,182,170,71,71,71,75,74,74,74,75,75,75,75,75,71,71,71,75,63,61,61,61,63,60,55,55,55,60,71,61,63,76,61,81,70,63,67,80,71,75,73,66,68,65,58,66,67,65,57,38,73,74,65,75,38,47,49,12,13,15,12,10,14800000,3,0,0,1,0,0
