Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
149,163587,K. Schmeichel,31,https://cdn.sofifa.org/players/4/19/163587.png,Denmark,https://cdn.sofifa.org/flags/13.png,84,84,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,19000000.0,78000.0,1351,Right,2.0,3.0,1.0,Medium/ Medium,Stocky,Yes,GK,1.0,"Jun 1, 2011",,2023,187,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,12.0,16.0,44.0,15.0,12.0,13.0,15.0,46.0,40.0,59.0,60.0,62.0,81.0,47.0,36.0,60.0,34.0,64.0,14.0,35.0,20.0,13.0,59.0,26.0,67.0,14.0,14.0,13.0,82.0,77.0,82.0,80.0,88.0,36100000.0,1,1,0,0,0,0,1
251,208830,J. Vardy,31,https://cdn.sofifa.org/players/4/19/208830.png,England,https://cdn.sofifa.org/flags/14.png,82,82,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,20000000.0,96000.0,2082,Right,3.0,3.0,3.0,High/ High,Lean,Yes,ST,9.0,"May 1, 2012",,2022,177,163,83,83,83,80,82,82,82,80,78,78,78,79,72,72,72,79,70,66,66,66,70,69,65,65,65,69,64.0,85.0,69.0,65.0,82.0,76.0,60.0,57.0,48.0,76.0,89.0,91.0,75.0,88.0,76.0,85.0,76.0,86.0,67.0,67.0,92.0,49.0,85.0,72.0,81.0,82.0,56.0,52.0,51.0,15.0,14.0,7.0,15.0,11.0,38000000.0,4,0,0,0,1,1,1
259,203263,H. Maguire,25,https://cdn.sofifa.org/players/4/19/203263.png,England,https://cdn.sofifa.org/flags/14.png,82,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,23500000.0,77000.0,1853,Right,1.0,3.0,2.0,High/ High,Stocky,Yes,LCB,6.0,"Jun 15, 2017",,2023,193,220,66,66,66,62,66,66,66,62,67,67,67,65,72,72,72,65,72,79,79,79,72,73,83,83,83,73,44.0,43.0,87.0,77.0,41.0,70.0,38.0,46.0,72.0,76.0,39.0,53.0,52.0,79.0,58.0,68.0,74.0,68.0,89.0,45.0,84.0,78.0,60.0,60.0,44.0,79.0,81.0,84.0,81.0,14.0,16.0,9.0,14.0,9.0,46400000.0,2,0,1,0,0,1,1
341,210243,Ricardo Pereira,24,https://cdn.sofifa.org/players/4/19/210243.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,19000000.0,64000.0,2127,Right,3.0,4.0,3.0,High/ High,Lean,No,RB,14.0,"Jun 9, 2018",,2023,175,154,74,74,74,81,79,79,79,81,80,80,80,82,81,81,81,82,83,81,81,81,83,82,77,77,77,82,81.0,61.0,64.0,80.0,56.0,83.0,78.0,45.0,78.0,79.0,88.0,87.0,82.0,81.0,77.0,67.0,74.0,84.0,60.0,62.0,75.0,79.0,75.0,75.0,60.0,81.0,76.0,80.0,75.0,16.0,12.0,15.0,11.0,11.0,37500000.0,2,0,1,0,0,0,1
425,226790,W. Ndidi,21,https://cdn.sofifa.org/players/4/19/226790.png,Nigeria,https://cdn.sofifa.org/flags/133.png,80,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,17000000.0,50000.0,2086,Right,1.0,4.0,3.0,Medium/ High,Lean,Yes,LDM,25.0,"Jan 5, 2017",,2024,182,163,72,72,72,70,72,72,72,70,72,72,72,72,76,76,76,72,78,81,81,81,78,80,83,83,83,80,50.0,50.0,76.0,74.0,66.0,74.0,58.0,58.0,70.0,75.0,73.0,73.0,67.0,79.0,67.0,82.0,90.0,92.0,75.0,74.0,85.0,84.0,67.0,67.0,55.0,74.0,84.0,84.0,83.0,13.0,14.0,7.0,7.0,13.0,33600000.0,3,0,0,1,0,0,1
670,189560,Iborra,30,https://cdn.sofifa.org/players/4/19/189560.png,Spain,https://cdn.sofifa.org/flags/45.png,79,79,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,9500000.0,66000.0,1975,Right,2.0,4.0,3.0,Medium/ Medium,Normal,Yes,CDM,21.0,"Jul 6, 2017",,2021,190,201,74,74,74,69,73,73,73,69,74,74,74,70,79,79,79,70,71,80,80,80,71,71,79,79,79,71,53.0,69.0,79.0,83.0,66.0,70.0,66.0,70.0,81.0,81.0,39.0,35.0,51.0,75.0,31.0,81.0,64.0,66.0,84.0,65.0,75.0,78.0,77.0,77.0,73.0,76.0,79.0,79.0,74.0,14.0,11.0,6.0,15.0,8.0,18100000.0,3,0,0,1,0,0,1
685,184826,Adrien Silva,29,https://cdn.sofifa.org/players/4/19/184826.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,79,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,12000000.0,75000.0,2083,Right,3.0,4.0,3.0,Medium/ High,Normal,Yes,CM,23.0,"Jan 1, 2018",,2021,175,152,74,74,74,77,77,77,77,77,79,79,79,77,80,80,80,77,76,78,78,78,76,75,73,73,73,75,77.0,67.0,61.0,81.0,75.0,78.0,79.0,75.0,80.0,80.0,64.0,57.0,70.0,76.0,68.0,83.0,53.0,69.0,59.0,79.0,79.0,80.0,73.0,78.0,85.0,79.0,60.0,78.0,73.0,15.0,6.0,8.0,10.0,7.0,22800000.0,3,0,0,1,0,0,1
742,229984,B. Chilwell,21,https://cdn.sofifa.org/players/4/19/229984.png,England,https://cdn.sofifa.org/flags/14.png,78,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,12500000.0,43000.0,1976,Left,1.0,3.0,3.0,High/ High,Normal,Yes,LB,19.0,"Aug 26, 2015",,2024,177,170,68,68,68,72,71,71,71,72,71,71,71,75,73,73,73,75,79,75,75,75,79,78,75,75,75,78,76.0,43.0,64.0,73.0,42.0,76.0,67.0,64.0,68.0,77.0,81.0,82.0,70.0,75.0,71.0,69.0,77.0,84.0,68.0,38.0,68.0,74.0,74.0,66.0,52.0,68.0,74.0,76.0,79.0,10.0,7.0,14.0,7.0,10.0,26300000.0,2,0,1,0,0,1,1
922,220697,J. Maddison,21,https://cdn.sofifa.org/players/4/19/220697.png,England,https://cdn.sofifa.org/flags/14.png,77,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,13000000.0,45000.0,1908,Right,1.0,4.0,4.0,High/ Medium,Lean,No,CAM,22.0,"Jun 20, 2018",,2023,175,161,69,69,69,77,76,76,76,77,78,78,78,77,74,74,74,77,62,60,60,60,62,58,47,47,47,58,74.0,69.0,30.0,78.0,69.0,77.0,78.0,79.0,72.0,82.0,77.0,74.0,85.0,68.0,78.0,83.0,54.0,67.0,40.0,73.0,56.0,45.0,69.0,81.0,74.0,76.0,37.0,40.0,34.0,11.0,14.0,14.0,12.0,14.0,27300000.0,3,0,0,1,0,1,1
1346,183130,M. Albrighton,28,https://cdn.sofifa.org/players/4/19/183130.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,8000000.0,60000.0,2005,Right,2.0,3.0,3.0,High/ High,Lean,Yes,RM,11.0,"Jul 1, 2014",,2020,175,163,70,70,70,76,74,74,74,76,75,75,75,77,74,74,74,77,70,68,68,68,70,67,61,61,61,67,86.0,67.0,42.0,68.0,71.0,77.0,83.0,73.0,78.0,77.0,77.0,73.0,75.0,71.0,79.0,72.0,61.0,83.0,61.0,67.0,73.0,56.0,71.0,76.0,60.0,70.0,70.0,52.0,45.0,15.0,9.0,8.0,15.0,14.0,15200000.0,3,0,0,1,0,1,1
1519,220633,D. Gray,22,https://cdn.sofifa.org/players/4/19/220633.png,England,https://cdn.sofifa.org/flags/14.png,76,83,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,11000000.0,50000.0,1783,Right,1.0,3.0,3.0,High/ Medium,Lean,Yes,LM,7.0,"Jan 4, 2016",,2021,180,163,71,71,71,78,76,76,76,78,76,76,76,76,68,68,68,76,57,52,52,52,57,53,41,41,41,53,69.0,68.0,31.0,69.0,54.0,84.0,70.0,58.0,60.0,79.0,88.0,87.0,88.0,70.0,79.0,81.0,52.0,68.0,59.0,71.0,41.0,25.0,69.0,72.0,58.0,62.0,29.0,30.0,23.0,6.0,11.0,11.0,13.0,10.0,23100000.0,3,0,0,1,0,1,1
1666,139313,C. Fuchs,32,https://cdn.sofifa.org/players/4/19/139313.png,Austria,https://cdn.sofifa.org/flags/4.png,75,75,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,3700000.0,50000.0,2088,Left,2.0,2.0,3.0,Medium/ Medium,Normal,Yes,LB,28.0,"Jul 1, 2015",,2019,187,196,71,71,71,71,72,72,72,71,73,73,73,72,76,76,76,72,75,77,77,77,75,75,77,77,77,75,83.0,57.0,74.0,78.0,72.0,70.0,86.0,77.0,76.0,74.0,54.0,56.0,61.0,77.0,59.0,83.0,74.0,66.0,71.0,75.0,77.0,77.0,72.0,73.0,68.0,70.0,74.0,78.0,76.0,14.0,12.0,15.0,16.0,13.0,7000000.0,2,0,1,0,0,0,1
1691,194365,S. Okazaki,32,https://cdn.sofifa.org/players/4/19/194365.png,Japan,https://cdn.sofifa.org/flags/163.png,75,75,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,5500000.0,59000.0,1962,Right,2.0,4.0,3.0,High/ High,Normal,Yes,CF,20.0,"Jul 1, 2015",,2019,172,172,76,76,76,76,77,77,77,76,76,76,76,75,73,73,73,75,65,66,66,66,65,63,63,63,63,63,66.0,70.0,73.0,74.0,76.0,77.0,53.0,50.0,63.0,78.0,75.0,61.0,79.0,83.0,71.0,76.0,91.0,74.0,65.0,66.0,78.0,48.0,83.0,69.0,74.0,69.0,54.0,58.0,35.0,10.0,6.0,14.0,6.0,6.0,10500000.0,4,0,0,0,1,0,1
