Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
149,163587,K. Schmeichel,31,https://cdn.sofifa.org/players/4/19/163587.png,Denmark,https://cdn.sofifa.org/flags/13.png,84,84,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,19000000,78000,1351,Right,2,3,1,Medium/ Medium,Stocky,Yes,GK,1,2011-06-01,,2023,187,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,16,44,15,12,13,15,46,40,59,60,62,81,47,36,60,34,64,14,35,20,13,59,26,67,14,14,13,82,77,82,80,88,36100000,1,1,0,0,0,0
251,208830,J. Vardy,31,https://cdn.sofifa.org/players/4/19/208830.png,England,https://cdn.sofifa.org/flags/14.png,82,82,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,20000000,96000,2082,Right,3,3,3,High/ High,Lean,Yes,ST,9,2012-05-01,,2022,177,163,83,83,83,80,82,82,82,80,78,78,78,79,72,72,72,79,70,66,66,66,70,69,65,65,65,69,64,85,69,65,82,76,60,57,48,76,89,91,75,88,76,85,76,86,67,67,92,49,85,72,81,82,56,52,51,15,14,7,15,11,38000000,4,0,0,0,1,0
259,203263,H. Maguire,25,https://cdn.sofifa.org/players/4/19/203263.png,England,https://cdn.sofifa.org/flags/14.png,82,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,23500000,77000,1853,Right,1,3,2,High/ High,Stocky,Yes,LCB,6,2017-06-15,,2023,193,220,66,66,66,62,66,66,66,62,67,67,67,65,72,72,72,65,72,79,79,79,72,73,83,83,83,73,44,43,87,77,41,70,38,46,72,76,39,53,52,79,58,68,74,68,89,45,84,78,60,60,44,79,81,84,81,14,16,9,14,9,46400000,2,0,1,0,0,0
341,210243,Ricardo Pereira,24,https://cdn.sofifa.org/players/4/19/210243.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,19000000,64000,2127,Right,3,4,3,High/ High,Lean,No,RB,14,2018-06-09,,2023,175,154,74,74,74,81,79,79,79,81,80,80,80,82,81,81,81,82,83,81,81,81,83,82,77,77,77,82,81,61,64,80,56,83,78,45,78,79,88,87,82,81,77,67,74,84,60,62,75,79,75,75,60,81,76,80,75,16,12,15,11,11,37500000,2,0,1,0,0,0
425,226790,W. Ndidi,21,https://cdn.sofifa.org/players/4/19/226790.png,Nigeria,https://cdn.sofifa.org/flags/133.png,80,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,17000000,50000,2086,Right,1,4,3,Medium/ High,Lean,Yes,LDM,25,2017-01-05,,2024,182,163,72,72,72,70,72,72,72,70,72,72,72,72,76,76,76,72,78,81,81,81,78,80,83,83,83,80,50,50,76,74,66,74,58,58,70,75,73,73,67,79,67,82,90,92,75,74,85,84,67,67,55,74,84,84,83,13,14,7,7,13,33600000,3,0,0,1,0,0
670,189560,Iborra,30,https://cdn.sofifa.org/players/4/19/189560.png,Spain,https://cdn.sofifa.org/flags/45.png,79,79,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,9500000,66000,1975,Right,2,4,3,Medium/ Medium,Normal,Yes,CDM,21,2017-07-06,,2021,190,201,74,74,74,69,73,73,73,69,74,74,74,70,79,79,79,70,71,80,80,80,71,71,79,79,79,71,53,69,79,83,66,70,66,70,81,81,39,35,51,75,31,81,64,66,84,65,75,78,77,77,73,76,79,79,74,14,11,6,15,8,18100000,3,0,0,1,0,0
685,184826,Adrien Silva,29,https://cdn.sofifa.org/players/4/19/184826.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,79,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,12000000,75000,2083,Right,3,4,3,Medium/ High,Normal,Yes,CM,23,2018-01-01,,2021,175,152,74,74,74,77,77,77,77,77,79,79,79,77,80,80,80,77,76,78,78,78,76,75,73,73,73,75,77,67,61,81,75,78,79,75,80,80,64,57,70,76,68,83,53,69,59,79,79,80,73,78,85,79,60,78,73,15,6,8,10,7,22800000,3,0,0,1,0,0
742,229984,B. Chilwell,21,https://cdn.sofifa.org/players/4/19/229984.png,England,https://cdn.sofifa.org/flags/14.png,78,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,12500000,43000,1976,Left,1,3,3,High/ High,Normal,Yes,LB,19,2015-08-26,,2024,177,170,68,68,68,72,71,71,71,72,71,71,71,75,73,73,73,75,79,75,75,75,79,78,75,75,75,78,76,43,64,73,42,76,67,64,68,77,81,82,70,75,71,69,77,84,68,38,68,74,74,66,52,68,74,76,79,10,7,14,7,10,26300000,2,0,1,0,0,0
922,220697,J. Maddison,21,https://cdn.sofifa.org/players/4/19/220697.png,England,https://cdn.sofifa.org/flags/14.png,77,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,13000000,45000,1908,Right,1,4,4,High/ Medium,Lean,No,CAM,22,2018-06-20,,2023,175,161,69,69,69,77,76,76,76,77,78,78,78,77,74,74,74,77,62,60,60,60,62,58,47,47,47,58,74,69,30,78,69,77,78,79,72,82,77,74,85,68,78,83,54,67,40,73,56,45,69,81,74,76,37,40,34,11,14,14,12,14,27300000,3,0,0,1,0,0
1346,183130,M. Albrighton,28,https://cdn.sofifa.org/players/4/19/183130.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,8000000,60000,2005,Right,2,3,3,High/ High,Lean,Yes,RM,11,2014-07-01,,2020,175,163,70,70,70,76,74,74,74,76,75,75,75,77,74,74,74,77,70,68,68,68,70,67,61,61,61,67,86,67,42,68,71,77,83,73,78,77,77,73,75,71,79,72,61,83,61,67,73,56,71,76,60,70,70,52,45,15,9,8,15,14,15200000,3,0,0,1,0,0
1519,220633,D. Gray,22,https://cdn.sofifa.org/players/4/19/220633.png,England,https://cdn.sofifa.org/flags/14.png,76,83,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,11000000,50000,1783,Right,1,3,3,High/ Medium,Lean,Yes,LM,7,2016-01-04,,2021,180,163,71,71,71,78,76,76,76,78,76,76,76,76,68,68,68,76,57,52,52,52,57,53,41,41,41,53,69,68,31,69,54,84,70,58,60,79,88,87,88,70,79,81,52,68,59,71,41,25,69,72,58,62,29,30,23,6,11,11,13,10,23100000,3,0,0,1,0,0
1666,139313,C. Fuchs,32,https://cdn.sofifa.org/players/4/19/139313.png,Austria,https://cdn.sofifa.org/flags/4.png,75,75,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,3700000,50000,2088,Left,2,2,3,Medium/ Medium,Normal,Yes,LB,28,2015-07-01,,2019,187,196,71,71,71,71,72,72,72,71,73,73,73,72,76,76,76,72,75,77,77,77,75,75,77,77,77,75,83,57,74,78,72,70,86,77,76,74,54,56,61,77,59,83,74,66,71,75,77,77,72,73,68,70,74,78,76,14,12,15,16,13,7000000,2,0,1,0,0,0
1691,194365,S. Okazaki,32,https://cdn.sofifa.org/players/4/19/194365.png,Japan,https://cdn.sofifa.org/flags/163.png,75,75,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,5500000,59000,1962,Right,2,4,3,High/ High,Normal,Yes,CF,20,2015-07-01,,2019,172,172,76,76,76,76,77,77,77,76,76,76,76,75,73,73,73,75,65,66,66,66,65,63,63,63,63,63,66,70,73,74,76,77,53,50,63,78,75,61,79,83,71,76,91,74,65,66,78,48,83,69,74,69,54,58,35,10,6,14,6,6,10500000,4,0,0,0,1,0
1869,212883,D. Amartey,23,https://cdn.sofifa.org/players/4/19/212883.png,Ghana,https://cdn.sofifa.org/flags/117.png,75,79,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,7000000,43000,1948,Right,1,3,3,Medium/ High,Lean,Yes,RB,18,2016-02-05,,2019,185,174,66,66,66,66,66,66,66,66,67,67,67,68,71,71,71,68,75,76,76,76,75,75,77,77,77,75,62,46,70,77,68,70,44,32,68,70,70,74,65,70,66,75,84,86,82,69,82,74,47,58,51,69,74,79,73,13,13,13,8,15,13800000,2,0,1,0,0,0
1930,136113,W. Morgan,34,https://cdn.sofifa.org/players/4/19/136113.png,Jamaica,https://cdn.sofifa.org/flags/82.png,75,75,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,2000000,50000,1428,Right,2,2,2,Medium/ High,Stocky,Yes,RCB,5,2012-01-30,,2019,185,223,50,50,50,46,50,50,50,46,51,51,51,48,57,57,57,48,59,68,68,68,59,62,76,76,76,62,17,19,76,55,23,58,14,18,47,61,30,30,28,76,48,52,73,50,87,35,79,75,39,49,17,68,76,76,75,14,10,6,7,8,3800000,2,0,1,0,0,0
1946,225719,K. Iheanacho,21,https://cdn.sofifa.org/players/4/19/225719.png,Nigeria,https://cdn.sofifa.org/flags/133.png,75,83,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,10000000,45000,1811,Left,1,3,4,Medium/ Medium,Normal,Yes,ST,8,2017-08-03,,2022,182,176,75,75,75,74,76,76,76,74,74,74,74,72,67,67,67,72,53,52,52,52,53,50,45,45,45,50,49,77,60,67,73,77,69,64,61,76,78,78,72,71,68,75,62,69,70,72,61,21,79,65,73,71,28,25,23,8,7,7,11,15,21000000,4,0,0,0,1,0
1947,232119,C. Söyüncü,22,https://cdn.sofifa.org/players/4/19/232119.png,Turkey,https://cdn.sofifa.org/flags/48.png,75,83,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,8500000,43000,1714,Right,1,4,2,Medium/ Medium,Normal,No,LCB,6,2018-08-09,,2023,185,181,58,58,58,56,56,56,56,56,56,56,56,57,59,59,59,57,68,69,69,69,68,70,75,75,75,70,46,37,68,56,48,57,39,37,55,59,67,72,64,69,58,65,68,67,78,42,81,71,42,49,52,59,69,84,80,6,7,7,7,7,17900000,2,0,1,0,0,0
1967,210372,R. Ghezzal,26,https://cdn.sofifa.org/players/4/19/210372.png,Algeria,https://cdn.sofifa.org/flags/97.png,75,76,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,8000000,54000,1836,Left,2,3,4,Medium/ Low,Lean,No,RM,31,2018-08-05,,2022,182,154,72,72,72,76,76,76,76,76,77,77,77,76,71,71,71,76,56,54,54,54,56,52,43,43,43,52,74,71,56,76,59,80,80,74,71,80,73,72,76,63,73,74,59,68,61,75,50,27,73,76,68,74,25,24,23,12,6,15,7,15,15800000,3,0,0,1,0,0
1984,198861,N. Mendy,26,https://cdn.sofifa.org/players/4/19/198861.png,France,https://cdn.sofifa.org/flags/18.png,75,77,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,6500000,50000,1972,Right,1,3,3,Low/ High,Stocky,Yes,RDM,24,2016-07-03,,2020,167,161,65,65,65,69,68,68,68,69,70,70,70,71,73,73,73,71,75,76,76,76,75,74,74,74,74,74,67,49,65,79,43,71,69,54,72,76,71,68,74,74,87,62,76,77,68,64,78,74,55,63,55,70,70,75,74,14,12,9,12,15,12800000,3,0,0,1,0,0
2332,169600,D. Simpson,31,https://cdn.sofifa.org/players/4/19/169600.png,England,https://cdn.sofifa.org/flags/14.png,74,74,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,3700000,46000,1819,Right,2,3,3,Low/ High,Normal,Yes,RB,2,2014-08-30,,2019,175,176,57,57,57,62,61,61,61,62,63,63,63,64,67,67,67,64,73,74,74,74,73,74,77,77,77,74,65,27,70,64,50,64,44,32,59,68,63,54,63,82,78,37,77,70,68,54,80,79,58,63,54,70,81,79,78,10,15,13,9,11,7000000,2,0,1,0,0,0
2907,207998,D. Ward,25,https://cdn.sofifa.org/players/4/19/207998.png,Wales,https://cdn.sofifa.org/flags/50.png,73,76,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,3500000,32000,1140,Right,1,3,1,Medium/ Medium,Normal,Yes,GK,12,2018-07-21,,2022,190,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,13,30,13,19,15,14,42,23,46,44,38,70,53,25,64,22,60,16,25,20,7,38,20,56,8,20,18,73,72,64,69,75,7000000,1,1,0,0,0,0
3197,183288,Y. Benalouane,31,https://cdn.sofifa.org/players/4/19/183288.png,Tunisia,https://cdn.sofifa.org/flags/145.png,73,73,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,2700000,42000,1697,Right,1,3,2,Medium/ High,Lean,Yes,CB,29,2015-08-03,,2019,185,190,54,54,54,52,52,52,52,52,52,52,52,54,58,58,58,54,65,68,68,68,65,66,73,73,73,66,61,24,68,64,51,47,51,52,61,59,49,54,56,65,58,68,77,51,77,39,87,76,46,40,38,63,69,75,69,14,13,9,14,15,5100000,2,0,1,0,0,0
