Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
3,193080,De Gea,27,https://cdn.sofifa.org/players/4/19/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,91,93,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,72000000,260000,1471,Right,4,3,1,Medium/ Medium,Lean,Yes,GK,1,2011-07-01,,2020,193,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,90,85,87,88,94,138600000,1,1,0,0,0,0
45,195864,P. Pogba,25,https://cdn.sofifa.org/players/4/19/195864.png,France,https://cdn.sofifa.org/flags/18.png,87,91,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,64000000,210000,2247,Right,4,4,5,High/ Low,Normal,Yes,RDM,6,2016-08-09,,2021,193,185,84,84,84,85,85,85,85,85,86,86,86,86,87,87,87,86,80,81,81,81,80,78,77,77,77,78,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3,123200000,3,0,0,1,0,0
47,192505,R. Lukaku,25,https://cdn.sofifa.org/players/4/19/192505.png,Belgium,https://cdn.sofifa.org/flags/7.png,87,89,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,62500000,230000,2031,Left,3,3,3,Medium/ Medium,Stocky,Yes,ST,9,2017-07-10,,2022,190,207,87,87,87,82,84,84,84,82,81,81,81,82,75,75,75,82,63,61,61,61,63,60,57,57,57,60,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10,120300000,4,0,0,0,1,0
93,184941,A. Sánchez,29,https://cdn.sofifa.org/players/4/19/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,85,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,37500000,215000,2172,Right,4,3,4,High/ High,Normal,Yes,RW,7,2018-01-22,,2022,170,163,84,84,84,85,85,85,85,85,85,85,85,85,80,80,80,85,68,67,67,67,68,65,60,60,60,65,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13,69400000,4,0,0,0,1,0
116,211300,A. Martial,22,https://cdn.sofifa.org/players/4/19/211300.png,France,https://cdn.sofifa.org/flags/18.png,84,90,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,42500000,165000,2064,Right,3,3,4,Medium/ Medium,Normal,Yes,LW,11,2015-09-01,,2019,182,168,84,84,84,85,85,85,85,85,83,83,83,84,76,76,76,84,67,63,63,63,67,64,57,57,57,64,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,81,79,38,39,36,9,8,8,15,11,87100000,4,0,0,0,1,0
132,191202,N. Mati?,29,https://cdn.sofifa.org/players/4/19/191202.png,Serbia,https://cdn.sofifa.org/flags/51.png,84,84,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,24000000,165000,2100,Left,3,3,3,Medium/ High,Lean,Yes,CDM,31,2017-07-31,,2020,193,187,76,76,76,75,77,77,77,75,77,77,77,77,82,82,82,77,81,85,85,85,81,80,83,83,83,80,71,64,74,84,73,80,72,67,83,79,52,59,44,83,50,83,67,84,85,75,80,86,69,73,64,84,83,84,75,7,15,12,14,9,44400000,3,0,0,1,0,0
211,178088,Juan Mata,30,https://cdn.sofifa.org/players/4/19/178088.png,Spain,https://cdn.sofifa.org/flags/45.png,83,83,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,24500000,160000,1984,Left,3,3,4,Medium/ Medium,Lean,Yes,RM,8,2014-01-25,,2019,170,139,77,77,77,83,83,83,83,83,85,85,85,83,80,80,80,83,64,63,63,63,64,59,49,49,49,59,83,78,56,85,71,82,84,86,79,88,69,62,84,85,89,75,70,71,37,72,50,39,83,85,81,87,42,31,21,9,10,14,5,8,45300000,3,0,0,1,0,0
250,209297,Fred,25,https://cdn.sofifa.org/players/4/19/209297.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,84,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,26500000,140000,2180,Left,1,4,4,High/ High,Lean,No,CM,17,2018-06-21,,2023,170,141,76,76,76,79,79,79,79,79,81,81,81,80,82,82,82,80,80,81,81,81,80,79,75,75,75,79,67,74,55,85,70,79,70,72,80,86,77,79,84,82,87,76,83,87,61,76,73,80,69,76,65,82,76,78,69,7,16,15,11,15,51000000,3,0,0,1,0,0
254,207494,J. Lingard,25,https://cdn.sofifa.org/players/4/19/207494.png,England,https://cdn.sofifa.org/flags/14.png,82,83,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,26500000,140000,2095,Right,2,3,4,High/ High,Lean,Yes,CAM,7,2010-07-01,,2021,175,137,80,80,80,83,83,83,83,83,83,83,83,82,78,78,78,82,72,69,69,69,72,69,62,62,62,69,74,78,64,78,70,83,80,63,66,83,84,82,86,83,86,80,63,87,53,80,73,53,86,82,65,84,65,50,44,14,10,8,13,9,51000000,3,0,0,1,0,0
319,231677,M. Rashford,20,https://cdn.sofifa.org/players/4/19/231677.png,England,https://cdn.sofifa.org/flags/14.png,81,89,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,27000000,110000,2062,Right,2,4,4,High/ Medium,Lean,Yes,LW,11,2014-07-01,,2020,185,154,81,81,81,82,82,82,82,82,80,80,80,81,74,74,74,81,65,61,61,61,65,62,55,55,55,62,75,78,71,75,72,83,77,78,65,80,90,93,88,79,77,87,68,79,71,77,70,42,81,74,74,73,32,40,33,11,6,15,7,14,55400000,4,0,0,0,1,0
