Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
768,220407,M. Dúbravka,29,https://cdn.sofifa.org/players/4/19/220407.png,Slovakia,https://cdn.sofifa.org/flags/43.png,78,80,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,8500000.0,39000.0,1275,Right,1.0,2.0,1.0,Medium/ Medium,Lean,Yes,GK,12.0,"Jun 9, 2018",,2022,190,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,10.0,12.0,48.0,11.0,19.0,15.0,13.0,45.0,33.0,49.0,44.0,44.0,73.0,60.0,22.0,73.0,40.0,60.0,17.0,26.0,25.0,10.0,54.0,20.0,59.0,19.0,15.0,14.0,75.0,80.0,81.0,76.0,80.0,16800000.0,1,1,0,0,0,0,1
830,203487,J. Lascelles,24,https://cdn.sofifa.org/players/4/19/203487.png,England,https://cdn.sofifa.org/flags/14.png,78,83,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,12000000.0,39000.0,1616,Right,1.0,3.0,2.0,Medium/ High,Normal,Yes,RCB,6.0,"Aug 4, 2014",,2024,187,196,51,51,51,52,50,50,50,52,53,53,53,55,59,59,59,55,69,72,72,72,69,72,79,79,79,72,46.0,23.0,79.0,65.0,33.0,50.0,29.0,16.0,57.0,65.0,60.0,63.0,67.0,75.0,51.0,40.0,85.0,70.0,84.0,27.0,83.0,76.0,23.0,40.0,19.0,71.0,80.0,77.0,76.0,10.0,15.0,7.0,10.0,15.0,23700000.0,2,0,1,0,0,1,1
850,197948,F. Lejeune,27,https://cdn.sofifa.org/players/4/19/197948.png,France,https://cdn.sofifa.org/flags/18.png,78,80,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,10000000.0,46000.0,1823,Right,2.0,3.0,2.0,Medium/ High,Normal,Yes,CB,20.0,"Jul 4, 2017",,2022,187,196,64,64,64,60,62,62,62,60,63,63,63,62,68,68,68,62,71,76,76,76,71,71,79,79,79,71,51.0,50.0,75.0,75.0,42.0,62.0,47.0,41.0,70.0,73.0,42.0,52.0,55.0,72.0,57.0,75.0,76.0,73.0,83.0,66.0,81.0,81.0,46.0,46.0,43.0,77.0,80.0,76.0,73.0,11.0,15.0,15.0,12.0,7.0,19800000.0,2,0,1,0,0,0,1
884,189165,J. Shelvey,26,https://cdn.sofifa.org/players/4/19/189165.png,England,https://cdn.sofifa.org/flags/14.png,78,80,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,12500000.0,50000.0,2050,Right,2.0,3.0,3.0,Low/ Medium,Lean,Yes,CM,8.0,"Jan 12, 2016",,2021,182,176,73,73,73,74,76,76,76,74,77,77,77,76,79,79,79,76,71,74,74,74,71,69,69,69,69,69,73.0,67.0,67.0,84.0,59.0,74.0,69.0,73.0,85.0,76.0,63.0,63.0,62.0,72.0,65.0,85.0,64.0,76.0,71.0,81.0,84.0,63.0,70.0,83.0,71.0,78.0,60.0,65.0,61.0,14.0,11.0,15.0,8.0,16.0,24700000.0,3,0,0,1,0,1,1
927,186395,M. Ritchie,28,https://cdn.sofifa.org/players/4/19/186395.png,Scotland,https://cdn.sofifa.org/flags/42.png,77,77,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,9000000.0,49000.0,2015,Left,1.0,4.0,4.0,High/ Medium,Normal,Yes,RM,11.0,"Jul 1, 2016",,2021,172,168,72,72,72,77,76,76,76,77,77,77,77,77,74,74,74,77,69,67,67,67,69,66,60,60,60,66,80.0,72.0,38.0,75.0,75.0,77.0,74.0,66.0,72.0,76.0,75.0,73.0,71.0,75.0,84.0,76.0,70.0,76.0,59.0,77.0,73.0,49.0,76.0,76.0,72.0,72.0,56.0,57.0,54.0,15.0,8.0,11.0,14.0,13.0,17100000.0,3,0,0,1,0,0,1
970,189250,S. Rondón,28,https://cdn.sofifa.org/players/4/19/189250.png,Venezuela,https://cdn.sofifa.org/flags/61.png,77,77,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,9000000.0,41000.0,1763,Right,2.0,4.0,3.0,High/ Medium,Stocky,Yes,RS,23.0,,West Bromwich Albion,"Jun 30, 2019",185,216,77,77,77,69,73,73,73,69,69,69,69,68,62,62,62,68,52,52,52,52,52,50,51,51,51,50,48.0,75.0,84.0,68.0,75.0,70.0,53.0,52.0,40.0,71.0,69.0,68.0,66.0,73.0,46.0,85.0,71.0,72.0,85.0,68.0,72.0,33.0,77.0,53.0,65.0,76.0,36.0,23.0,13.0,13.0,13.0,7.0,5.0,14.0,0.0,4,0,0,0,1,0,1
1203,201988,F. Fernández,29,https://cdn.sofifa.org/players/4/19/201988.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,76,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,6000000.0,42000.0,1576,Right,2.0,2.0,2.0,Medium/ High,Normal,Yes,LCB,18.0,"Aug 9, 2018",,2020,190,183,49,49,49,47,49,49,49,47,52,52,52,51,59,59,59,51,64,72,72,72,64,67,77,77,77,67,23.0,26.0,77.0,68.0,21.0,39.0,49.0,40.0,58.0,65.0,47.0,50.0,48.0,71.0,48.0,27.0,76.0,65.0,78.0,29.0,79.0,76.0,36.0,44.0,42.0,71.0,76.0,78.0,77.0,12.0,12.0,13.0,14.0,12.0,11400000.0,2,0,1,0,0,0,1
1256,215590,Ayoze Pérez,24,https://cdn.sofifa.org/players/4/19/215590.png,Spain,https://cdn.sofifa.org/flags/45.png,76,81,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,10500000.0,42000.0,1911,Right,1.0,4.0,4.0,High/ High,Lean,Yes,CF,17.0,"Jun 6, 2014",,2021,177,159,75,75,75,76,77,77,77,76,76,76,76,74,70,70,70,74,59,58,58,58,59,57,53,53,53,57,48.0,78.0,66.0,71.0,77.0,82.0,79.0,60.0,51.0,78.0,77.0,75.0,83.0,76.0,78.0,66.0,71.0,77.0,53.0,64.0,70.0,35.0,80.0,71.0,73.0,73.0,45.0,42.0,28.0,12.0,12.0,11.0,14.0,8.0,20700000.0,4,0,0,0,1,0,1
1295,180283,Ki Sung Yueng,29,https://cdn.sofifa.org/players/4/19/180283.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,76,76,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,7500000.0,46000.0,2010,Right,2.0,4.0,4.0,Medium/ High,Lean,Yes,LCM,4.0,"Jul 1, 2018",,2020,187,165,73,73,73,74,75,75,75,74,76,76,76,75,77,77,77,75,70,72,72,72,70,69,69,69,69,69,73.0,69.0,71.0,84.0,55.0,74.0,76.0,77.0,79.0,80.0,60.0,61.0,67.0,66.0,59.0,82.0,68.0,69.0,70.0,71.0,68.0,54.0,72.0,79.0,76.0,81.0,60.0,70.0,71.0,14.0,9.0,7.0,9.0,10.0,14300000.0,3,0,0,1,0,0,1
1339,215639,Kenedy,22,https://cdn.sofifa.org/players/4/19/215639.png,Brazil,https://cdn.sofifa.org/flags/54.png,76,84,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,11500000.0,71000.0,1966,Left,1.0,2.0,4.0,High/ High,Lean,Yes,LM,15.0,,Chelsea,"Jun 30, 2019",182,170,74,74,74,77,76,76,76,77,76,76,76,77,73,73,73,77,70,66,66,66,70,68,62,62,62,68,77.0,65.0,66.0,72.0,55.0,83.0,77.0,54.0,66.0,78.0,79.0,80.0,83.0,74.0,68.0,75.0,68.0,72.0,67.0,66.0,42.0,56.0,74.0,72.0,67.0,76.0,57.0,57.0,52.0,11.0,15.0,11.0,15.0,12.0,0.0,3,0,0,1,0,0,1
