Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
768,220407,M. Dúbravka,29,https://cdn.sofifa.org/players/4/19/220407.png,Slovakia,https://cdn.sofifa.org/flags/43.png,78,80,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,8500000,39000,1275,Right,1,2,1,Medium/ Medium,Lean,Yes,GK,12,2018-06-09,,2022,190,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,48,11,19,15,13,45,33,49,44,44,73,60,22,73,40,60,17,26,25,10,54,20,59,19,15,14,75,80,81,76,80,16800000,1,1,0,0,0,0
830,203487,J. Lascelles,24,https://cdn.sofifa.org/players/4/19/203487.png,England,https://cdn.sofifa.org/flags/14.png,78,83,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,12000000,39000,1616,Right,1,3,2,Medium/ High,Normal,Yes,RCB,6,2014-08-04,,2024,187,196,51,51,51,52,50,50,50,52,53,53,53,55,59,59,59,55,69,72,72,72,69,72,79,79,79,72,46,23,79,65,33,50,29,16,57,65,60,63,67,75,51,40,85,70,84,27,83,76,23,40,19,71,80,77,76,10,15,7,10,15,23700000,2,0,1,0,0,0
850,197948,F. Lejeune,27,https://cdn.sofifa.org/players/4/19/197948.png,France,https://cdn.sofifa.org/flags/18.png,78,80,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,10000000,46000,1823,Right,2,3,2,Medium/ High,Normal,Yes,CB,20,2017-07-04,,2022,187,196,64,64,64,60,62,62,62,60,63,63,63,62,68,68,68,62,71,76,76,76,71,71,79,79,79,71,51,50,75,75,42,62,47,41,70,73,42,52,55,72,57,75,76,73,83,66,81,81,46,46,43,77,80,76,73,11,15,15,12,7,19800000,2,0,1,0,0,0
884,189165,J. Shelvey,26,https://cdn.sofifa.org/players/4/19/189165.png,England,https://cdn.sofifa.org/flags/14.png,78,80,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,12500000,50000,2050,Right,2,3,3,Low/ Medium,Lean,Yes,CM,8,2016-01-12,,2021,182,176,73,73,73,74,76,76,76,74,77,77,77,76,79,79,79,76,71,74,74,74,71,69,69,69,69,69,73,67,67,84,59,74,69,73,85,76,63,63,62,72,65,85,64,76,71,81,84,63,70,83,71,78,60,65,61,14,11,15,8,16,24700000,3,0,0,1,0,0
927,186395,M. Ritchie,28,https://cdn.sofifa.org/players/4/19/186395.png,Scotland,https://cdn.sofifa.org/flags/42.png,77,77,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,9000000,49000,2015,Left,1,4,4,High/ Medium,Normal,Yes,RM,11,2016-07-01,,2021,172,168,72,72,72,77,76,76,76,77,77,77,77,77,74,74,74,77,69,67,67,67,69,66,60,60,60,66,80,72,38,75,75,77,74,66,72,76,75,73,71,75,84,76,70,76,59,77,73,49,76,76,72,72,56,57,54,15,8,11,14,13,17100000,3,0,0,1,0,0
970,189250,S. Rondón,28,https://cdn.sofifa.org/players/4/19/189250.png,Venezuela,https://cdn.sofifa.org/flags/61.png,77,77,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,9000000,41000,1763,Right,2,4,3,High/ Medium,Stocky,Yes,RS,23,,West Bromwich Albion,"Jun 30, 2019",185,216,77,77,77,69,73,73,73,69,69,69,69,68,62,62,62,68,52,52,52,52,52,50,51,51,51,50,48,75,84,68,75,70,53,52,40,71,69,68,66,73,46,85,71,72,85,68,72,33,77,53,65,76,36,23,13,13,13,7,5,14,0,4,0,0,0,1,0
1203,201988,F. Fernández,29,https://cdn.sofifa.org/players/4/19/201988.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,76,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,6000000,42000,1576,Right,2,2,2,Medium/ High,Normal,Yes,LCB,18,2018-08-09,,2020,190,183,49,49,49,47,49,49,49,47,52,52,52,51,59,59,59,51,64,72,72,72,64,67,77,77,77,67,23,26,77,68,21,39,49,40,58,65,47,50,48,71,48,27,76,65,78,29,79,76,36,44,42,71,76,78,77,12,12,13,14,12,11400000,2,0,1,0,0,0
1256,215590,Ayoze Pérez,24,https://cdn.sofifa.org/players/4/19/215590.png,Spain,https://cdn.sofifa.org/flags/45.png,76,81,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,10500000,42000,1911,Right,1,4,4,High/ High,Lean,Yes,CF,17,2014-06-06,,2021,177,159,75,75,75,76,77,77,77,76,76,76,76,74,70,70,70,74,59,58,58,58,59,57,53,53,53,57,48,78,66,71,77,82,79,60,51,78,77,75,83,76,78,66,71,77,53,64,70,35,80,71,73,73,45,42,28,12,12,11,14,8,20700000,4,0,0,0,1,0
1295,180283,Ki Sung Yueng,29,https://cdn.sofifa.org/players/4/19/180283.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,76,76,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,7500000,46000,2010,Right,2,4,4,Medium/ High,Lean,Yes,LCM,4,2018-07-01,,2020,187,165,73,73,73,74,75,75,75,74,76,76,76,75,77,77,77,75,70,72,72,72,70,69,69,69,69,69,73,69,71,84,55,74,76,77,79,80,60,61,67,66,59,82,68,69,70,71,68,54,72,79,76,81,60,70,71,14,9,7,9,10,14300000,3,0,0,1,0,0
1339,215639,Kenedy,22,https://cdn.sofifa.org/players/4/19/215639.png,Brazil,https://cdn.sofifa.org/flags/54.png,76,84,Newcastle United,https://cdn.sofifa.org/teams/2/light/13.png,11500000,71000,1966,Left,1,2,4,High/ High,Lean,Yes,LM,15,,Chelsea,"Jun 30, 2019",182,170,74,74,74,77,76,76,76,77,76,76,76,77,73,73,73,77,70,66,66,66,70,68,62,62,62,68,77,65,66,72,55,83,77,54,66,78,79,80,83,74,68,75,68,72,67,66,42,56,74,72,67,76,57,57,52,11,15,11,15,12,0,3,0,0,1,0,0
