Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
467,202849,J. Vestergaard,25,https://cdn.sofifa.org/players/4/19/202849.png,Denmark,https://cdn.sofifa.org/flags/13.png,80,81,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,14500000.0,51000.0,1700,Right,2.0,4.0,2.0,Medium/ Medium,Normal,No,CB,3.0,"Jul 13, 2018",,2022,198,216,59,59,59,50,55,55,55,50,55,55,55,54,65,65,65,54,66,76,76,76,66,69,80,80,80,69,46.0,34.0,87.0,67.0,28.0,44.0,41.0,52.0,80.0,54.0,35.0,38.0,29.0,78.0,28.0,83.0,33.0,54.0,94.0,47.0,84.0,83.0,46.0,60.0,75.0,77.0,77.0,83.0,77.0,16.0,11.0,11.0,15.0,10.0,28600000.0,2,0,1,0,0,0,1
623,203362,M. Elyounoussi,23,https://cdn.sofifa.org/players/4/19/203362.png,Norway,https://cdn.sofifa.org/flags/36.png,79,85,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,17500000.0,48000.0,1972,Right,1.0,4.0,4.0,High/ Medium,Normal,No,LM,13.0,"Jun 29, 2018",,2023,177,154,75,75,75,78,77,77,77,78,78,78,78,79,74,74,74,79,65,61,61,61,65,62,52,52,52,62,75.0,72.0,64.0,82.0,74.0,80.0,73.0,64.0,75.0,78.0,87.0,78.0,84.0,72.0,82.0,76.0,81.0,88.0,62.0,70.0,49.0,36.0,71.0,73.0,64.0,72.0,40.0,31.0,44.0,12.0,7.0,8.0,7.0,13.0,36800000.0,3,0,0,1,0,0,1
706,169705,R. Bertrand,28,https://cdn.sofifa.org/players/4/19/169705.png,England,https://cdn.sofifa.org/flags/14.png,79,79,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,10000000.0,53000.0,2004,Left,2.0,3.0,3.0,High/ Medium,Normal,Yes,LB,21.0,"Feb 2, 2015",,2021,177,187,67,67,67,72,70,70,70,72,70,70,70,74,72,72,72,74,80,77,77,77,80,79,77,77,77,79,82.0,50.0,68.0,76.0,43.0,77.0,74.0,66.0,70.0,78.0,78.0,76.0,73.0,76.0,69.0,59.0,70.0,78.0,70.0,54.0,73.0,77.0,63.0,51.0,52.0,76.0,76.0,81.0,80.0,11.0,13.0,15.0,10.0,15.0,19000000.0,2,0,1,0,0,1,1
793,212811,M. Lemina,24,https://cdn.sofifa.org/players/4/19/212811.png,Gabon,https://cdn.sofifa.org/flags/115.png,78,83,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,13500000.0,44000.0,2072,Right,2.0,3.0,3.0,Medium/ Medium,Normal,Yes,LCM,18.0,"Aug 8, 2017",,2022,182,187,73,73,73,76,76,76,76,76,77,77,77,77,78,78,78,77,76,76,76,76,76,75,73,73,73,75,72.0,55.0,68.0,82.0,68.0,81.0,72.0,68.0,77.0,82.0,76.0,77.0,71.0,73.0,74.0,83.0,46.0,75.0,73.0,78.0,70.0,72.0,68.0,74.0,68.0,70.0,70.0,73.0,66.0,12.0,9.0,15.0,8.0,16.0,26700000.0,3,0,0,1,0,0,1
846,199576,Oriol Romeu,26,https://cdn.sofifa.org/players/4/19/199576.png,Spain,https://cdn.sofifa.org/flags/45.png,78,80,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,10500000.0,46000.0,1787,Right,2.0,3.0,2.0,Medium/ High,Normal,Yes,CDM,14.0,"Aug 12, 2015",,2021,182,183,57,57,57,57,60,60,60,57,63,63,63,61,70,70,70,61,70,78,78,78,70,71,78,78,78,71,37.0,25.0,67.0,80.0,35.0,59.0,49.0,53.0,71.0,72.0,53.0,48.0,54.0,72.0,59.0,60.0,65.0,75.0,82.0,43.0,88.0,80.0,48.0,65.0,54.0,72.0,77.0,79.0,74.0,12.0,14.0,10.0,11.0,16.0,20700000.0,3,0,0,1,0,0,1
894,205569,J. Ward-Prowse,23,https://cdn.sofifa.org/players/4/19/205569.png,England,https://cdn.sofifa.org/flags/14.png,77,82,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,12000000.0,41000.0,2056,Right,2.0,3.0,3.0,Medium/ Medium,Normal,Yes,RM,16.0,"Jun 1, 2011",,2022,172,146,69,69,69,75,74,74,74,75,77,77,77,77,79,79,79,77,74,74,74,74,74,71,66,66,66,71,89.0,61.0,57.0,84.0,51.0,73.0,88.0,83.0,82.0,82.0,66.0,57.0,75.0,74.0,77.0,74.0,66.0,78.0,57.0,70.0,67.0,65.0,65.0,82.0,80.0,79.0,62.0,65.0,62.0,12.0,12.0,10.0,15.0,15.0,23700000.0,3,0,0,1,0,1,1
925,198683,M. Gabbiadini,26,https://cdn.sofifa.org/players/4/19/198683.png,Italy,https://cdn.sofifa.org/flags/27.png,77,78,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,10500000.0,51000.0,1845,Left,2.0,3.0,3.0,High/ Low,Normal,Yes,ST,20.0,"Jan 31, 2017",,2021,180,159,77,77,77,76,77,77,77,76,76,76,76,75,69,69,69,75,53,52,52,52,53,50,45,45,45,50,70.0,79.0,66.0,72.0,72.0,77.0,78.0,77.0,64.0,79.0,67.0,70.0,70.0,74.0,56.0,82.0,74.0,63.0,71.0,77.0,57.0,18.0,79.0,72.0,72.0,71.0,21.0,24.0,20.0,12.0,11.0,11.0,5.0,5.0,20700000.0,4,0,0,0,1,0,1
1001,195671,C. Austin,28,https://cdn.sofifa.org/players/4/19/195671.png,England,https://cdn.sofifa.org/flags/14.png,77,77,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,9000000.0,53000.0,1789,Right,1.0,2.0,2.0,High/ Medium,Normal,Yes,LS,10.0,"Jan 16, 2016",,2020,187,185,77,77,77,70,73,73,73,70,69,69,69,67,64,64,64,67,53,54,54,54,53,51,53,53,53,51,56.0,79.0,81.0,62.0,72.0,66.0,59.0,43.0,46.0,73.0,62.0,58.0,62.0,78.0,55.0,83.0,81.0,55.0,78.0,71.0,67.0,47.0,83.0,61.0,83.0,78.0,20.0,37.0,22.0,9.0,11.0,7.0,9.0,13.0,17100000.0,4,0,0,0,1,1,1
1058,189324,A. McCarthy,28,https://cdn.sofifa.org/players/4/19/189324.png,England,https://cdn.sofifa.org/flags/14.png,77,78,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,7000000.0,37000.0,1230,Right,1.0,2.0,1.0,Medium/ Medium,Lean,Yes,GK,1.0,"Aug 2, 2016",,2019,193,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,17.0,16.0,33.0,12.0,17.0,15.0,18.0,35.0,17.0,58.0,56.0,35.0,69.0,43.0,20.0,68.0,35.0,63.0,14.0,35.0,22.0,16.0,50.0,41.0,61.0,13.0,13.0,12.0,78.0,76.0,64.0,77.0,81.0,13800000.0,1,1,0,0,0,1,1
1083,201118,Cédric,26,https://cdn.sofifa.org/players/4/19/201118.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,78,Southampton,https://cdn.sofifa.org/teams/2/light/17.png,8500000.0,43000.0,2074,Right,2.0,4.0,3.0,High/ Medium,Normal,Yes,RB,21.0,"Jun 18, 2015",,2020,172,148,72,72,72,74,74,74,74,74,74,74,74,75,75,75,75,75,77,76,76,76,77,77,74,74,74,77,70.0,57.0,65.0,75.0,68.0,75.0,66.0,64.0,69.0,76.0,79.0,78.0,74.0,76.0,83.0,76.0,72.0,86.0,62.0,74.0,75.0,74.0,71.0,65.0,60.0,69.0,68.0,80.0,76.0,11.0,14.0,12.0,12.0,11.0,16800000.0,2,0,1,0,0,0,1
