Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
16,202126,H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,England,https://cdn.sofifa.org/flags/14.png,89,91,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,83500000.0,205000.0,2165,Right,3.0,4.0,3.0,High/ High,Normal,Yes,ST,9.0,"Jul 1, 2010",,2024,187,196,89,89,89,85,87,87,87,85,85,85,85,84,82,82,82,84,68,69,69,69,68,65,63,63,63,65,75.0,94.0,85.0,80.0,84.0,80.0,78.0,68.0,82.0,84.0,68.0,72.0,71.0,91.0,71.0,88.0,78.0,89.0,84.0,85.0,76.0,35.0,93.0,80.0,90.0,89.0,56.0,36.0,38.0,8.0,10.0,11.0,14.0,11.0,160700000.0,4,0,0,0,1,1,1
31,190460,C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,88,91,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,73500000.0,205000.0,2117,Right,3.0,5.0,4.0,High/ Medium,Lean,Yes,CAM,10.0,"Aug 30, 2013",,2020,180,168,82,82,82,87,87,87,87,87,89,89,89,88,88,88,88,88,74,74,74,74,74,69,60,60,60,69,88.0,80.0,52.0,91.0,77.0,84.0,86.0,87.0,88.0,91.0,75.0,73.0,79.0,88.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,83.0,91.0,67.0,88.0,59.0,57.0,22.0,9.0,14.0,7.0,7.0,6.0,141500000.0,3,0,0,1,0,0,1
37,167948,H. Lloris,31,https://cdn.sofifa.org/players/4/19/167948.png,France,https://cdn.sofifa.org/flags/18.png,88,88,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,36000000.0,150000.0,1335,Left,4.0,1.0,1.0,Medium/ Medium,Lean,Yes,GK,1.0,"Aug 1, 2012",,2022,187,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,10.0,10.0,50.0,11.0,10.0,11.0,10.0,50.0,34.0,65.0,62.0,55.0,85.0,54.0,23.0,74.0,41.0,43.0,14.0,31.0,27.0,10.0,30.0,40.0,65.0,29.0,10.0,18.0,88.0,84.0,68.0,83.0,92.0,66599999.99999999,1,1,0,0,0,0,1
51,172871,J. Vertonghen,31,https://cdn.sofifa.org/players/4/19/172871.png,Belgium,https://cdn.sofifa.org/flags/7.png,87,87,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,34000000.0,155000.0,2079,Left,3.0,3.0,3.0,High/ High,Normal,Yes,LCB,5.0,"Jul 1, 2012",,2019,187,190,72,72,72,71,72,72,72,71,73,73,73,73,77,77,77,73,82,84,84,84,82,83,87,87,87,83,68.0,56.0,80.0,79.0,52.0,71.0,58.0,73.0,74.0,76.0,61.0,65.0,61.0,84.0,60.0,80.0,85.0,75.0,79.0,66.0,84.0,89.0,60.0,68.0,66.0,83.0,90.0,87.0,88.0,6.0,10.0,9.0,12.0,7.0,62900000.0,2,0,1,0,0,0,1
71,184087,T. Alderweireld,29,https://cdn.sofifa.org/players/4/19/184087.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,87,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,39000000.0,150000.0,2047,Right,3.0,3.0,2.0,Medium/ Medium,Normal,Yes,RCB,2.0,"Jul 8, 2015",,2020,185,179,69,69,69,68,69,69,69,68,71,71,71,71,78,78,78,71,81,85,85,85,81,82,87,87,87,82,64.0,45.0,82.0,79.0,38.0,62.0,63.0,69.0,85.0,74.0,61.0,66.0,60.0,86.0,50.0,78.0,84.0,74.0,79.0,65.0,80.0,87.0,58.0,67.0,58.0,81.0,90.0,91.0,86.0,16.0,6.0,14.0,16.0,14.0,75100000.0,2,0,1,0,0,0,1
110,220793,D. Sánchez,22,https://cdn.sofifa.org/players/4/19/220793.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,88,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,34000000.0,105000.0,1809,Right,2.0,3.0,2.0,Medium/ High,Normal,Yes,RCB,23.0,"Aug 26, 2017",,2024,187,174,63,63,63,61,62,62,62,61,63,63,63,64,68,68,68,64,76,80,80,80,76,78,84,84,84,78,36.0,40.0,80.0,77.0,28.0,63.0,30.0,27.0,67.0,73.0,72.0,79.0,60.0,80.0,55.0,66.0,73.0,76.0,83.0,44.0,87.0,82.0,34.0,49.0,44.0,75.0,84.0,85.0,88.0,9.0,7.0,10.0,6.0,15.0,65500000.0,2,0,1,0,0,0,1
117,211117,D. Alli,22,https://cdn.sofifa.org/players/4/19/211117.png,England,https://cdn.sofifa.org/flags/14.png,84,90,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,42500000.0,115000.0,2189,Right,3.0,3.0,4.0,High/ High,Lean,Yes,LCM,20.0,"Feb 2, 2015",,2024,187,176,84,84,84,84,85,85,85,84,86,86,86,84,86,86,86,84,79,81,81,81,79,78,76,76,76,78,69.0,83.0,77.0,85.0,79.0,83.0,75.0,68.0,80.0,85.0,73.0,76.0,76.0,85.0,62.0,78.0,67.0,90.0,71.0,80.0,84.0,74.0,86.0,85.0,74.0,86.0,70.0,70.0,63.0,7.0,6.0,9.0,11.0,8.0,87100000.0,3,0,0,1,0,1,1
125,200104,H. Son,25,https://cdn.sofifa.org/players/4/19/200104.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,84,85,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,37000000.0,125000.0,2079,Right,3.0,5.0,4.0,High/ High,Lean,Yes,LM,7.0,"Aug 28, 2015",,2023,182,143,85,85,85,87,87,87,87,87,86,86,86,85,79,79,79,85,68,64,64,64,68,64,56,56,56,64,78.0,85.0,65.0,79.0,79.0,88.0,81.0,70.0,64.0,85.0,88.0,87.0,82.0,84.0,76.0,86.0,63.0,85.0,63.0,88.0,60.0,39.0,85.0,80.0,71.0,82.0,48.0,34.0,33.0,11.0,13.0,13.0,6.0,10.0,71200000.0,3,0,0,1,0,0,1
186,200949,Lucas Moura,25,https://cdn.sofifa.org/players/4/19/200949.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,84,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,31000000.0,115000.0,2075,Right,3.0,3.0,4.0,High/ Medium,Normal,Yes,RM,27.0,"Jan 31, 2018",,2023,175,154,79,79,79,84,83,83,83,84,83,83,83,83,77,77,77,83,69,65,65,65,69,66,57,57,57,66,75.0,78.0,50.0,77.0,70.0,88.0,69.0,74.0,74.0,81.0,94.0,90.0,94.0,76.0,90.0,79.0,77.0,75.0,59.0,76.0,72.0,50.0,80.0,74.0,74.0,80.0,31.0,43.0,51.0,9.0,10.0,14.0,7.0,14.0,59700000.0,3,0,0,1,0,0,1
220,162240,M. Dembélé,30,https://cdn.sofifa.org/players/4/19/162240.png,Belgium,https://cdn.sofifa.org/flags/7.png,83,83,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,24000000.0,120000.0,2177,Left,3.0,2.0,4.0,Medium/ Medium,Normal,Yes,CM,19.0,"Aug 1, 2012",,2019,185,181,79,79,79,81,82,82,82,81,83,83,83,81,84,84,84,81,80,84,84,84,80,79,82,82,82,79,65.0,66.0,70.0,86.0,73.0,89.0,65.0,55.0,80.0,89.0,72.0,72.0,79.0,83.0,76.0,81.0,75.0,70.0,89.0,70.0,79.0,82.0,70.0,80.0,63.0,90.0,75.0,82.0,70.0,16.0,14.0,11.0,16.0,14.0,44400000.0,3,0,0,1,0,0,1
