Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
16,202126,H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,England,https://cdn.sofifa.org/flags/14.png,89,91,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,83500000,205000,2165,Right,3,4,3,High/ High,Normal,Yes,ST,9,2010-07-01,,2024,187,196,89,89,89,85,87,87,87,85,85,85,85,84,82,82,82,84,68,69,69,69,68,65,63,63,63,65,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11,160700000,4,0,0,0,1,0
31,190460,C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,88,91,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,73500000,205000,2117,Right,3,5,4,High/ Medium,Lean,Yes,CAM,10,2013-08-30,,2020,180,168,82,82,82,87,87,87,87,87,89,89,89,88,88,88,88,88,74,74,74,74,74,69,60,60,60,69,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,141500000,3,0,0,1,0,0
37,167948,H. Lloris,31,https://cdn.sofifa.org/players/4/19/167948.png,France,https://cdn.sofifa.org/flags/18.png,88,88,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,36000000,150000,1335,Left,4,1,1,Medium/ Medium,Lean,Yes,GK,1,2012-08-01,,2022,187,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92,66600000,1,1,0,0,0,0
51,172871,J. Vertonghen,31,https://cdn.sofifa.org/players/4/19/172871.png,Belgium,https://cdn.sofifa.org/flags/7.png,87,87,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,34000000,155000,2079,Left,3,3,3,High/ High,Normal,Yes,LCB,5,2012-07-01,,2019,187,190,72,72,72,71,72,72,72,71,73,73,73,73,77,77,77,73,82,84,84,84,82,83,87,87,87,83,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7,62900000,2,0,1,0,0,0
71,184087,T. Alderweireld,29,https://cdn.sofifa.org/players/4/19/184087.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,87,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,39000000,150000,2047,Right,3,3,2,Medium/ Medium,Normal,Yes,RCB,2,2015-07-08,,2020,185,179,69,69,69,68,69,69,69,68,71,71,71,71,78,78,78,71,81,85,85,85,81,82,87,87,87,82,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14,75100000,2,0,1,0,0,0
110,220793,D. Sánchez,22,https://cdn.sofifa.org/players/4/19/220793.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,88,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,34000000,105000,1809,Right,2,3,2,Medium/ High,Normal,Yes,RCB,23,2017-08-26,,2024,187,174,63,63,63,61,62,62,62,61,63,63,63,64,68,68,68,64,76,80,80,80,76,78,84,84,84,78,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88,9,7,10,6,15,65500000,2,0,1,0,0,0
117,211117,D. Alli,22,https://cdn.sofifa.org/players/4/19/211117.png,England,https://cdn.sofifa.org/flags/14.png,84,90,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,42500000,115000,2189,Right,3,3,4,High/ High,Lean,Yes,LCM,20,2015-02-02,,2024,187,176,84,84,84,84,85,85,85,84,86,86,86,84,86,86,86,84,79,81,81,81,79,78,76,76,76,78,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,74,86,70,70,63,7,6,9,11,8,87100000,3,0,0,1,0,0
125,200104,H. Son,25,https://cdn.sofifa.org/players/4/19/200104.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,84,85,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,37000000,125000,2079,Right,3,5,4,High/ High,Lean,Yes,LM,7,2015-08-28,,2023,182,143,85,85,85,87,87,87,87,87,86,86,86,85,79,79,79,85,68,64,64,64,68,64,56,56,56,64,78,85,65,79,79,88,81,70,64,85,88,87,82,84,76,86,63,85,63,88,60,39,85,80,71,82,48,34,33,11,13,13,6,10,71200000,3,0,0,1,0,0
186,200949,Lucas Moura,25,https://cdn.sofifa.org/players/4/19/200949.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,84,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,31000000,115000,2075,Right,3,3,4,High/ Medium,Normal,Yes,RM,27,2018-01-31,,2023,175,154,79,79,79,84,83,83,83,84,83,83,83,83,77,77,77,83,69,65,65,65,69,66,57,57,57,66,75,78,50,77,70,88,69,74,74,81,94,90,94,76,90,79,77,75,59,76,72,50,80,74,74,80,31,43,51,9,10,14,7,14,59700000,3,0,0,1,0,0
220,162240,M. Dembélé,30,https://cdn.sofifa.org/players/4/19/162240.png,Belgium,https://cdn.sofifa.org/flags/7.png,83,83,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,24000000,120000,2177,Left,3,2,4,Medium/ Medium,Normal,Yes,CM,19,2012-08-01,,2019,185,181,79,79,79,81,82,82,82,81,83,83,83,81,84,84,84,81,80,84,84,84,80,79,82,82,82,79,65,66,70,86,73,89,65,55,80,89,72,72,79,83,76,81,75,70,89,70,79,82,70,80,63,90,75,82,70,16,14,11,16,14,44400000,3,0,0,1,0,0
