Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
344,208135,A. Doucouré,25,https://cdn.sofifa.org/players/4/19/208135.png,France,https://cdn.sofifa.org/flags/18.png,81,85,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,19500000.0,60000.0,2081,Right,2.0,3.0,3.0,High/ Medium,Lean,Yes,RDM,16.0,"Feb 2, 2016",,2023,182,168,76,76,76,76,77,77,77,76,77,77,77,77,80,80,80,77,80,82,82,82,80,79,80,80,80,79,68.0,73.0,66.0,82.0,68.0,78.0,41.0,42.0,74.0,80.0,63.0,70.0,60.0,74.0,69.0,84.0,72.0,93.0,81.0,75.0,78.0,82.0,73.0,76.0,54.0,74.0,79.0,83.0,75.0,15.0,12.0,12.0,15.0,14.0,38500000.0,3,0,0,1,0,0,1
469,202477,Deulofeu,24,https://cdn.sofifa.org/players/4/19/202477.png,Spain,https://cdn.sofifa.org/flags/45.png,80,82,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,18500000.0,56000.0,1926,Right,3.0,4.0,4.0,High/ Low,Normal,Yes,RS,7.0,"Jun 11, 2018",,2023,177,161,75,75,75,83,81,81,81,83,82,82,82,82,73,73,73,82,62,56,56,56,62,57,45,45,45,57,75.0,69.0,40.0,78.0,68.0,88.0,84.0,77.0,62.0,86.0,89.0,88.0,94.0,74.0,77.0,72.0,70.0,70.0,54.0,66.0,40.0,25.0,77.0,76.0,77.0,76.0,34.0,30.0,22.0,12.0,16.0,14.0,11.0,11.0,36500000.0,4,0,0,0,1,0,1
491,193061,R. Pereyra,27,https://cdn.sofifa.org/players/4/19/193061.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,80,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,15500000.0,65000.0,2052,Right,2.0,4.0,4.0,High/ Medium,Lean,Yes,LM,7.0,"Aug 19, 2016",,2021,182,170,75,75,75,80,79,79,79,80,81,81,81,81,79,79,79,81,75,73,73,73,75,73,67,67,67,73,78.0,74.0,60.0,82.0,73.0,84.0,78.0,72.0,75.0,84.0,75.0,76.0,75.0,74.0,73.0,68.0,65.0,77.0,63.0,74.0,66.0,70.0,76.0,80.0,72.0,78.0,50.0,64.0,70.0,4.0,5.0,3.0,4.0,8.0,29500000.0,3,0,0,1,0,0,1
875,182744,J. Holebas,34,https://cdn.sofifa.org/players/4/19/182744.png,Greece,https://cdn.sofifa.org/flags/22.png,78,78,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,2900000.0,51000.0,2092,Left,2.0,2.0,3.0,High/ Medium,Lean,Yes,LB,25.0,"Jul 2, 2015",,2020,185,179,72,72,72,73,72,72,72,73,72,72,72,74,74,74,74,74,78,77,77,77,78,78,78,78,78,78,83.0,57.0,74.0,76.0,50.0,73.0,69.0,71.0,69.0,77.0,74.0,76.0,71.0,74.0,73.0,82.0,73.0,79.0,73.0,72.0,89.0,71.0,62.0,64.0,57.0,72.0,75.0,80.0,77.0,15.0,13.0,13.0,14.0,16.0,5600000.0,2,0,1,0,0,0,1
926,135451,Gomes,37,https://cdn.sofifa.org/players/4/19/135451.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,600000.0,25000.0,1249,Right,2.0,2.0,1.0,Medium/ Medium,Lean,Yes,GK,1.0,"May 24, 2014",,2019,190,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,14.0,23.0,13.0,15.0,12.0,13.0,19.0,25.0,50.0,52.0,56.0,71.0,53.0,30.0,76.0,27.0,64.0,14.0,40.0,20.0,12.0,59.0,41.0,59.0,19.0,14.0,15.0,80.0,72.0,60.0,77.0,83.0,1100000.0,1,1,0,0,0,0,1
1105,206516,W. Hughes,23,https://cdn.sofifa.org/players/4/19/206516.png,England,https://cdn.sofifa.org/flags/14.png,77,84,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,12500000.0,45000.0,1949,Left,1.0,3.0,4.0,Medium/ Medium,Lean,Yes,RM,19.0,"Jun 24, 2017",,2022,185,163,70,70,70,75,75,75,75,75,77,77,77,76,78,78,78,76,73,74,74,74,73,72,69,69,69,72,69.0,67.0,58.0,79.0,48.0,78.0,60.0,60.0,73.0,80.0,67.0,59.0,71.0,77.0,75.0,60.0,51.0,74.0,59.0,62.0,70.0,65.0,72.0,84.0,66.0,78.0,69.0,72.0,69.0,7.0,15.0,12.0,9.0,12.0,26300000.0,3,0,0,1,0,1,1
1188,188155,D. Janmaat,28,https://cdn.sofifa.org/players/4/19/188155.png,Netherlands,https://cdn.sofifa.org/flags/34.png,77,77,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,7000000.0,50000.0,2037,Right,2.0,3.0,3.0,High/ Medium,Normal,Yes,RB,2.0,"Aug 24, 2016",,2020,185,176,72,72,72,74,74,74,74,74,74,74,74,76,76,76,76,76,78,77,77,77,78,77,76,76,76,77,79.0,60.0,71.0,75.0,67.0,77.0,64.0,56.0,68.0,79.0,68.0,69.0,68.0,79.0,63.0,76.0,69.0,86.0,70.0,66.0,79.0,75.0,68.0,70.0,62.0,66.0,74.0,75.0,74.0,15.0,10.0,7.0,11.0,7.0,13300000.0,2,0,1,0,0,0,1
1241,189725,T. Cleverley,28,https://cdn.sofifa.org/players/4/19/189725.png,England,https://cdn.sofifa.org/flags/14.png,76,76,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,7500000.0,51000.0,1967,Right,2.0,3.0,3.0,High/ Medium,Normal,Yes,CM,8.0,"Jul 1, 2017",,2022,175,148,70,70,70,74,74,74,74,74,75,75,75,75,76,76,76,75,71,71,71,71,71,68,64,64,64,68,74.0,64.0,48.0,77.0,68.0,74.0,59.0,62.0,76.0,74.0,63.0,69.0,69.0,77.0,75.0,74.0,61.0,77.0,53.0,75.0,71.0,65.0,74.0,77.0,72.0,67.0,56.0,71.0,52.0,15.0,11.0,9.0,12.0,13.0,14300000.0,3,0,0,1,0,1,1
1314,205897,N. Chalobah,23,https://cdn.sofifa.org/players/4/19/205897.png,England,https://cdn.sofifa.org/flags/14.png,76,81,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,8500000.0,38000.0,1934,Right,1.0,3.0,3.0,Medium/ Medium,Lean,Yes,CDM,14.0,"Jul 13, 2017",,2022,185,168,69,69,69,70,71,71,71,70,73,73,73,71,76,76,76,71,72,76,76,76,72,73,75,75,75,73,58.0,55.0,71.0,78.0,53.0,74.0,51.0,38.0,79.0,78.0,62.0,69.0,71.0,70.0,65.0,75.0,70.0,69.0,75.0,67.0,74.0,72.0,62.0,76.0,49.0,68.0,70.0,77.0,74.0,12.0,9.0,15.0,8.0,8.0,16800000.0,3,0,0,1,0,1,1
1347,194138,A. Gray,27,https://cdn.sofifa.org/players/4/19/194138.png,England,https://cdn.sofifa.org/flags/14.png,76,77,Watford,https://cdn.sofifa.org/teams/2/light/1795.png,9000000.0,53000.0,1851,Right,1.0,3.0,3.0,High/ Medium,Normal,Yes,ST,18.0,"Aug 9, 2017",,2022,180,172,76,76,76,75,76,76,76,75,73,73,73,73,66,66,66,73,56,53,53,53,56,53,48,48,48,53,61.0,75.0,65.0,67.0,69.0,72.0,57.0,44.0,54.0,72.0,87.0,87.0,75.0,75.0,74.0,80.0,72.0,72.0,75.0,65.0,70.0,33.0,78.0,67.0,74.0,71.0,27.0,23.0,20.0,11.0,16.0,11.0,9.0,14.0,17800000.0,4,0,0,0,1,1,1
