Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
185,201995,Felipe Anderson,25,https://cdn.sofifa.org/players/4/19/201995.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,85,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,31500000.0,110000.0,2042,Right,3.0,4.0,4.0,High/ Medium,Normal,No,LM,8.0,"Jul 15, 2018",,2022,175,154,77,77,77,85,83,83,83,85,84,84,84,84,80,80,80,84,75,72,72,72,75,72,62,62,62,72,79.0,71.0,44.0,80.0,68.0,90.0,71.0,69.0,74.0,88.0,93.0,89.0,89.0,74.0,88.0,83.0,38.0,72.0,53.0,84.0,67.0,69.0,73.0,79.0,53.0,82.0,47.0,60.0,54.0,12.0,10.0,9.0,5.0,7.0,62200000.0,3,0,0,1,0,0,1
294,184200,M. Arnautović,29,https://cdn.sofifa.org/players/4/19/184200.png,Austria,https://cdn.sofifa.org/flags/4.png,82,82,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,22000000.0,120000.0,2106,Right,3.0,4.0,4.0,High/ Medium,Normal,Yes,LS,7.0,"Jul 23, 2017",,2022,193,183,83,83,83,83,83,83,83,83,82,82,82,83,78,78,78,83,69,68,68,68,69,66,63,63,63,66,80.0,78.0,74.0,78.0,79.0,84.0,79.0,72.0,74.0,85.0,79.0,83.0,70.0,78.0,66.0,84.0,67.0,78.0,84.0,75.0,84.0,44.0,83.0,77.0,77.0,81.0,43.0,48.0,39.0,14.0,15.0,10.0,10.0,15.0,41800000.0,4,0,0,0,1,0,1
380,188988,M. Lanzini,25,https://cdn.sofifa.org/players/4/19/188988.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,85,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,23000000.0,90000.0,1931,Right,2.0,3.0,4.0,Medium/ Medium,Lean,Yes,CAM,10.0,"Jul 1, 2016",,2020,167,130,74,74,74,81,80,80,80,81,81,81,81,81,76,76,76,81,61,57,57,57,61,56,45,45,45,56,74.0,70.0,56.0,80.0,61.0,87.0,76.0,76.0,78.0,86.0,84.0,78.0,86.0,73.0,89.0,75.0,75.0,73.0,39.0,76.0,48.0,27.0,73.0,79.0,73.0,77.0,27.0,36.0,25.0,14.0,9.0,6.0,7.0,15.0,45400000.0,3,0,0,1,0,0,1
400,164835,L. Fabiański,33,https://cdn.sofifa.org/players/4/19/164835.png,Poland,https://cdn.sofifa.org/flags/37.png,81,81,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,9000000.0,70000.0,1212,Right,2.0,2.0,1.0,Medium/ Medium,Normal,Yes,GK,22.0,"Jun 20, 2018",,2021,190,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,13.0,11.0,20.0,17.0,14.0,18.0,12.0,32.0,22.0,50.0,47.0,52.0,71.0,44.0,14.0,68.0,25.0,65.0,20.0,43.0,16.0,15.0,52.0,22.0,63.0,14.0,12.0,13.0,79.0,83.0,70.0,80.0,84.0,17100000.0,1,1,0,0,0,0,1
422,228229,F. Balbuena,26,https://cdn.sofifa.org/players/4/19/228229.png,Paraguay,https://cdn.sofifa.org/flags/58.png,80,83,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,15500000.0,80000.0,1667,Right,1.0,3.0,2.0,Medium/ Medium,Normal,No,RCB,4.0,"Jul 14, 2018",,2021,187,187,56,56,56,50,53,53,53,50,53,53,53,54,60,60,60,54,69,74,74,74,69,72,80,80,80,72,33.0,31.0,82.0,71.0,24.0,47.0,30.0,34.0,56.0,56.0,56.0,65.0,42.0,77.0,42.0,71.0,73.0,76.0,84.0,34.0,82.0,80.0,27.0,45.0,48.0,74.0,82.0,82.0,76.0,9.0,13.0,15.0,9.0,15.0,30600000.0,2,0,1,0,0,0,1
486,194794,A. Yarmolenko,28,https://cdn.sofifa.org/players/4/19/194794.png,Ukraine,https://cdn.sofifa.org/flags/49.png,80,80,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,15000000.0,92000.0,2022,Left,3.0,2.0,4.0,High/ Medium,Lean,No,RM,20.0,"Jul 11, 2018",,2022,190,183,81,81,81,82,82,82,82,82,82,82,82,81,77,77,77,81,65,65,65,65,65,61,58,58,58,61,80.0,77.0,69.0,78.0,74.0,86.0,83.0,75.0,74.0,83.0,69.0,76.0,73.0,82.0,67.0,83.0,61.0,60.0,76.0,83.0,76.0,54.0,79.0,78.0,85.0,74.0,37.0,35.0,30.0,9.0,5.0,6.0,5.0,14.0,28500000.0,3,0,0,1,0,0,1
671,189461,J. Wilshere,26,https://cdn.sofifa.org/players/4/19/189461.png,England,https://cdn.sofifa.org/flags/14.png,79,81,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,15000000.0,83000.0,2050,Left,3.0,2.0,3.0,Medium/ Medium,Normal,Yes,CM,19.0,"Jul 9, 2018",,2021,172,150,73,73,73,78,78,78,78,78,80,80,80,79,80,80,80,79,73,75,75,75,73,71,68,68,68,71,73.0,62.0,58.0,84.0,64.0,81.0,77.0,71.0,80.0,82.0,68.0,63.0,76.0,76.0,83.0,74.0,66.0,68.0,60.0,72.0,81.0,61.0,77.0,81.0,65.0,80.0,62.0,64.0,65.0,6.0,15.0,15.0,9.0,11.0,29600000.0,3,0,0,1,0,1,1
695,178224,J. Hernández,30,https://cdn.sofifa.org/players/4/19/178224.png,Mexico,https://cdn.sofifa.org/flags/83.png,79,79,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,12000000.0,90000.0,1864,Right,3.0,3.0,3.0,Medium/ Low,Normal,Yes,ST,17.0,"Jul 24, 2017",,2020,175,161,79,79,79,77,79,79,79,77,76,76,76,75,69,69,69,75,56,53,53,53,56,53,48,48,48,53,64.0,84.0,79.0,65.0,74.0,73.0,67.0,52.0,56.0,77.0,77.0,69.0,75.0,82.0,79.0,75.0,83.0,66.0,53.0,66.0,59.0,26.0,86.0,70.0,74.0,79.0,21.0,29.0,25.0,14.0,12.0,9.0,12.0,11.0,22800000.0,4,0,0,0,1,0,1
847,199354,Lucas Pérez,29,https://cdn.sofifa.org/players/4/19/199354.png,Spain,https://cdn.sofifa.org/flags/45.png,78,78,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,10500000.0,85000.0,1970,Left,2.0,4.0,4.0,High/ High,Normal,Yes,ST,27.0,"Aug 9, 2018",,2021,180,161,79,79,79,79,80,80,80,79,80,80,80,79,74,74,74,79,60,58,58,58,60,56,49,49,49,56,74.0,78.0,68.0,75.0,78.0,79.0,82.0,77.0,70.0,80.0,76.0,78.0,70.0,80.0,73.0,82.0,63.0,70.0,69.0,79.0,67.0,38.0,79.0,81.0,79.0,75.0,25.0,24.0,26.0,14.0,8.0,8.0,10.0,10.0,20000000.0,4,0,0,0,1,0,1
946,183855,A. Ogbonna,30,https://cdn.sofifa.org/players/4/19/183855.png,Italy,https://cdn.sofifa.org/flags/27.png,77,77,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,6500000.0,65000.0,1693,Left,2.0,3.0,2.0,Medium/ Medium,Normal,Yes,CB,21.0,"Jul 10, 2015",,2022,190,190,56,56,56,55,55,55,55,55,57,57,57,58,63,63,63,58,70,73,73,73,70,72,78,78,78,72,51.0,25.0,77.0,68.0,30.0,61.0,51.0,36.0,67.0,59.0,59.0,64.0,57.0,70.0,54.0,68.0,74.0,64.0,80.0,46.0,72.0,80.0,33.0,50.0,39.0,69.0,76.0,81.0,80.0,5.0,3.0,5.0,4.0,4.0,12400000.0,2,0,1,0,0,0,1
952,182836,A. Carroll,29,https://cdn.sofifa.org/players/4/19/182836.png,England,https://cdn.sofifa.org/flags/14.png,77,77,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,9000000.0,80000.0,1839,Left,2.0,3.0,2.0,Medium/ High,Normal,Yes,ST,9.0,"Jun 19, 2013",,2019,193,174,77,77,77,69,72,72,72,69,70,70,70,67,67,67,67,67,55,59,59,59,55,55,61,61,61,55,60.0,77.0,91.0,66.0,74.0,67.0,53.0,42.0,57.0,74.0,43.0,50.0,57.0,77.0,47.0,83.0,83.0,50.0,92.0,76.0,88.0,45.0,78.0,65.0,73.0,76.0,26.0,46.0,43.0,14.0,14.0,12.0,10.0,6.0,17100000.0,4,0,0,0,1,1,1
