Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
185,201995,Felipe Anderson,25,https://cdn.sofifa.org/players/4/19/201995.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,85,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,31500000,110000,2042,Right,3,4,4,High/ Medium,Normal,No,LM,8,2018-07-15,,2022,175,154,77,77,77,85,83,83,83,85,84,84,84,84,80,80,80,84,75,72,72,72,75,72,62,62,62,72,79,71,44,80,68,90,71,69,74,88,93,89,89,74,88,83,38,72,53,84,67,69,73,79,53,82,47,60,54,12,10,9,5,7,62200000,3,0,0,1,0,0
294,184200,M. Arnautovi?,29,https://cdn.sofifa.org/players/4/19/184200.png,Austria,https://cdn.sofifa.org/flags/4.png,82,82,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,22000000,120000,2106,Right,3,4,4,High/ Medium,Normal,Yes,LS,7,2017-07-23,,2022,193,183,83,83,83,83,83,83,83,83,82,82,82,83,78,78,78,83,69,68,68,68,69,66,63,63,63,66,80,78,74,78,79,84,79,72,74,85,79,83,70,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15,41800000,4,0,0,0,1,0
380,188988,M. Lanzini,25,https://cdn.sofifa.org/players/4/19/188988.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,85,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,23000000,90000,1931,Right,2,3,4,Medium/ Medium,Lean,Yes,CAM,10,2016-07-01,,2020,167,130,74,74,74,81,80,80,80,81,81,81,81,81,76,76,76,81,61,57,57,57,61,56,45,45,45,56,74,70,56,80,61,87,76,76,78,86,84,78,86,73,89,75,75,73,39,76,48,27,73,79,73,77,27,36,25,14,9,6,7,15,45400000,3,0,0,1,0,0
400,164835,L. Fabia?ski,33,https://cdn.sofifa.org/players/4/19/164835.png,Poland,https://cdn.sofifa.org/flags/37.png,81,81,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,9000000,70000,1212,Right,2,2,1,Medium/ Medium,Normal,Yes,GK,22,2018-06-20,,2021,190,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,11,20,17,14,18,12,32,22,50,47,52,71,44,14,68,25,65,20,43,16,15,52,22,63,14,12,13,79,83,70,80,84,17100000,1,1,0,0,0,0
422,228229,F. Balbuena,26,https://cdn.sofifa.org/players/4/19/228229.png,Paraguay,https://cdn.sofifa.org/flags/58.png,80,83,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,15500000,80000,1667,Right,1,3,2,Medium/ Medium,Normal,No,RCB,4,2018-07-14,,2021,187,187,56,56,56,50,53,53,53,50,53,53,53,54,60,60,60,54,69,74,74,74,69,72,80,80,80,72,33,31,82,71,24,47,30,34,56,56,56,65,42,77,42,71,73,76,84,34,82,80,27,45,48,74,82,82,76,9,13,15,9,15,30600000,2,0,1,0,0,0
486,194794,A. Yarmolenko,28,https://cdn.sofifa.org/players/4/19/194794.png,Ukraine,https://cdn.sofifa.org/flags/49.png,80,80,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,15000000,92000,2022,Left,3,2,4,High/ Medium,Lean,No,RM,20,2018-07-11,,2022,190,183,81,81,81,82,82,82,82,82,82,82,82,81,77,77,77,81,65,65,65,65,65,61,58,58,58,61,80,77,69,78,74,86,83,75,74,83,69,76,73,82,67,83,61,60,76,83,76,54,79,78,85,74,37,35,30,9,5,6,5,14,28500000,3,0,0,1,0,0
671,189461,J. Wilshere,26,https://cdn.sofifa.org/players/4/19/189461.png,England,https://cdn.sofifa.org/flags/14.png,79,81,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,15000000,83000,2050,Left,3,2,3,Medium/ Medium,Normal,Yes,CM,19,2018-07-09,,2021,172,150,73,73,73,78,78,78,78,78,80,80,80,79,80,80,80,79,73,75,75,75,73,71,68,68,68,71,73,62,58,84,64,81,77,71,80,82,68,63,76,76,83,74,66,68,60,72,81,61,77,81,65,80,62,64,65,6,15,15,9,11,29600000,3,0,0,1,0,0
695,178224,J. Hernández,30,https://cdn.sofifa.org/players/4/19/178224.png,Mexico,https://cdn.sofifa.org/flags/83.png,79,79,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,12000000,90000,1864,Right,3,3,3,Medium/ Low,Normal,Yes,ST,17,2017-07-24,,2020,175,161,79,79,79,77,79,79,79,77,76,76,76,75,69,69,69,75,56,53,53,53,56,53,48,48,48,53,64,84,79,65,74,73,67,52,56,77,77,69,75,82,79,75,83,66,53,66,59,26,86,70,74,79,21,29,25,14,12,9,12,11,22800000,4,0,0,0,1,0
847,199354,Lucas Pérez,29,https://cdn.sofifa.org/players/4/19/199354.png,Spain,https://cdn.sofifa.org/flags/45.png,78,78,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,10500000,85000,1970,Left,2,4,4,High/ High,Normal,Yes,ST,27,2018-08-09,,2021,180,161,79,79,79,79,80,80,80,79,80,80,80,79,74,74,74,79,60,58,58,58,60,56,49,49,49,56,74,78,68,75,78,79,82,77,70,80,76,78,70,80,73,82,63,70,69,79,67,38,79,81,79,75,25,24,26,14,8,8,10,10,20000000,4,0,0,0,1,0
946,183855,A. Ogbonna,30,https://cdn.sofifa.org/players/4/19/183855.png,Italy,https://cdn.sofifa.org/flags/27.png,77,77,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,6500000,65000,1693,Left,2,3,2,Medium/ Medium,Normal,Yes,CB,21,2015-07-10,,2022,190,190,56,56,56,55,55,55,55,55,57,57,57,58,63,63,63,58,70,73,73,73,70,72,78,78,78,72,51,25,77,68,30,61,51,36,67,59,59,64,57,70,54,68,74,64,80,46,72,80,33,50,39,69,76,81,80,5,3,5,4,4,12400000,2,0,1,0,0,0
