Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
213,178005,Rui Patrício,30,https://cdn.sofifa.org/players/4/19/178005.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,16500000.0,74000.0,1352,Left,3.0,2.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jun 18, 2018",,2022,190,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,12.0,11.0,31.0,17.0,20.0,10.0,16.0,30.0,23.0,53.0,57.0,61.0,80.0,54.0,38.0,79.0,45.0,77.0,11.0,39.0,22.0,13.0,64.0,32.0,66.0,14.0,13.0,11.0,85.0,81.0,80.0,79.0,82.0,31400000.0,1,1,0,0,0,0,1
401,162347,João Moutinho,31,https://cdn.sofifa.org/players/4/19/162347.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,81,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,15000000.0,85000.0,2164,Right,3.0,4.0,3.0,High/ Medium,Normal,Yes,RCM,28.0,"Jul 24, 2018",,2020,170,134,77,77,77,79,79,79,79,79,81,81,81,79,82,82,82,79,76,78,78,78,76,75,74,74,74,75,77.0,74.0,70.0,83.0,76.0,79.0,82.0,79.0,81.0,82.0,66.0,59.0,76.0,75.0,84.0,76.0,77.0,78.0,63.0,80.0,74.0,72.0,74.0,80.0,70.0,86.0,68.0,72.0,68.0,13.0,15.0,15.0,13.0,13.0,28500000.0,3,0,0,1,0,0,1
429,224293,Rúben Neves,21,https://cdn.sofifa.org/players/4/19/224293.png,Portugal,https://cdn.sofifa.org/flags/38.png,80,87,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,20500000.0,59000.0,2098,Right,2.0,3.0,3.0,Medium/ Medium,Normal,Yes,LCM,5.0,"Jul 8, 2017",,2023,180,176,71,71,71,74,74,74,74,74,77,77,77,76,80,80,80,76,76,79,79,79,76,74,73,73,73,74,75.0,61.0,51.0,84.0,74.0,73.0,79.0,83.0,85.0,80.0,64.0,64.0,65.0,77.0,70.0,83.0,68.0,78.0,70.0,83.0,82.0,75.0,61.0,83.0,62.0,83.0,69.0,74.0,69.0,16.0,12.0,10.0,8.0,10.0,43100000.0,3,0,0,1,0,0,1
601,210455,Jonny,24,https://cdn.sofifa.org/players/4/19/210455.png,Spain,https://cdn.sofifa.org/flags/45.png,79,83,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,13500000.0,43000.0,1928,Right,2.0,3.0,3.0,High/ High,Normal,Yes,LWB,19.0,,Atlético Madrid,"Jun 30, 2019",170,154,63,63,63,68,65,65,65,68,66,66,66,70,69,69,69,70,79,76,76,76,79,79,78,78,78,79,77.0,34.0,70.0,73.0,44.0,73.0,60.0,54.0,59.0,76.0,77.0,78.0,72.0,71.0,78.0,66.0,75.0,83.0,64.0,45.0,82.0,80.0,53.0,55.0,46.0,70.0,77.0,79.0,82.0,7.0,10.0,12.0,10.0,6.0,0.0,2,0,1,0,0,0,1
756,224458,Diogo Jota,21,https://cdn.sofifa.org/players/4/19/224458.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,86,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,15500000.0,56000.0,2031,Right,2.0,4.0,4.0,High/ High,Lean,Yes,LW,18.0,"Jul 1, 2018",,2021,177,161,77,77,77,79,79,79,79,79,79,79,79,78,75,75,75,78,68,67,67,67,68,65,61,61,61,65,65.0,74.0,56.0,72.0,71.0,81.0,76.0,58.0,65.0,83.0,87.0,76.0,87.0,80.0,87.0,78.0,66.0,82.0,72.0,71.0,80.0,54.0,81.0,72.0,61.0,83.0,49.0,54.0,39.0,7.0,12.0,15.0,9.0,11.0,32600000.0,4,0,0,0,1,0,1
794,212501,L. Dendoncker,23,https://cdn.sofifa.org/players/4/19/212501.png,Belgium,https://cdn.sofifa.org/flags/7.png,78,84,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,12000000.0,18000.0,2074,Right,2.0,4.0,2.0,High/ High,Normal,No,CB,20.0,,RSC Anderlecht,"Jun 30, 2019",187,194,75,75,75,72,73,73,73,72,74,74,74,74,77,77,77,74,77,79,79,79,77,77,79,79,79,77,75.0,66.0,78.0,78.0,71.0,68.0,72.0,71.0,78.0,73.0,61.0,68.0,57.0,73.0,53.0,86.0,66.0,89.0,87.0,76.0,73.0,78.0,71.0,76.0,44.0,74.0,76.0,78.0,76.0,14.0,8.0,14.0,14.0,6.0,0.0,2,0,1,0,0,0,1
823,204838,R. Jiménez,27,https://cdn.sofifa.org/players/4/19/204838.png,Mexico,https://cdn.sofifa.org/flags/83.png,78,79,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,12000000.0,15000.0,1957,Right,3.0,4.0,3.0,High/ High,Lean,Yes,RS,9.0,,SL Benfica,"Jun 30, 2019",187,179,79,79,79,76,78,78,78,76,76,76,76,76,72,72,72,76,63,63,63,63,63,61,60,60,60,61,69.0,76.0,81.0,71.0,77.0,74.0,71.0,45.0,67.0,74.0,69.0,76.0,73.0,76.0,49.0,79.0,68.0,76.0,78.0,68.0,80.0,51.0,83.0,71.0,90.0,74.0,46.0,36.0,28.0,7.0,11.0,13.0,14.0,10.0,0.0,4,0,0,0,1,0,1
1193,202750,W. Boly,27,https://cdn.sofifa.org/players/4/19/202750.png,France,https://cdn.sofifa.org/flags/18.png,77,80,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,9000000.0,58000.0,1660,Right,1.0,4.0,2.0,Medium/ Medium,Normal,Yes,LCB,15.0,"Jun 9, 2018",,2021,195,214,56,56,56,54,54,54,54,54,56,56,56,57,60,60,60,57,68,72,72,72,68,70,78,78,78,70,50.0,32.0,75.0,70.0,23.0,48.0,43.0,35.0,58.0,60.0,57.0,69.0,55.0,71.0,45.0,52.0,62.0,58.0,93.0,21.0,79.0,76.0,43.0,52.0,56.0,76.0,72.0,78.0,78.0,7.0,8.0,15.0,10.0,9.0,17800000.0,2,0,1,0,0,0,1
1658,212267,Ivan Cavaleiro,24,https://cdn.sofifa.org/players/4/19/212267.png,Portugal,https://cdn.sofifa.org/flags/38.png,75,78,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,8500000.0,54000.0,1899,Right,1.0,4.0,4.0,High/ Medium,Stocky,Yes,LW,7.0,"Aug 31, 2016",,2021,175,176,75,75,75,77,76,76,76,77,75,75,75,76,69,69,69,76,61,58,58,58,61,58,53,53,53,58,72.0,70.0,61.0,68.0,62.0,79.0,74.0,56.0,63.0,78.0,86.0,87.0,77.0,71.0,75.0,78.0,46.0,64.0,75.0,67.0,68.0,37.0,72.0,72.0,72.0,62.0,25.0,46.0,36.0,13.0,15.0,12.0,9.0,13.0,16800000.0,4,0,0,0,1,0,1
1662,221743,Hélder Costa,24,https://cdn.sofifa.org/players/4/19/221743.png,Portugal,https://cdn.sofifa.org/flags/38.png,75,81,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,9000000.0,54000.0,1830,Left,1.0,4.0,4.0,High/ Medium,Normal,Yes,RW,10.0,"Jan 30, 2017",,2020,177,170,71,71,71,76,75,75,75,76,75,75,75,76,68,68,68,76,58,53,53,53,58,54,44,44,44,54,70.0,66.0,46.0,67.0,61.0,79.0,76.0,72.0,62.0,78.0,89.0,86.0,83.0,72.0,79.0,73.0,36.0,73.0,61.0,68.0,59.0,18.0,73.0,71.0,69.0,70.0,30.0,35.0,28.0,7.0,6.0,11.0,14.0,12.0,18900000.0,4,0,0,0,1,0,1
