Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,Variable
213,178005,Rui Patrício,30,https://cdn.sofifa.org/players/4/19/178005.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,16500000,74000,1352,Left,3,2,1,Medium/ Medium,Normal,Yes,GK,1,2018-06-18,,2022,190,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,11,31,17,20,10,16,30,23,53,57,61,80,54,38,79,45,77,11,39,22,13,64,32,66,14,13,11,85,81,80,79,82,31400000,1,1,0,0,0,0
401,162347,João Moutinho,31,https://cdn.sofifa.org/players/4/19/162347.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,81,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,15000000,85000,2164,Right,3,4,3,High/ Medium,Normal,Yes,RCM,28,2018-07-24,,2020,170,134,77,77,77,79,79,79,79,79,81,81,81,79,82,82,82,79,76,78,78,78,76,75,74,74,74,75,77,74,70,83,76,79,82,79,81,82,66,59,76,75,84,76,77,78,63,80,74,72,74,80,70,86,68,72,68,13,15,15,13,13,28500000,3,0,0,1,0,0
429,224293,Rúben Neves,21,https://cdn.sofifa.org/players/4/19/224293.png,Portugal,https://cdn.sofifa.org/flags/38.png,80,87,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,20500000,59000,2098,Right,2,3,3,Medium/ Medium,Normal,Yes,LCM,5,2017-07-08,,2023,180,176,71,71,71,74,74,74,74,74,77,77,77,76,80,80,80,76,76,79,79,79,76,74,73,73,73,74,75,61,51,84,74,73,79,83,85,80,64,64,65,77,70,83,68,78,70,83,82,75,61,83,62,83,69,74,69,16,12,10,8,10,43100000,3,0,0,1,0,0
601,210455,Jonny,24,https://cdn.sofifa.org/players/4/19/210455.png,Spain,https://cdn.sofifa.org/flags/45.png,79,83,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,13500000,43000,1928,Right,2,3,3,High/ High,Normal,Yes,LWB,19,,Atlético Madrid,"Jun 30, 2019",170,154,63,63,63,68,65,65,65,68,66,66,66,70,69,69,69,70,79,76,76,76,79,79,78,78,78,79,77,34,70,73,44,73,60,54,59,76,77,78,72,71,78,66,75,83,64,45,82,80,53,55,46,70,77,79,82,7,10,12,10,6,0,2,0,1,0,0,0
756,224458,Diogo Jota,21,https://cdn.sofifa.org/players/4/19/224458.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,86,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,15500000,56000,2031,Right,2,4,4,High/ High,Lean,Yes,LW,18,2018-07-01,,2021,177,161,77,77,77,79,79,79,79,79,79,79,79,78,75,75,75,78,68,67,67,67,68,65,61,61,61,65,65,74,56,72,71,81,76,58,65,83,87,76,87,80,87,78,66,82,72,71,80,54,81,72,61,83,49,54,39,7,12,15,9,11,32600000,4,0,0,0,1,0
794,212501,L. Dendoncker,23,https://cdn.sofifa.org/players/4/19/212501.png,Belgium,https://cdn.sofifa.org/flags/7.png,78,84,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,12000000,18000,2074,Right,2,4,2,High/ High,Normal,No,CB,20,,RSC Anderlecht,"Jun 30, 2019",187,194,75,75,75,72,73,73,73,72,74,74,74,74,77,77,77,74,77,79,79,79,77,77,79,79,79,77,75,66,78,78,71,68,72,71,78,73,61,68,57,73,53,86,66,89,87,76,73,78,71,76,44,74,76,78,76,14,8,14,14,6,0,2,0,1,0,0,0
823,204838,R. Jiménez,27,https://cdn.sofifa.org/players/4/19/204838.png,Mexico,https://cdn.sofifa.org/flags/83.png,78,79,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,12000000,15000,1957,Right,3,4,3,High/ High,Lean,Yes,RS,9,,SL Benfica,"Jun 30, 2019",187,179,79,79,79,76,78,78,78,76,76,76,76,76,72,72,72,76,63,63,63,63,63,61,60,60,60,61,69,76,81,71,77,74,71,45,67,74,69,76,73,76,49,79,68,76,78,68,80,51,83,71,90,74,46,36,28,7,11,13,14,10,0,4,0,0,0,1,0
1193,202750,W. Boly,27,https://cdn.sofifa.org/players/4/19/202750.png,France,https://cdn.sofifa.org/flags/18.png,77,80,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,9000000,58000,1660,Right,1,4,2,Medium/ Medium,Normal,Yes,LCB,15,2018-06-09,,2021,195,214,56,56,56,54,54,54,54,54,56,56,56,57,60,60,60,57,68,72,72,72,68,70,78,78,78,70,50,32,75,70,23,48,43,35,58,60,57,69,55,71,45,52,62,58,93,21,79,76,43,52,56,76,72,78,78,7,8,15,10,9,17800000,2,0,1,0,0,0
1658,212267,Ivan Cavaleiro,24,https://cdn.sofifa.org/players/4/19/212267.png,Portugal,https://cdn.sofifa.org/flags/38.png,75,78,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,8500000,54000,1899,Right,1,4,4,High/ Medium,Stocky,Yes,LW,7,2016-08-31,,2021,175,176,75,75,75,77,76,76,76,77,75,75,75,76,69,69,69,76,61,58,58,58,61,58,53,53,53,58,72,70,61,68,62,79,74,56,63,78,86,87,77,71,75,78,46,64,75,67,68,37,72,72,72,62,25,46,36,13,15,12,9,13,16800000,4,0,0,0,1,0
1662,221743,Hélder Costa,24,https://cdn.sofifa.org/players/4/19/221743.png,Portugal,https://cdn.sofifa.org/flags/38.png,75,81,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,9000000,54000,1830,Left,1,4,4,High/ Medium,Normal,Yes,RW,10,2017-01-30,,2020,177,170,71,71,71,76,75,75,75,76,75,75,75,76,68,68,68,76,58,53,53,53,58,54,44,44,44,54,70,66,46,67,61,79,76,72,62,78,89,86,83,72,79,73,36,73,61,68,59,18,73,71,69,70,30,35,28,7,6,11,14,12,18900000,4,0,0,0,1,0
