Num,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,PositionCode,Is_GK,Is_Defense,Is_Midfield,Is_Offense,From_England,In_Premier
76,41,Iniesta,34,https://cdn.sofifa.org/players/4/19/41.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Vissel Kobe,https://cdn.sofifa.org/teams/2/light/101146.png,21500000.0,21000.0,2058,Right,4.0,4.0,4.0,High/ Medium,Normal,Yes,LF,8.0,"Jul 16, 2018",,2021,170,150,77,77,77,85,84,84,84,85,88,88,88,85,86,86,86,85,74,76,76,76,74,71,66,66,66,71,77.0,70.0,54.0,90.0,74.0,90.0,80.0,70.0,85.0,92.0,70.0,67.0,79.0,86.0,84.0,65.0,47.0,55.0,58.0,71.0,58.0,66.0,81.0,93.0,71.0,89.0,67.0,57.0,56.0,6.0,13.0,6.0,13.0,7.0,26900000.0,4,0,0,0,1,0,0
109,41236,Z. Ibrahimović,36,https://cdn.sofifa.org/players/4/19/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,85,85,LA Galaxy,https://cdn.sofifa.org/teams/2/light/697.png,14000000.0,15000.0,2012,Right,5.0,4.0,5.0,Medium/ Low,Normal,Yes,RS,9.0,"Mar 23, 2018",,2022,195,209,86,86,86,81,84,84,84,81,83,83,83,80,77,77,77,80,59,61,61,61,59,55,56,56,56,55,73.0,86.0,83.0,79.0,86.0,79.0,82.0,82.0,73.0,84.0,58.0,59.0,75.0,82.0,39.0,90.0,68.0,61.0,86.0,82.0,84.0,20.0,85.0,79.0,89.0,90.0,28.0,37.0,24.0,13.0,15.0,10.0,9.0,12.0,21000000.0,4,0,0,0,1,0,0
112,212462,Alex Telles,25,https://cdn.sofifa.org/players/4/19/212462.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,87,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,32000000.0,22000.0,2259,Left,3.0,2.0,3.0,High/ Medium,Lean,Yes,LB,13.0,"Jul 13, 2016",,2021,180,157,79,79,79,82,81,81,81,82,82,82,82,84,84,84,84,84,86,84,84,84,86,85,81,81,81,85,89.0,65.0,74.0,83.0,67.0,82.0,87.0,79.0,86.0,82.0,84.0,85.0,73.0,83.0,70.0,80.0,81.0,92.0,68.0,75.0,78.0,80.0,76.0,74.0,68.0,80.0,80.0,81.0,79.0,13.0,8.0,12.0,11.0,14.0,66400000.00000001,2,0,1,0,0,0,0
114,212198,Bruno Fernandes,23,https://cdn.sofifa.org/players/4/19/212198.png,Portugal,https://cdn.sofifa.org/flags/38.png,84,88,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,40500000.0,22000.0,2223,Right,2.0,3.0,4.0,High/ Medium,Lean,No,LCM,8.0,"Jul 1, 2017",,2023,177,152,79,79,79,83,83,83,83,83,84,84,84,84,84,84,84,84,77,77,77,77,77,75,69,69,69,75,84.0,73.0,58.0,85.0,84.0,83.0,85.0,81.0,82.0,85.0,79.0,76.0,77.0,84.0,78.0,87.0,72.0,89.0,67.0,88.0,65.0,70.0,79.0,86.0,81.0,83.0,63.0,66.0,53.0,12.0,14.0,15.0,8.0,14.0,84000000.0,3,0,0,1,0,0,0
226,235243,M. de Ligt,18,https://cdn.sofifa.org/players/4/19/235243.png,Netherlands,https://cdn.sofifa.org/flags/34.png,82,91,Ajax,https://cdn.sofifa.org/teams/2/light/245.png,27000000.0,11000.0,1937,Right,2.0,4.0,2.0,Medium/ Medium,Normal,Yes,RCB,3.0,"Oct 24, 2016",,2021,187,196,68,68,68,65,67,67,67,65,67,67,67,67,72,72,72,67,75,79,79,79,75,77,82,82,82,77,57.0,53.0,81.0,75.0,40.0,65.0,48.0,55.0,72.0,73.0,62.0,72.0,56.0,77.0,59.0,79.0,80.0,74.0,87.0,64.0,79.0,79.0,44.0,63.0,40.0,77.0,84.0,84.0,79.0,12.0,11.0,11.0,12.0,10.0,43200000.0,2,0,1,0,0,0,0
276,193525,Mário Fernandes,27,https://cdn.sofifa.org/players/4/19/193525.png,Russia,https://cdn.sofifa.org/flags/40.png,82,82,PFC CSKA Moscow,https://cdn.sofifa.org/teams/2/light/315.png,18500000.0,1000.0,2102,Right,2.0,3.0,3.0,High/ High,Lean,No,RB,6.0,"Jul 1, 2012",,2022,187,176,74,74,74,76,76,76,76,76,76,76,76,78,78,78,78,78,82,81,81,81,82,82,81,81,81,82,76.0,56.0,76.0,78.0,52.0,77.0,66.0,39.0,74.0,79.0,79.0,85.0,79.0,80.0,61.0,71.0,84.0,87.0,75.0,58.0,77.0,78.0,76.0,73.0,53.0,76.0,83.0,82.0,84.0,12.0,13.0,14.0,13.0,12.0,40700000.0,2,0,1,0,0,0,0
286,188803,Taison,30,https://cdn.sofifa.org/players/4/19/188803.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,Shakhtar Donetsk,https://cdn.sofifa.org/teams/2/light/101059.png,21000000.0,1000.0,2055,Right,2.0,3.0,4.0,Medium/ Medium,Lean,No,LM,7.0,"Jan 11, 2013",,2021,172,141,79,79,79,83,83,83,83,83,83,83,83,83,78,78,78,83,69,66,66,66,69,66,57,57,57,66,73.0,76.0,56.0,77.0,82.0,87.0,52.0,73.0,75.0,85.0,93.0,91.0,90.0,79.0,83.0,83.0,62.0,79.0,62.0,83.0,56.0,49.0,74.0,79.0,72.0,74.0,38.0,53.0,40.0,7.0,7.0,11.0,15.0,13.0,44100000.0,3,0,0,1,0,0,0
288,187754,Marlos,30,https://cdn.sofifa.org/players/4/19/187754.png,Ukraine,https://cdn.sofifa.org/flags/49.png,82,82,Shakhtar Donetsk,https://cdn.sofifa.org/teams/2/light/101059.png,21000000.0,1000.0,2075,Left,2.0,4.0,5.0,Medium/ Medium,Normal,No,RM,11.0,"Jul 4, 2014",,2019,175,152,78,78,78,84,83,83,83,84,84,84,84,83,79,79,79,83,69,67,67,67,69,66,58,58,58,66,76.0,79.0,53.0,81.0,68.0,87.0,82.0,72.0,73.0,88.0,85.0,82.0,92.0,77.0,84.0,77.0,68.0,78.0,62.0,78.0,58.0,51.0,77.0,82.0,80.0,84.0,45.0,49.0,42.0,6.0,13.0,13.0,8.0,9.0,44100000.0,3,0,0,1,0,0,0
301,181786,V. Ćorluka,32,https://cdn.sofifa.org/players/4/19/181786.png,Croatia,https://cdn.sofifa.org/flags/10.png,82,82,Lokomotiv Moscow,https://cdn.sofifa.org/teams/2/light/100765.png,12500000.0,1000.0,1909,Right,3.0,3.0,3.0,High/ Medium,Normal,No,LCB,14.0,"Jun 27, 2012",,2020,193,185,64,64,64,64,64,64,64,64,65,65,65,67,71,71,71,67,77,79,79,79,77,78,82,82,82,78,68.0,44.0,83.0,70.0,38.0,65.0,69.0,60.0,72.0,73.0,49.0,65.0,57.0,77.0,46.0,64.0,81.0,80.0,86.0,50.0,81.0,77.0,45.0,60.0,49.0,78.0,79.0,83.0,82.0,15.0,9.0,12.0,14.0,6.0,26300000.0,2,0,1,0,0,0,0
308,168530,Jardel,32,https://cdn.sofifa.org/players/4/19/168530.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,12500000.0,17000.0,1687,Right,2.0,2.0,2.0,Medium/ High,Normal,No,LCB,33.0,"Jan 1, 2011",,2021,193,192,57,57,57,53,55,55,55,53,55,55,55,56,61,61,61,56,71,75,75,75,71,73,83,83,83,73,46.0,38.0,85.0,68.0,27.0,52.0,30.0,35.0,53.0,60.0,50.0,63.0,35.0,77.0,34.0,58.0,77.0,68.0,89.0,37.0,83.0,82.0,30.0,49.0,57.0,71.0,85.0,84.0,78.0,7.0,16.0,11.0,16.0,7.0,25000000.0,2,0,1,0,0,0,0
